,400X4,400X14,400X15,400X37,400X97,400X138,400X211,400X213,400X216,null_count,TOOL
32,16464.0,30.8,29.6,111.0,6.0,0.1,39.2,4.21,3.89,0,D
33,11482.0,31.7,29.6,112.0,8.2,-0.1,39.3,4.34,4.05,0,D
34,17060.0,31.3,30.2,111.0,8.4,-0.1,39.2,4.25,3.83,0,D
35,16430.0,30.9,29.7,111.0,6.6,0.1,39.2,4.19,3.93,0,D
36,11448.0,31.4,29.7,112.0,8.4,-0.1,39.0,4.33,3.92,0,D
37,18938.0,31.1,30.3,111.0,8.3,-0.1,41.9,4.18,3.78,0,D
38,20797.0,31.3,30.1,111.0,8.5,-0.1,40.6,4.23,3.83,0,D
39,16854.0,31.3,30.1,111.0,8.1,0.0,39.2,4.25,3.87,0,D
40,16222.0,30.8,29.5,111.0,6.7,0.1,39.1,4.19,3.79,0,D
41,16331.0,31.1,29.7,111.0,6.5,0.1,39.1,4.2,3.88,0,D
42,16059.0,30.6,29.5,111.0,6.2,0.1,39.2,4.2,3.93,0,D
43,11221.0,31.9,29.7,112.0,8.7,-0.1,39.2,4.33,4.01,0,D
44,11353.0,31.6,29.7,112.0,8.4,-0.1,39.0,4.34,3.98,0,D
45,20605.0,31.4,30.2,111.0,8.1,-0.1,40.5,4.25,3.88,0,D
46,11430.0,31.4,29.6,112.0,8.6,-0.1,39.2,4.32,3.98,0,D
47,17043.0,31.1,30.1,111.0,8.6,-0.1,39.2,4.25,3.81,0,D
48,16413.0,31.2,29.7,111.0,6.7,0.1,39.1,4.19,3.9,0,D
49,11195.0,31.8,29.7,112.0,8.1,-0.1,39.4,4.33,4.01,0,D
50,20648.0,31.2,30.2,111.0,7.9,-0.1,40.6,4.26,3.85,0,D
51,20579.0,31.4,30.1,111.0,8.7,-0.1,40.5,4.25,3.89,0,D
52,20654.0,31.2,30.0,111.0,8.4,-0.1,40.5,4.25,3.79,0,D
53,11530.0,31.5,29.9,112.0,8.7,-0.1,39.1,4.34,3.99,0,D
54,16369.0,31.0,29.6,111.0,6.7,0.1,39.2,4.19,3.85,0,D
55,11395.0,31.7,29.9,112.0,8.6,-0.1,39.2,4.34,4.03,0,D
56,20753.0,31.2,30.2,111.0,7.9,-0.1,40.6,4.25,3.8,0,D
57,18895.0,31.3,30.1,111.0,7.8,-0.1,42.0,4.18,3.82,0,D
58,16539.0,30.7,29.5,111.0,6.0,0.1,39.3,4.22,3.92,0,D
59,19261.0,31.2,30.2,111.0,8.4,-0.1,41.8,4.16,3.71,0,C
60,17452.0,31.3,30.1,111.0,8.4,0.0,39.2,4.25,3.89,0,C
61,16904.0,30.9,29.7,111.0,6.6,0.1,39.2,4.19,3.89,0,C
62,20848.0,31.5,30.2,111.0,8.7,-0.1,40.7,4.23,3.94,0,D
63,19149.0,31.2,30.2,111.0,7.5,-0.1,42.0,4.16,3.79,0,D
64,17340.0,31.1,30.1,111.0,7.7,0.0,39.4,4.25,3.82,0,D
65,16795.0,30.6,29.6,111.0,5.9,0.1,39.4,4.21,3.94,0,D
66,20597.0,31.4,30.2,111.0,8.6,-0.1,40.5,4.22,3.84,0,D
67,18883.0,31.4,30.0,111.0,7.7,-0.1,42.0,4.19,3.84,0,D
68,11278.0,31.3,29.2,112.0,8.4,-0.1,39.1,4.34,3.93,0,D
69,16887.0,31.2,30.2,111.0,8.3,0.0,39.2,4.25,3.82,0,D
70,18889.0,31.4,30.2,111.0,8.3,-0.1,41.9,4.19,3.74,0,D
71,16547.0,31.0,29.7,111.0,6.4,0.1,39.2,4.2,3.9,0,D
72,20463.0,31.2,30.2,111.0,8.0,-0.1,40.7,4.27,3.95,0,D
73,16841.0,31.3,30.0,111.0,8.5,0.0,39.3,4.25,3.84,0,D
74,11242.0,31.8,29.9,112.0,8.7,-0.1,39.2,4.34,4.0,0,D
75,19150.0,31.1,30.2,111.0,7.9,-0.1,41.8,4.16,3.75,0,D
76,16798.0,30.6,29.5,111.0,6.5,0.1,39.3,4.21,3.9,0,D
77,17344.0,31.4,30.0,111.0,8.3,-0.1,39.2,4.25,3.87,0,D
78,16802.0,30.9,29.6,111.0,6.2,0.1,39.3,4.21,3.92,0,D
79,17348.0,31.4,30.0,111.0,8.2,0.0,39.1,4.25,3.81,0,D
80,16118.0,31.0,29.7,111.0,6.8,0.1,39.1,4.19,3.73,0,D
81,17066.0,30.8,29.6,111.0,6.4,0.1,39.3,4.21,3.92,0,C
82,21131.0,31.4,30.1,111.0,8.3,-0.1,40.6,4.23,3.85,0,C
83,17623.0,31.1,30.0,111.0,8.2,0.0,39.2,4.25,3.9,0,C
84,16870.0,31.7,30.2,111.0,8.4,0.0,39.2,4.25,3.93,0,D
85,16876.0,31.5,30.2,111.0,8.3,0.0,39.2,4.25,3.83,0,D
86,11277.0,31.6,29.4,112.0,8.2,-0.1,39.3,4.34,4.04,0,D
87,11157.0,31.8,29.7,112.0,8.6,-0.1,39.2,4.33,3.98,0,D
88,16247.0,30.8,29.6,111.0,6.5,0.1,39.2,4.21,3.92,0,D
89,16249.0,30.8,29.6,111.0,6.6,0.1,39.1,4.19,3.9,0,D
90,11163.0,31.6,29.7,112.0,8.5,-0.1,39.0,4.34,3.92,0,D
91,16888.0,31.5,30.1,111.0,7.9,0.0,39.4,4.26,3.97,0,D
92,11282.0,31.3,29.5,112.0,8.6,-0.1,39.3,4.34,4.02,0,D
93,20562.0,31.5,30.0,111.0,8.0,-0.1,40.6,4.25,3.93,0,D
94,16159.0,30.9,29.5,111.0,6.1,0.1,39.3,4.21,3.93,0,D
95,16951.0,31.3,30.1,111.0,8.2,0.0,39.2,4.25,3.78,0,D
96,16957.0,31.2,30.1,111.0,8.0,0.0,39.3,4.26,3.87,0,D
97,11302.0,31.2,29.8,112.0,8.6,-0.1,39.2,4.34,4.01,0,D
98,11261.0,31.6,29.6,112.0,8.6,-0.1,39.2,4.33,4.02,0,D
99,17042.0,30.9,29.7,111.0,6.5,0.1,39.2,4.2,3.85,0,D
100,21106.0,31.3,30.1,111.0,8.5,-0.1,40.6,4.25,3.82,0,D
101,17599.0,31.3,30.2,111.0,8.4,-0.1,39.1,4.26,3.93,0,D
102,17589.0,31.3,30.0,111.0,8.2,0.0,39.1,4.26,3.83,0,C
103,21137.0,31.3,30.2,111.0,8.2,-0.1,40.6,4.25,3.84,0,C
104,17629.0,31.5,30.1,111.0,8.2,0.0,39.2,4.25,3.81,0,C
105,21122.0,31.5,30.1,111.0,7.9,-0.1,40.6,4.24,3.93,0,D
106,21138.0,31.3,30.2,111.0,8.4,-0.1,40.5,4.23,3.82,0,C
107,17630.0,31.5,30.0,110.0,8.4,0.0,39.1,4.26,3.79,0,C
108,17614.0,31.1,29.9,110.0,7.8,0.0,39.4,4.25,3.79,0,D
109,17058.0,30.9,29.6,111.0,6.0,0.1,39.3,4.2,3.9,0,D
110,16097.0,31.0,29.7,111.0,6.5,0.1,39.2,4.19,3.9,0,D
111,16104.0,30.8,29.6,111.0,6.9,0.1,39.1,4.19,3.8,0,D
112,17008.0,31.3,30.1,110.0,8.6,0.0,39.2,4.25,3.82,0,D
113,16386.0,30.7,29.6,111.0,6.7,0.1,39.3,4.19,3.9,0,D
114,20619.0,31.2,30.2,111.0,8.6,-0.1,40.6,4.24,3.85,0,D
115,20625.0,31.5,30.2,111.0,8.6,-0.1,40.6,4.24,3.88,0,D
116,20713.0,31.3,30.1,111.0,7.8,-0.1,40.7,4.26,3.81,0,D
117,20719.0,31.6,30.1,111.0,8.3,-0.1,40.5,4.25,3.88,0,D
118,18960.0,31.5,30.3,111.0,8.3,-0.1,41.8,4.16,3.78,0,D
119,11447.0,31.9,29.7,112.0,8.1,-0.1,39.2,4.34,4.01,0,D
120,11280.0,31.0,29.6,112.0,8.5,-0.1,39.2,4.34,4.01,0,D
121,11281.0,31.7,29.6,112.0,8.6,-0.1,39.3,4.34,4.01,0,D
122,16341.0,30.9,29.7,111.0,6.6,0.1,39.2,4.19,3.89,0,D
123,16347.0,31.0,29.5,111.0,6.7,0.1,39.1,4.19,3.78,0,D
124,18969.0,31.4,30.2,111.0,8.4,-0.1,41.9,4.16,3.78,0,D
125,16621.0,30.6,29.6,111.0,6.8,0.1,39.1,4.19,3.74,0,D
126,16032.0,30.9,29.7,111.0,7.0,0.1,39.2,4.19,3.92,0,D
127,16438.0,30.8,29.7,111.0,6.7,0.1,39.2,4.19,3.92,0,D
128,11039.0,31.9,29.8,112.0,9.0,-0.1,39.3,4.34,4.01,0,D
129,11404.0,31.3,29.6,111.0,8.7,-0.1,39.3,4.33,4.0,0,D
130,17025.0,31.4,30.2,111.0,8.5,-0.1,39.1,4.25,3.93,0,D
131,21198.0,31.3,30.1,111.0,8.3,-0.1,40.6,4.24,3.79,0,D
132,17690.0,31.5,30.1,111.0,8.1,0.0,39.2,4.25,3.81,0,D
133,18912.0,31.5,30.2,111.0,8.3,-0.1,41.8,4.17,3.76,0,D
134,17133.0,30.8,29.4,111.0,6.3,0.1,39.2,4.2,3.9,0,D
135,16564.0,31.0,29.6,111.0,6.6,0.1,39.2,4.19,3.9,0,D
136,11533.0,31.6,29.8,112.0,8.4,-0.1,39.1,4.34,4.03,0,D
137,17162.0,31.4,30.1,111.0,8.5,0.0,39.2,4.25,3.84,0,D
138,17034.0,31.3,30.2,111.0,8.6,0.0,39.3,4.25,3.8,0,D
139,16472.0,31.0,29.7,111.0,6.5,0.1,39.1,4.2,3.87,0,D
140,16412.0,31.0,29.6,111.0,6.7,0.1,39.3,4.19,3.9,0,D
141,16194.0,30.9,29.8,111.0,6.3,0.1,39.2,4.2,3.92,0,D
142,16840.0,31.3,30.2,110.0,8.6,0.0,39.4,4.25,3.99,0,D
143,16098.0,30.9,29.6,111.0,6.7,0.1,39.2,4.19,3.91,0,D
144,20836.0,31.4,30.1,111.0,8.8,-0.1,40.4,4.23,3.77,0,D
145,16956.0,31.5,30.1,111.0,8.4,0.0,39.2,4.25,3.89,0,D
146,18986.0,31.4,30.3,111.0,8.0,-0.1,41.9,4.16,3.75,0,D
147,16325.0,31.0,29.6,111.0,6.6,0.1,39.3,4.19,3.9,0,D
148,21341.0,31.4,30.1,111.0,8.6,-0.1,40.6,4.23,3.87,0,D
149,17185.0,31.3,29.9,111.0,8.6,0.0,39.3,4.25,3.82,0,D
150,16657.0,30.8,29.5,111.0,6.9,0.1,39.2,4.19,3.9,0,D
151,17114.0,31.4,30.2,111.0,8.1,0.0,39.3,4.26,3.85,0,D
152,16482.0,31.1,29.5,111.0,6.1,0.1,39.4,4.21,3.9,0,D
153,11498.0,31.9,29.6,112.0,8.1,-0.1,39.2,4.34,4.01,0,D
154,16455.0,30.9,29.5,111.0,6.4,0.1,39.2,4.19,3.92,0,D
155,17051.0,31.3,30.2,111.0,8.6,0.0,39.2,4.25,3.94,0,D
156,17279.0,31.0,29.7,111.0,6.8,0.1,39.2,4.19,3.92,0,C
157,21345.0,31.3,30.1,111.0,8.7,-0.1,40.5,4.23,3.83,0,C
158,17198.0,31.3,30.1,111.0,8.7,0.0,39.3,4.25,3.84,0,D
159,17841.0,31.1,30.1,111.0,8.5,-0.1,39.2,4.25,3.79,0,C
160,17284.0,31.0,29.5,111.0,6.6,0.1,39.2,4.19,3.93,0,C
161,16670.0,30.6,29.5,111.0,6.9,0.1,39.1,4.18,3.77,0,D
162,17287.0,31.0,29.7,111.0,6.7,0.1,39.2,4.2,3.9,0,C
163,21558.0,31.3,30.1,111.0,8.4,-0.1,40.6,4.23,3.83,0,D
164,21353.0,31.3,30.2,111.0,8.3,-0.1,40.6,4.24,3.79,0,C
165,18049.0,31.3,30.2,111.0,8.3,0.0,39.2,4.25,3.93,0,D
166,19101.0,31.3,30.1,111.0,8.1,-0.1,41.9,4.16,3.75,0,D
167,17488.0,30.8,29.5,111.0,6.5,0.1,39.2,4.19,3.9,0,D
168,17491.0,31.0,29.6,111.0,6.7,0.1,39.1,4.2,3.92,0,D
169,21562.0,31.5,30.0,111.0,8.8,-0.1,40.5,4.2,3.82,0,D
170,21043.0,31.4,30.1,111.0,7.9,-0.1,40.6,4.25,3.88,0,C
171,18053.0,31.3,30.2,111.0,8.4,0.0,39.2,4.25,3.84,0,D
172,17537.0,31.3,30.1,111.0,7.9,0.0,39.4,4.26,3.82,0,C
173,16985.0,30.6,29.5,111.0,6.1,0.1,39.3,4.21,3.88,0,C
174,21047.0,31.3,30.0,111.0,8.4,-0.1,40.6,4.23,3.8,0,C
175,17541.0,31.5,30.1,111.0,8.3,-0.1,39.2,4.26,3.97,0,C
176,16989.0,30.9,29.6,111.0,6.6,0.1,39.1,4.21,3.9,0,C
177,16992.0,30.8,29.6,111.0,6.1,0.1,39.4,4.21,3.92,0,C
178,21051.0,31.2,30.0,111.0,8.3,-0.1,40.6,4.24,3.86,0,C
179,17545.0,31.4,30.2,111.0,8.2,0.0,39.2,4.25,3.83,0,C
180,17495.0,31.0,29.5,111.0,6.5,0.1,39.2,4.19,3.92,0,D
181,21566.0,31.1,30.1,111.0,8.5,-0.1,40.6,4.23,3.79,0,D
182,18057.0,31.4,30.0,111.0,8.4,0.0,39.2,4.25,3.82,0,D
183,17837.0,31.2,30.1,111.0,8.5,0.0,39.2,4.25,3.92,0,C
184,21349.0,31.5,30.2,111.0,8.6,-0.1,40.5,4.21,3.79,0,C
185,17844.0,31.3,30.1,111.0,8.5,0.0,39.2,4.25,3.85,0,C
186,20874.0,31.2,30.2,111.0,9.0,-0.1,40.6,4.23,3.93,0,D
187,19021.0,31.3,30.2,111.0,8.7,-0.1,42.0,4.16,3.73,0,D
188,19037.0,31.5,30.2,111.0,8.1,-0.1,41.9,4.16,3.75,0,D
189,17214.0,31.4,30.2,111.0,8.2,-0.1,39.3,4.25,3.81,0,D
190,19043.0,31.3,30.2,111.0,8.8,-0.1,42.0,4.16,3.78,0,D
191,17220.0,31.4,30.1,111.0,8.9,0.0,39.4,4.25,3.94,0,D
192,17479.0,30.9,29.7,111.0,6.7,0.1,39.2,4.19,3.93,0,D
193,21550.0,31.2,29.9,111.0,8.2,-0.1,40.6,4.23,3.93,0,D
194,18041.0,31.3,30.2,111.0,8.0,-0.1,39.4,4.25,3.77,0,D
195,18066.0,31.3,30.2,111.0,8.5,0.0,39.2,4.25,3.87,0,D
196,17505.0,31.0,29.6,111.0,6.7,0.1,39.1,4.2,3.92,0,D
197,17145.0,31.3,30.0,111.0,7.6,0.0,39.2,4.25,3.94,0,D
198,21576.0,31.4,30.1,111.0,8.7,-0.1,40.5,4.2,3.79,0,D
199,21579.0,31.3,30.1,111.0,8.5,-0.1,40.5,4.23,3.83,0,D
200,16520.0,30.9,29.5,111.0,6.4,0.1,39.1,4.2,3.9,0,D
201,18070.0,31.3,30.1,111.0,8.3,0.0,39.2,4.25,3.88,0,D
202,17509.0,31.0,29.5,111.0,6.5,0.1,39.2,4.2,3.86,0,D
203,21583.0,31.4,30.0,112.0,8.7,-0.1,40.5,4.2,3.76,0,D
204,18074.0,31.3,30.1,111.0,8.6,0.0,39.2,4.25,3.83,0,D
205,17513.0,30.8,29.6,111.0,6.7,0.1,39.1,4.2,3.9,0,D
206,20903.0,31.3,30.1,111.0,7.8,-0.1,40.7,4.26,3.95,0,D
207,16112.0,30.9,29.6,111.0,6.7,0.1,39.2,4.19,3.93,0,D
208,20549.0,31.3,30.1,111.0,7.9,-0.1,40.6,4.26,3.83,0,D
209,19050.0,31.4,30.2,111.0,8.5,-0.1,42.0,4.16,3.8,0,D
210,20555.0,31.2,30.2,111.0,8.4,-0.1,40.6,4.24,3.9,0,D
211,21554.0,31.2,30.1,111.0,8.5,-0.1,40.6,4.23,3.83,0,D
212,18045.0,31.4,30.1,111.0,8.5,-0.1,39.2,4.25,3.87,0,D
213,18048.0,31.3,30.2,111.0,7.9,0.0,39.2,4.25,3.97,0,D
214,17487.0,30.7,29.6,111.0,6.2,0.1,39.3,4.2,3.93,0,D
215,18023.0,31.5,30.1,111.0,8.4,-0.1,39.2,4.25,3.96,0,D
216,17462.0,30.8,29.7,111.0,6.6,0.1,39.3,4.19,3.9,0,D
217,21533.0,31.3,30.2,111.0,8.6,-0.1,40.5,4.23,3.81,0,D
218,21450.0,31.3,30.2,111.0,8.6,-0.1,40.6,4.23,3.81,0,D
219,17942.0,31.3,30.0,111.0,8.5,0.0,39.2,4.25,3.84,0,D
220,17383.0,30.9,29.7,111.0,6.7,0.1,39.1,4.2,3.93,0,D
221,17207.0,31.5,30.0,111.0,8.1,0.0,39.3,4.25,3.84,0,D
222,16114.0,30.9,29.7,111.0,6.5,0.1,39.2,4.19,3.88,0,D
223,20527.0,31.5,30.2,111.0,8.4,-0.1,40.5,4.23,3.84,0,D
224,16804.0,31.1,30.1,111.0,8.5,-0.1,39.2,4.26,3.96,0,D
225,21493.0,31.4,30.1,111.0,8.6,-0.1,40.5,4.21,3.79,0,D
226,17317.0,30.8,29.7,111.0,6.5,0.1,39.2,4.2,3.9,0,D
227,17390.0,30.8,29.7,111.0,6.7,0.1,39.2,4.2,3.9,0,D
228,21383.0,31.1,30.2,111.0,8.5,-0.1,40.7,4.23,3.92,0,D
229,21458.0,31.2,30.2,111.0,8.7,-0.1,40.5,4.2,3.83,0,D
230,21385.0,31.2,30.2,111.0,8.6,-0.1,40.5,4.24,3.83,0,D
231,17950.0,31.3,30.1,110.0,8.5,0.0,39.2,4.25,3.79,0,D
232,21515.0,31.4,30.1,111.0,7.7,-0.1,40.5,4.25,3.82,0,D
233,18006.0,31.5,30.1,110.0,7.7,0.0,39.4,4.25,3.85,0,D
234,21243.0,31.1,30.1,111.0,8.5,-0.1,40.5,4.22,3.77,0,C
235,17445.0,30.9,29.6,111.0,6.0,0.1,39.4,4.22,3.92,0,D
236,21245.0,31.3,30.1,111.0,8.7,-0.1,40.5,4.22,3.79,0,C
237,21522.0,31.5,30.1,111.0,8.0,-0.1,40.7,4.23,3.95,0,D
238,18013.0,31.4,30.1,111.0,7.9,0.0,39.3,4.25,3.85,0,D
239,17452.0,31.0,29.5,111.0,6.1,0.1,39.3,4.19,3.9,0,D
240,11529.0,31.3,29.8,112.0,8.6,-0.1,39.2,4.34,4.01,0,D
241,17150.0,31.5,30.1,111.0,8.3,0.0,39.2,4.25,3.9,0,D
242,16517.0,31.0,29.6,111.0,6.5,0.1,39.3,4.19,3.92,0,D
243,17976.0,31.3,30.1,111.0,8.5,0.0,39.2,4.25,3.84,0,D
244,17417.0,30.8,29.7,111.0,6.6,0.1,39.2,4.19,3.85,0,D
245,17151.0,31.3,30.2,111.0,8.3,0.0,39.3,4.25,3.87,0,D
246,21486.0,31.4,30.2,111.0,8.7,-0.1,40.5,4.23,3.81,0,D
247,16518.0,30.6,29.7,111.0,6.6,0.1,39.3,4.2,3.93,0,D
248,21489.0,31.4,30.1,111.0,8.0,-0.1,40.5,4.21,3.85,0,D
249,17980.0,31.3,30.2,111.0,8.1,0.0,39.4,4.25,3.84,0,D
250,17421.0,30.9,29.7,111.0,6.1,0.1,39.3,4.19,3.9,0,D
251,18978.0,31.3,30.2,111.0,8.5,-0.1,41.8,4.18,3.69,0,D
252,17984.0,31.1,30.1,111.0,8.5,0.0,39.2,4.25,3.88,0,D
253,17425.0,30.8,29.7,111.0,6.7,0.1,39.1,4.19,3.9,0,D
254,16622.0,31.1,29.6,111.0,6.6,0.1,39.3,4.2,3.93,0,D
255,20837.0,31.3,30.1,111.0,8.0,-0.1,40.6,4.23,3.84,0,D
256,18979.0,31.5,30.3,111.0,8.0,-0.1,41.9,4.16,3.75,0,D
257,16623.0,30.8,29.7,111.0,6.2,0.1,39.3,4.21,3.77,0,D
258,21656.0,31.5,30.1,111.0,8.5,-0.1,40.5,4.23,3.83,0,D
259,17846.0,31.3,30.1,111.0,8.3,0.0,39.2,4.25,3.8,0,D
260,19343.0,31.4,30.3,111.0,8.0,-0.1,42.1,4.14,3.78,0,D
261,19102.0,31.2,30.2,111.0,8.1,-0.1,41.9,4.16,3.8,0,D
262,19105.0,31.3,30.2,111.0,8.3,-0.1,41.9,4.16,3.77,0,D
263,17580.0,30.7,29.7,111.0,6.7,0.1,39.3,4.19,3.9,0,D
264,21752.0,31.2,30.1,111.0,7.7,-0.1,40.6,4.25,3.84,0,D
265,19438.0,31.2,30.0,111.0,7.7,-0.1,42.2,4.17,3.78,0,D
266,18242.0,31.6,30.1,111.0,8.3,0.0,39.2,4.25,3.84,0,D
267,17664.0,31.5,29.6,111.0,6.5,0.1,39.3,4.19,3.92,0,D
268,17667.0,30.6,29.6,111.0,6.6,0.1,39.2,4.2,3.9,0,D
269,21758.0,31.4,30.2,111.0,8.2,-0.1,40.5,4.25,3.85,0,D
270,18903.0,31.2,30.3,111.0,8.1,-0.1,41.8,4.18,3.77,0,D
271,16630.0,30.7,29.8,111.0,6.3,0.1,39.2,4.2,3.78,0,D
272,20853.0,31.5,30.1,112.0,8.7,-0.1,40.6,4.23,3.91,0,D
273,11151.0,31.6,29.5,112.0,8.6,-0.1,39.2,4.34,4.01,0,D
274,16800.0,31.0,30.0,111.0,8.2,0.0,39.2,4.25,3.79,0,D
275,17643.0,30.8,29.7,111.0,6.7,0.1,39.2,4.19,3.9,0,D
276,21732.0,31.6,30.2,111.0,8.5,-0.1,40.7,4.25,3.84,0,D
277,19419.0,31.3,30.0,111.0,8.2,-0.1,41.9,4.15,3.77,0,D
278,16902.0,31.2,30.1,110.0,8.2,0.0,39.1,4.25,3.82,0,D
279,16908.0,31.2,30.1,111.0,8.1,0.0,39.3,4.25,3.81,0,D
280,21468.0,31.5,30.1,111.0,8.0,-0.1,40.6,4.25,3.93,0,D
281,17521.0,30.9,29.7,111.0,6.7,0.1,39.2,4.19,3.93,0,D
282,17959.0,31.2,30.2,111.0,8.0,0.0,39.4,4.25,3.89,0,D
283,21592.0,31.4,30.2,111.0,8.2,-0.1,40.6,4.23,3.83,0,D
284,21471.0,31.1,30.1,111.0,8.5,-0.1,40.5,4.24,3.82,0,D
285,18083.0,31.1,30.0,111.0,8.0,-0.1,39.2,4.25,3.8,0,D
286,17962.0,31.3,30.2,111.0,8.4,0.0,39.2,4.25,3.79,0,D
287,21595.0,31.3,29.9,111.0,8.6,-0.1,40.5,4.22,3.79,0,D
288,21476.0,31.2,29.9,112.0,8.4,-0.1,40.6,4.23,3.88,0,D
289,18086.0,31.5,30.0,111.0,8.5,0.0,39.2,4.25,3.93,0,D
290,17967.0,31.1,29.9,111.0,8.3,0.0,39.1,4.25,3.96,0,D
291,17525.0,30.8,29.6,111.0,6.6,0.1,39.1,4.19,3.89,0,D
292,18090.0,31.2,30.0,111.0,8.1,0.0,39.2,4.25,3.81,0,D
293,17141.0,30.8,29.7,111.0,6.4,0.1,39.1,4.19,3.9,0,D
294,17529.0,30.9,29.7,111.0,6.3,0.1,39.2,4.19,3.9,0,D
295,21600.0,31.2,30.1,111.0,8.4,-0.1,40.6,4.23,3.84,0,D
296,16604.0,30.7,29.6,111.0,6.6,0.1,39.1,4.2,3.84,0,D
297,20827.0,31.2,30.0,111.0,8.7,-0.1,40.5,4.23,3.79,0,D
298,21678.0,31.2,30.1,111.0,7.9,-0.1,40.5,4.25,3.81,0,D
299,19365.0,31.2,30.2,111.0,7.8,-0.1,42.2,4.15,3.75,0,D
300,18170.0,31.2,30.2,111.0,7.9,0.0,39.4,4.25,3.87,0,D
301,20801.0,31.2,30.2,111.0,8.7,-0.1,40.6,4.24,3.81,0,D
302,16588.0,31.0,29.7,111.0,6.2,0.1,39.3,4.21,3.92,0,D
303,16588.0,31.0,29.7,111.0,6.2,0.1,39.3,4.21,3.92,0,D
304,16589.0,31.0,29.7,111.0,6.4,0.1,39.2,4.21,3.92,0,D
305,20804.0,31.3,30.2,111.0,8.6,-0.1,40.5,4.23,3.86,0,D
306,18946.0,31.5,30.2,111.0,8.4,-0.1,41.8,4.17,3.69,0,D
307,16626.0,30.6,29.6,111.0,6.6,0.1,39.2,4.2,3.93,0,D
308,16590.0,31.1,29.7,111.0,6.6,0.1,39.2,4.2,3.94,0,D
309,20844.0,31.2,30.0,111.0,8.2,-0.1,40.6,4.25,3.84,0,D
310,16512.0,30.9,29.7,111.0,5.9,0.1,39.3,4.21,3.94,0,D
311,17933.0,31.1,30.1,111.0,8.4,0.0,39.2,4.25,3.93,0,D
312,11525.0,31.6,29.7,112.0,8.1,-0.1,39.3,4.34,3.98,0,D
313,17374.0,31.0,29.5,111.0,6.6,0.1,39.1,4.19,3.89,0,D
314,17146.0,31.1,30.2,111.0,7.9,0.0,39.2,4.25,3.79,0,D
315,17941.0,31.3,30.1,111.0,8.5,0.0,39.2,4.25,3.87,0,D
316,16513.0,30.8,29.5,111.0,6.3,0.1,39.1,4.21,3.86,0,D
317,17382.0,30.7,29.6,111.0,6.6,0.1,39.3,4.19,3.93,0,D
318,11526.0,31.5,29.7,112.0,8.4,-0.1,39.2,4.34,4.02,0,D
