,340X1,340X2,340X4,340X5,340X7,340X8,340X10,340X17,340X18,340X27,340X31,340X49,340X53,340X61,340X73,340X75,340X77,340X97,340X99,340X105,340X107,340X108,340X124,340X125,340X126,340X132,340X133,340X138,340X147,340X151,340X161,340X173,340X181,340X182,340X188,340X196,TOOL
31,86,98.0,103.0,98.0,95.0,100,106,0.84,4.03,109.9,3086,0,-2,0,1199,1204,1197,0,1,1,53516,30155,25,26,18,46,46,300,76,70,95,3395,3012.7,3045,105.7,103.6,4106
32,86,92.9,106.0,96.1,92.9,106,106,0.63,4.3,109.3,3085,-1,-2,0,1199,1204,1197,0,0,0,53516,30155,27,28,20,42,42,303,75,71,83,3497,3012.6,3042,107.6,103.1,4147
33,98,95.0,105.0,98.0,88.0,100,105,1.24,5.05,108.4,3085,0,0,0,1198,1200,1193,0,3,1,53517,30155,26,28,17,44,45,304,70,66,89,3429,3008.2,3037,105.1,102.0,3009
34,86,92.9,106.0,96.1,92.9,106,106,0.64,4.38,108.8,3085,-1,-2,0,1199,1204,1197,0,0,1,53440,30042,26,27,20,42,42,303,75,70,83,3499,3011.9,3045,108.3,102.7,4147
35,98,95.0,105.0,98.0,88.0,100,105,1.25,4.95,109.1,3085,0,0,-2,1198,1200,1193,0,1,0,53440,30042,26,27,16,44,45,303,70,65,86,3437,3007.5,3040,106.8,102.0,3009
36,86,98.0,103.0,98.0,95.0,100,106,0.83,4.1,108.6,3086,0,-2,0,1199,1204,1197,0,1,1,53441,30043,24,25,17,46,46,297,76,69,91,3404,3013.2,3042,104.8,103.7,4106
37,86,98.0,103.0,98.0,95.0,100,106,0.85,3.98,108.4,3086,0,-2,0,1199,1204,1197,0,1,1,53670,30305,24,25,18,46,46,300,77,70,92,3397,3012.7,3045,104.1,102.9,4106
38,98,95.0,105.0,98.0,88.0,100,105,1.22,4.43,107.4,3085,0,0,0,1197,1200,1193,0,3,1,53671,30305,26,27,17,44,45,303,71,66,86,3437,3007.8,3040,104.4,101.4,3009
39,86,98.0,103.0,98.0,95.0,100,106,0.85,3.88,109.0,3086,0,-2,0,1199,1204,1197,0,1,1,53337,29761,24,26,18,46,46,296,76,69,93,3397,3012.9,3042,105.2,104.2,4106
40,98,95.0,105.0,98.0,88.0,100,105,1.25,4.45,108.3,3085,1,0,0,1198,1200,1193,0,3,0,53337,29773,26,27,17,44,45,299,70,65,87,3434,3009.8,3040,105.7,102.8,3009
41,86,98.0,103.0,98.0,95.0,100,106,0.85,4.08,109.4,3086,0,-2,0,1199,1204,1197,0,1,1,53398,29927,24,26,17,46,46,297,76,69,93,3399,3013.4,3042,107.6,104.2,4106
42,86,98.0,103.0,98.0,95.0,100,106,0.85,4.03,109.7,3086,0,-2,0,1199,1204,1197,0,1,0,53263,29431,24,26,17,46,46,298,76,69,93,3396,3012.7,3042,106.4,104.2,4106
43,86,98.0,103.0,98.0,95.0,100,106,0.85,4.05,109.3,3086,0,-2,0,1199,1204,1197,0,1,1,53263,29571,24,25,18,46,46,298,76,69,93,3396,3013.5,3040,107.8,104.4,4106
44,98,95.0,105.0,98.0,88.0,100,105,1.3,5.15,108.4,3085,0,-2,0,1198,1200,1193,0,3,0,53398,29927,26,27,17,44,45,297,70,65,87,3437,3008.0,3040,105.1,102.8,3009
45,98,95.0,105.0,98.0,88.0,100,105,1.27,4.98,108.2,3085,0,0,0,1197,1200,1193,0,3,0,53263,29584,26,27,17,44,45,301,71,66,87,3435,3006.8,3040,104.7,102.7,3009
46,98,95.0,105.0,98.0,88.0,100,105,1.2,4.95,108.5,3085,1,0,0,1198,1204,1193,0,3,0,53497,30085,26,28,17,45,45,305,70,65,88,3431,3008.4,3040,106.8,102.1,3009
47,86,98.0,103.0,98.0,95.0,100,106,0.83,4.0,109.5,3086,0,-2,0,1199,1204,1193,0,1,1,53497,30086,24,26,18,46,46,300,76,70,94,3392,3013.4,3042,104.8,103.7,4106
48,98,95.0,105.0,98.0,88.0,100,105,1.21,4.98,108.5,3085,0,0,0,1198,1200,1193,0,3,0,53497,30086,27,28,17,45,45,305,70,65,88,3429,3007.2,3037,106.2,102.2,3009
49,86,98.0,103.0,98.0,95.0,100,106,0.85,4.08,108.9,3086,0,-2,0,1199,1204,1197,0,1,1,53263,29559,25,26,17,46,46,299,76,69,93,3395,3013.1,3045,107.2,104.2,4106
50,86,98.0,103.0,98.0,95.0,100,106,0.85,4.05,110.3,3086,0,-2,0,1199,1200,1197,0,1,1,53348,29839,24,25,17,46,46,298,76,69,93,3396,3013.5,3042,106.1,104.4,4106
51,98,95.0,105.0,98.0,88.0,100,105,1.29,5.1,108.6,3085,0,0,0,1198,1204,1193,0,3,0,53263,29571,26,27,17,44,45,301,70,65,88,3431,3007.4,3040,107.1,102.8,3009
52,98,95.0,105.0,98.0,88.0,100,105,1.28,5.08,108.8,3085,0,0,0,1198,1200,1193,0,3,0,53349,29851,26,27,17,44,45,298,70,65,87,3438,3007.2,3040,105.7,102.8,3009
53,86,92.9,106.0,96.1,92.9,106,106,0.63,4.28,108.8,3085,-1,-2,-2,1199,1204,1193,0,0,1,53594,30233,27,28,20,42,42,304,75,71,83,3496,3011.4,3045,107.2,102.8,4147
54,98,95.0,105.0,98.0,88.0,100,105,1.24,4.43,108.0,3085,0,0,0,1197,1200,1193,0,1,0,53430,30007,26,27,17,44,45,300,71,66,88,3431,3008.4,3040,104.9,102.4,3009
55,86,98.0,103.0,98.0,95.0,100,106,0.85,4.03,108.5,3086,0,-2,0,1199,1204,1197,0,1,1,53430,30020,24,25,18,46,46,297,76,69,93,3398,3012.5,3042,106.0,104.2,4106
56,86,98.0,103.0,98.0,95.0,100,106,0.85,4.03,108.1,3086,0,-2,0,1199,1204,1193,0,1,0,53542,30181,24,26,18,46,46,300,77,70,93,3390,3012.7,3042,103.8,103.5,4106
57,86,92.9,106.0,96.1,92.9,106,106,0.66,4.23,108.8,3085,-1,-2,0,1199,1200,1197,0,0,1,53542,30181,26,27,20,42,42,303,76,70,82,3488,3012.1,3042,106.2,103.0,4147
58,98,95.0,105.0,98.0,88.0,100,105,1.22,4.33,108.2,3085,0,0,0,1197,1200,1193,0,3,0,53543,30181,26,27,17,44,45,303,71,66,86,3428,3007.5,3040,104.2,102.0,3009
59,86,98.0,103.0,98.0,95.0,100,106,0.83,4.1,109.9,3084,0,-2,0,1199,1204,1197,0,1,1,54386,30670,25,26,17,46,46,299,76,70,94,3395,3014.5,3042,106.0,104.1,4106
60,86,92.9,106.0,96.1,92.9,106,106,0.63,4.33,110.6,3083,0,-2,0,1199,1204,1197,0,0,0,54386,30670,27,28,20,42,42,301,75,69,81,3489,3011.6,3045,108.6,104.0,4147
61,86,98.0,103.0,98.0,95.0,100,106,0.84,4.1,109.4,3084,0,-2,0,1199,1204,1197,0,1,1,54387,30670,24,25,17,46,46,299,76,70,94,3396,3013.3,3042,107.3,104.2,4106
62,86,92.9,106.0,96.1,92.9,106,106,0.74,4.43,109.5,3085,-1,-2,0,1199,1204,1197,0,0,1,53708,30343,27,28,20,42,42,300,75,70,83,3494,3011.6,3045,107.7,102.8,4147
63,86,98.0,103.0,98.0,95.0,100,106,0.85,4.0,108.3,3084,0,-2,0,1199,1204,1197,0,1,1,54159,30624,25,26,18,46,46,300,77,70,94,3393,3013.1,3045,104.4,103.4,4106
64,86,98.0,103.0,98.0,95.0,100,106,0.85,3.98,109.0,3084,0,-2,0,1199,1204,1193,0,1,0,54160,30625,25,26,18,46,46,300,77,70,94,3393,3013.8,3042,105.3,103.3,4106
65,86,98.0,103.0,98.0,95.0,100,106,0.85,3.98,109.9,3084,0,-2,0,1199,1204,1193,0,1,1,54161,30626,24,25,17,46,46,299,77,70,94,3394,3013.5,3042,106.5,103.5,4106
66,98,95.0,105.0,98.0,88.0,100,105,1.17,4.35,108.3,3085,1,0,0,1198,1204,1193,0,3,0,53263,29572,26,27,16,44,45,298,70,65,86,3442,3008.3,3040,104.9,102.8,3009
67,86,98.0,103.0,98.0,95.0,100,106,0.83,3.93,110.1,3086,0,-2,0,1199,1204,1197,0,1,1,53354,29858,25,26,18,46,46,297,76,70,93,3396,3012.5,3042,105.8,104.4,4106
68,86,98.0,103.0,98.0,95.0,100,106,0.85,4.05,110.0,3086,0,-2,0,1199,1204,1197,0,1,1,53354,29864,24,25,18,46,46,297,76,70,93,3397,3012.6,3040,105.0,104.3,4106
69,98,95.0,105.0,98.0,88.0,100,105,1.27,5.03,108.2,3085,0,0,0,1198,1200,1193,0,3,0,53354,29864,26,27,17,44,45,298,70,65,87,3437,3007.2,3040,106.9,102.6,3009
70,98,95.0,105.0,98.0,88.0,100,105,1.22,4.35,108.6,3085,0,0,-2,1198,1200,1193,0,3,0,53354,29870,26,27,17,44,45,297,70,65,88,3438,3008.0,3037,106.8,102.8,3009
71,86,92.9,106.0,96.1,92.9,106,106,0.63,4.25,109.7,3085,-1,-2,-2,1199,1204,1197,0,0,0,53633,30272,26,28,20,42,42,302,75,70,83,3494,3011.3,3042,107.8,103.6,4147
72,86,98.0,103.0,98.0,95.0,100,106,0.84,3.95,109.1,3086,0,-2,0,1199,1204,1197,0,1,1,53263,29388,24,25,18,46,46,297,76,70,93,3396,3013.0,3042,106.7,104.5,4106
73,86,98.0,103.0,98.0,95.0,100,106,0.84,3.9,109.6,3086,0,-2,0,1199,1204,1197,0,1,0,53312,29658,24,25,17,46,46,299,76,70,94,3392,3013.6,3042,106.1,104.0,4106
74,86,98.0,103.0,98.0,95.0,100,106,0.84,3.93,110.2,3086,0,-2,0,1199,1204,1197,0,1,0,53314,29671,24,25,18,46,46,297,76,70,94,3394,3012.6,3042,106.3,103.8,4106
75,86,98.0,103.0,98.0,95.0,100,106,0.87,4.1,109.5,3084,0,-2,0,1199,1204,1197,0,1,0,54162,30627,24,25,18,46,46,299,76,70,94,3394,3012.5,3042,107.2,103.5,4106
76,86,98.0,103.0,98.0,95.0,100,106,0.84,4.05,109.2,3084,0,-2,0,1199,1204,1197,0,1,0,54167,30635,24,25,18,46,46,298,76,69,93,3397,3012.7,3042,107.0,103.6,4106
77,86,98.0,103.0,98.0,95.0,100,106,0.82,3.95,108.4,3084,0,-2,0,1199,1204,1197,0,1,0,54167,30637,24,25,18,46,46,298,76,70,93,3397,3013.2,3042,106.5,103.7,4106
78,98,95.0,105.0,98.0,88.0,100,105,1.26,5.05,108.8,3085,1,0,0,1198,1200,1193,0,3,0,54167,30646,26,27,17,44,45,298,70,65,88,3438,3006.7,3037,106.8,102.6,3009
79,98,95.0,105.0,98.0,88.0,100,105,1.26,5.05,108.8,3085,1,0,0,1198,1200,1193,0,3,0,54167,30647,26,27,17,44,45,298,70,65,88,3439,3007.0,3040,107.3,102.7,3009
80,86,98.0,103.0,98.0,95.0,100,106,0.84,4.08,108.8,3086,0,-2,0,1199,1204,1197,0,1,1,53263,29524,24,25,18,46,46,296,75,69,92,3399,3013.1,3042,105.6,104.2,4106
81,86,92.9,106.0,96.1,92.9,106,106,0.62,4.35,108.8,3083,0,-2,0,1199,1204,1197,0,0,0,54683,30771,27,29,20,42,42,305,75,69,82,3487,3012.1,3042,107.3,103.7,4147
82,86,98.0,103.0,98.0,95.0,100,106,0.8,4.0,108.6,3084,0,-2,0,1199,1204,1197,0,1,1,54684,30771,25,26,18,46,46,300,76,69,92,3398,3013.0,3042,107.1,104.0,4106
83,86,92.9,106.0,96.1,92.9,106,106,0.6,4.15,108.8,3083,0,-2,0,1199,1204,1197,0,0,0,54684,30771,28,29,20,42,42,305,75,69,82,3486,3012.2,3045,106.3,103.6,4147
84,86,98.0,103.0,98.0,95.0,100,106,0.86,3.93,110.0,3086,0,-2,0,1199,1204,1197,0,1,1,53333,29732,24,25,18,46,46,297,76,70,94,3395,3013.9,3040,105.7,104.0,4106
85,98,95.0,105.0,98.0,88.0,100,105,1.27,5.13,108.2,3085,1,0,0,1198,1204,1193,0,3,0,53333,29744,26,27,17,44,45,301,70,66,88,3430,3007.4,3040,106.5,102.5,3009
86,98,95.0,105.0,98.0,88.0,100,105,1.26,5.05,108.3,3085,0,0,0,1197,1200,1193,0,3,0,53354,29862,26,27,17,44,45,298,70,66,87,3436,3006.9,3040,105.0,102.7,3009
87,86,98.0,103.0,98.0,95.0,100,106,0.86,4.05,108.7,3086,0,-2,0,1199,1204,1197,0,1,0,53263,29481,24,25,18,46,46,299,76,70,94,3392,3013.5,3042,105.7,104.4,4106
88,98,95.0,105.0,98.0,88.0,100,105,1.22,4.4,108.2,3085,0,0,0,1197,1200,1193,0,3,0,53354,29863,26,27,17,44,45,298,71,66,87,3436,3006.6,3037,106.3,102.7,3009
89,98,95.0,105.0,98.0,88.0,100,105,1.27,5.13,108.5,3085,0,0,0,1198,1200,1193,0,3,0,53354,29866,26,27,16,44,45,298,70,65,87,3437,3007.7,3040,106.2,102.7,3009
90,98,95.0,105.0,98.0,88.0,100,105,1.25,5.03,108.4,3085,0,0,0,1198,1204,1193,0,3,1,53263,29494,26,27,17,44,45,303,71,65,87,3429,3007.3,3040,105.3,102.7,3009
91,98,95.0,105.0,98.0,88.0,100,105,1.28,5.15,108.6,3085,0,0,0,1198,1200,1193,0,3,0,53354,29869,26,27,17,44,45,297,70,65,88,3438,3007.1,3040,105.9,102.8,3009
92,86,98.0,103.0,98.0,95.0,100,106,0.85,4.0,110.2,3086,0,-2,0,1199,1204,1197,0,1,1,53354,29870,24,25,18,46,46,297,76,70,93,3396,3013.8,3042,105.3,104.4,4106
93,98,95.0,105.0,98.0,88.0,100,105,1.26,5.05,108.3,3085,0,0,-2,1198,1200,1193,0,3,0,53312,29643,26,27,17,44,45,303,71,66,88,3427,3007.2,3037,106.6,102.1,3009
94,98,95.0,105.0,98.0,88.0,100,105,1.26,5.03,108.8,3085,0,0,0,1198,1200,1193,0,3,1,53312,29657,26,27,16,44,45,302,71,66,88,3425,3007.5,3040,106.9,102.3,3009
95,98,95.0,105.0,98.0,88.0,100,105,1.27,5.05,108.5,3085,0,0,0,1198,1204,1193,0,3,0,53398,29906,26,27,16,44,45,301,70,65,87,3435,3007.0,3042,106.8,102.7,3009
96,86,98.0,103.0,98.0,95.0,100,106,0.83,3.9,110.0,3086,0,-2,0,1199,1204,1197,0,1,1,53398,29919,24,26,18,46,46,298,76,70,94,3395,3012.6,3042,105.1,104.2,4106
97,86,98.0,103.0,98.0,95.0,100,106,0.83,3.98,110.3,3086,0,-2,0,1199,1204,1197,0,1,1,53337,29774,24,25,17,46,46,297,76,69,93,3397,3012.5,3042,105.9,104.2,4106
98,98,95.0,105.0,98.0,88.0,100,105,1.16,4.33,108.2,3085,1,0,0,1198,1204,1193,0,3,0,53348,29812,26,27,17,45,45,296,70,66,86,3443,3007.3,3040,104.9,102.8,3009
99,86,98.0,103.0,98.0,95.0,100,106,0.85,4.1,109.4,3084,0,-2,0,1199,1204,1197,0,1,0,54551,30734,24,25,18,46,46,299,75,68,90,3405,3013.1,3042,106.1,102.7,4106
100,86,92.9,106.0,96.1,92.9,106,106,0.61,4.3,109.4,3083,-1,-2,0,1199,1204,1197,0,0,1,54551,30734,26,28,20,42,42,302,74,68,79,3498,3011.5,3042,107.2,102.5,4147
101,86,98.0,103.0,98.0,95.0,100,106,0.84,4.05,108.7,3084,0,-2,0,1199,1204,1197,0,1,0,54552,30734,24,25,18,46,46,300,75,69,93,3399,3012.5,3042,105.1,102.8,4106
102,86,92.9,106.0,96.1,92.9,106,106,0.62,4.3,109.5,3083,-1,-2,0,1199,1204,1197,0,0,1,54639,30762,27,28,20,42,42,301,75,69,81,3488,3011.7,3042,108.3,103.7,4147
103,86,98.0,103.0,98.0,95.0,100,106,0.81,3.88,110.0,3084,0,-2,0,1199,1204,1197,0,1,1,54693,30771,25,26,18,46,46,300,76,70,94,3394,3013.6,3045,106.1,104.1,4106
104,86,92.9,106.0,96.1,92.9,106,106,0.62,4.28,109.6,3083,-1,-2,0,1199,1204,1197,0,0,0,54693,30771,27,28,20,42,42,301,75,70,82,3488,3012.4,3047,108.6,103.8,4147
105,86,98.0,103.0,98.0,95.0,100,106,0.83,4.03,109.4,3084,0,-2,0,1199,1204,1197,0,1,0,54723,30781,24,25,18,46,46,300,75,68,90,3405,3013.4,3045,106.8,103.8,4106
106,86,92.9,106.0,96.1,92.9,106,106,0.63,4.3,109.6,3083,-1,-2,0,1199,1204,1197,0,0,0,54694,30771,27,28,20,42,42,300,75,69,82,3488,3011.4,3045,108.7,103.8,4147
107,86,98.0,103.0,98.0,95.0,100,106,0.83,4.03,109.7,3084,0,-2,0,1199,1204,1197,0,1,1,54695,30771,25,26,18,46,46,300,76,70,94,3394,3014.0,3042,105.2,104.3,4106
108,86,92.9,106.0,96.1,92.9,106,106,0.63,4.28,110.1,3083,0,-2,0,1199,1204,1197,0,0,1,54723,30781,27,28,20,42,42,303,74,68,79,3498,3011.9,3047,107.9,103.5,4147
109,98,95.0,105.0,98.0,88.0,100,105,0.87,4.8,108.0,3085,0,0,0,1198,1200,1193,0,3,0,54724,30781,26,27,16,43,45,295,71,66,91,3438,3008.0,3037,106.3,101.8,3009
110,86,98.0,103.0,98.0,95.0,100,106,0.87,4.08,109.8,3086,0,-2,0,1199,1204,1197,0,1,0,53263,29405,25,26,17,46,46,302,77,70,94,3391,3013.7,3045,105.7,103.4,4106
111,98,95.0,105.0,98.0,88.0,100,105,1.28,5.15,108.5,3085,0,0,0,1198,1204,1193,0,3,1,53263,29417,26,27,16,44,45,302,71,65,88,3427,3006.9,3040,105.5,102.4,3009
112,86,92.9,106.0,96.1,92.9,106,106,0.67,4.25,109.7,3085,0,-2,-2,1199,1204,1197,0,0,0,53472,30062,26,27,19,42,42,304,75,70,83,3494,3011.8,3045,108.2,103.2,4147
113,86,92.9,106.0,96.1,92.9,106,106,0.67,4.4,110.0,3085,-1,-2,0,1199,1204,1197,0,0,1,53497,30062,26,27,20,42,42,303,75,70,83,3493,3013.2,3042,107.5,104.2,4147
114,86,98.0,103.0,98.0,95.0,100,106,0.85,4.05,109.7,3086,0,-2,0,1199,1204,1197,0,1,1,53333,29745,24,25,18,46,46,297,76,69,93,3397,3013.4,3042,107.3,104.2,4106
115,98,95.0,105.0,98.0,88.0,100,105,1.24,5.08,108.7,3085,1,0,0,1198,1204,1193,0,3,0,53334,29757,26,27,16,44,45,300,70,65,87,3437,3007.6,3040,107.1,102.7,3009
116,98,95.0,105.0,98.0,88.0,100,105,1.25,5.0,108.0,3085,0,0,0,1197,1200,1193,0,3,0,53398,29893,27,28,16,44,45,304,71,66,88,3427,3007.1,3040,106.7,102.4,3009
117,86,98.0,103.0,98.0,95.0,100,106,0.84,3.95,110.1,3086,0,-2,0,1199,1204,1197,0,1,1,53398,29906,25,26,18,46,46,299,76,70,94,3394,3013.5,3042,105.3,103.9,4106
118,86,92.9,106.0,96.1,92.9,106,106,0.64,4.3,109.2,3085,-1,-2,0,1199,1204,1197,0,0,1,53718,30353,27,28,19,42,42,304,76,70,82,3489,3011.9,3045,106.1,103.3,4147
119,86,98.0,103.0,98.0,95.0,100,106,0.84,3.88,110.0,3086,0,-2,0,1199,1204,1197,0,1,1,53430,30032,24,25,18,46,46,296,75,70,93,3399,3014.3,3042,106.8,104.3,4106
120,86,98.0,103.0,98.0,95.0,100,106,0.84,4.05,108.7,3086,0,-2,0,1199,1204,1197,0,1,1,53354,29867,24,25,18,46,46,297,76,69,93,3397,3013.2,3042,107.6,104.3,4106
121,98,95.0,105.0,98.0,88.0,100,105,1.27,5.1,108.6,3085,0,0,0,1198,1204,1193,0,3,0,53354,29868,26,27,17,44,45,297,70,65,88,3437,3008.1,3040,105.2,102.7,3009
122,98,95.0,105.0,98.0,88.0,100,105,1.19,4.3,109.0,3085,0,0,0,1198,1200,1193,0,3,0,53398,29945,26,27,17,44,45,298,70,65,87,3436,3007.6,3040,105.5,103.0,3009
123,86,98.0,103.0,98.0,95.0,100,106,0.83,3.98,109.0,3086,0,-2,0,1199,1204,1197,0,1,1,53398,29958,24,25,18,46,46,297,76,69,93,3398,3013.7,3042,107.1,104.4,4106
124,86,92.9,106.0,96.1,92.9,106,106,0.66,4.33,109.1,3085,-1,-2,-2,1199,1204,1197,0,0,0,53727,30362,27,28,20,42,42,303,75,70,82,3493,3011.9,3045,107.7,103.5,4147
125,98,95.0,105.0,98.0,88.0,100,105,1.27,4.93,107.9,3085,0,0,-2,1198,1200,1193,0,3,1,53736,30370,26,28,17,44,45,302,71,66,87,3432,3006.7,3040,105.6,102.4,3009
126,86,98.0,103.0,98.0,95.0,100,106,0.89,4.08,109.5,3086,0,-2,0,1199,1204,1197,0,1,0,53263,29286,24,25,17,46,46,297,75,68,89,3409,3012.1,3042,104.9,103.9,4106
127,98,95.0,105.0,98.0,88.0,100,105,1.24,4.98,109.1,3085,0,0,0,1197,1200,1193,0,3,0,53449,30050,26,27,17,44,45,302,71,66,88,3429,3008.1,3037,106.2,102.0,3009
