,210X1,210X2,210X3,210X4,210X5,210X6,210X8,210X10,210X12,210X20,210X23,210X33,210X36,210X39,210X65,210X86,210X87,210X89,210X90,210X91,210X152,210X154,210X155,210X158,210X159,210X160,210X161,210X164,210X165,210X171,210X174,210X175,210X181,210X186,210X187,210X188,210X189,210X191,210X192,210X193,210X195,210X206,210X207,210X210,210X219,210X229,210X230,TOOL
10,98.95,0.525,0.25,1.132,57.14,2.992,0.3,27.3,0.487,14.6,14.5,0.076,425,46.52,0.005,763.97,149.305,0.31,0.24,0.18,-25.04,0.708,0.712,0.327,0.242,0.084,0.053,0.595,0.651,1.58,0.803,0.692,0.01,86961.8,8458.89,16510.2,701.33,0.03,2.1,0.02,4.58,2036339912,2046771013,1.347,48.5,0.8,1.5,L
11,101.5,0.312,0.4,0.554,71.63,3.697,-0.44,24.3,0.349,13.9,14.1,0.079,435,55.94,0.005,322.67,63.825,0.16,0.23,0.14,-3.425,0.601,0.605,0.094,0.072,0.018,0.014,0.573,0.611,14.48,0.584,0.608,0.065,62523.3,3433.91,21719.8,65.46,0.24,1.7,0.31,4.21,1896286084,2721712789,1.173,47.2,0.1,0.2,J
12,101.45,0.311,0.4,0.56,71.61,3.712,-0.61,24.9,0.336,13.9,14.4,0.079,435,55.84,0.006,313.4,67.575,0.17,0.22,0.13,-2.885,0.587,0.601,0.117,0.071,0.022,0.016,0.599,0.595,0.625,0.585,0.609,0.065,63197.6,3544.29,21445.0,63.84,0.14,1.8,0.31,4.4,1896544049,2721970767,1.172,49.2,0.2,0.3,J
13,101.45,0.314,0.4,0.571,71.67,3.715,-0.58,25.0,0.335,13.9,14.2,0.079,435,56.09,0.007,278.965,64.745,0.17,0.23,0.13,-2.85,0.599,0.617,0.109,0.078,0.02,0.014,0.605,0.621,0.55,0.587,0.609,0.065,63384.6,3394.37,21299.3,62.65,0.17,1.8,0.3,4.74,1896798314,2722224957,1.177,48.0,0.1,0.2,J
14,101.75,0.808,0.22,3.487,62.54,3.524,1.08,26.4,2.475,14.3,14.0,0.068,430,66.37,0.005,877.805,202.175,0.2,0.21,0.13,-47.26,0.706,0.694,0.18,0.313,0.029,0.059,0.736,0.677,1.765,0.716,0.681,0.215,97987.7,7647.52,5011.3,289.95,0.05,0.9,0.03,2.56,934590280,934597347,2.192,43.9,0.6,5.3,M
15,99.1,0.569,0.24,1.134,56.66,3.46,0.7,26.0,0.497,14.5,14.7,0.076,425,49.66,0.004,646.31,125.53,0.36,0.24,0.2,-35.575,0.672,0.75,0.33,0.233,0.082,0.049,0.744,0.704,1.245,0.784,0.684,0.0,88694.2,7552.04,25199.3,644.57,0.04,2.2,0.03,4.47,2098570645,2109001787,1.303,43.6,0.7,1.3,L
16,102.1,0.439,0.27,1.391,67.24,4.618,-0.96,26.3,0.528,14.5,14.1,0.08,450,52.15,0.005,748.385,158.605,0.22,0.3,0.19,-12.76,0.746,0.541,0.261,0.312,0.04,0.09,0.716,0.702,1.495,0.716,0.58,0.005,85314.8,9343.08,5019.6,10.87,0.05,1.1,0.01,2.63,555722723,555724076,1.225,45.8,0.3,2.1,N
17,101.95,0.843,0.22,3.704,63.19,3.745,0.93,27.7,2.489,14.3,14.1,0.068,430,66.97,0.006,745.665,192.365,0.19,0.21,0.14,-22.435,0.714,0.672,0.162,0.297,0.026,0.059,0.726,0.674,1.595,0.716,0.684,0.195,96549.5,7823.5,5029.6,279.79,0.06,0.9,0.03,2.47,934854153,934861228,2.343,36.6,0.6,5.3,M
18,99.13,0.575,0.24,1.224,56.64,3.431,0.62,27.3,0.497,14.6,14.4,0.077,425,49.69,0.004,578.58,146.85,0.35,0.24,0.19,-66.245,0.831,0.74,0.335,0.243,0.083,0.052,0.843,0.731,1.445,0.774,0.69,0.0,87445.6,8081.98,25140.6,727.65,0.04,2.2,0.03,5.83,2098832319,2109263478,1.309,43.7,0.7,1.3,L
19,102.15,0.448,0.27,1.411,67.26,4.627,-0.61,26.2,0.535,14.3,14.1,0.08,450,52.25,0.004,681.585,2184.255,0.22,0.31,0.19,-9.805,0.639,0.541,0.258,0.314,0.053,0.089,0.72,0.539,1.475,0.712,0.583,0.01,84852.9,10131.25,5019.5,7.28,0.05,1.2,0.02,2.65,555987775,555989169,1.236,47.8,0.3,2.2,N
20,101.5,0.794,0.22,3.396,62.02,3.372,1.19,28.0,2.488,14.3,14.1,0.068,430,65.85,0.005,766.81,167.55,0.19,0.21,0.13,-50.365,0.698,0.668,0.166,0.299,0.028,0.059,0.755,0.666,1.36,0.716,0.679,0.15,97096.7,7671.3,4886.1,245.27,0.06,0.9,0.04,2.63,935118226,935125309,2.157,37.1,0.5,5.3,M
21,99.11,0.571,0.24,1.208,56.61,3.431,0.65,28.4,0.499,14.5,14.7,0.076,425,49.67,0.005,710.46,133.43,0.35,0.23,0.19,-34.36,0.818,0.664,0.34,0.272,0.079,0.053,0.817,0.681,1.28,0.792,0.694,0.0,87895.8,7113.89,25114.1,650.76,0.05,2.2,0.02,5.71,2099097466,2109528627,1.307,42.0,0.7,1.3,L
22,102.15,0.461,0.27,1.516,67.38,4.603,-1.05,26.2,0.529,14.1,14.4,0.08,450,52.41,0.005,693.57,156.05,0.23,0.31,0.19,-18.235,0.691,0.572,0.278,0.321,0.051,0.092,0.728,0.536,1.515,0.714,0.58,0.02,87445.5,9085.4,5025.6,11.03,0.06,1.2,0.02,2.57,556252966,556254315,1.284,46.4,0.4,2.3,N
23,101.9,0.843,0.22,3.689,63.01,3.763,0.99,27.7,2.485,14.2,14.1,0.068,430,66.78,0.005,804.665,191.135,0.19,0.21,0.13,-45.065,0.698,0.651,0.15,0.32,0.025,0.068,0.709,0.633,1.55,0.716,0.679,0.21,98126.2,8111.79,4959.8,271.85,0.06,0.9,0.03,2.21,935382585,935389710,2.314,42.7,0.6,5.3,M
24,102.35,0.403,0.27,1.286,67.46,4.585,-0.9,26.5,0.473,14.3,14.2,0.08,450,53.8,0.005,591.09,140.27,0.21,0.28,0.18,-29.535,0.729,0.569,0.286,0.316,0.047,0.109,0.7,0.559,1.185,0.715,0.602,0.015,62115.9,12043.48,2575.2,10.08,0.06,0.9,0.02,1.65,481539433,481540798,1.191,41.6,0.3,2.2,N
25,99.3,0.508,0.25,1.139,57.23,3.132,0.53,27.0,0.5,14.7,14.4,0.076,425,49.45,0.005,732.455,161.335,0.3,0.24,0.18,-54.855,0.732,0.706,0.328,0.246,0.09,0.056,0.843,0.705,1.715,0.788,0.693,0.005,84208.3,6238.87,18491.5,680.54,0.03,2.1,0.03,4.75,2022769312,2033200484,1.319,36.2,0.7,1.2,L
26,102.05,0.459,0.27,1.47,67.29,4.633,-0.84,26.3,0.537,14.2,14.2,0.081,450,52.13,0.004,813.11,159.19,0.23,0.3,0.19,-12.88,0.714,0.531,0.274,0.31,0.037,0.091,0.734,0.532,1.555,0.716,0.574,0.01,78076.5,11174.46,5276.2,13.0,0.05,1.1,0.02,2.66,557785843,557787184,1.265,45.1,0.3,2.6,N
27,99.58,0.514,0.24,1.21,57.35,3.17,0.97,28.1,0.492,14.7,14.6,0.076,425,50.11,0.004,694.475,141.775,0.3,0.22,0.17,-23.74,0.827,0.693,0.329,0.245,0.081,0.055,0.842,0.742,1.445,0.809,0.701,0.01,82840.0,8222.65,20353.8,806.35,0.03,2.0,0.01,4.33,2010197514,2020628643,1.318,36.9,0.7,1.4,L
28,102.35,0.402,0.27,1.121,67.36,4.582,-1.05,27.1,0.483,14.1,14.1,0.08,450,52.59,0.005,27841.355,158.745,0.21,0.29,0.18,0.73,0.732,0.541,0.207,0.312,0.031,0.109,0.729,0.554,58.62,0.722,0.609,0.01,89164.9,8757.47,4206.0,10.63,0.05,1.1,0.02,2.76,473422788,473424160,1.146,48.0,0.3,2.1,N
29,102.35,0.389,0.27,1.086,67.36,4.561,-1.08,26.3,0.476,14.3,14.2,0.08,450,53.03,0.004,801.94,150.03,0.21,0.29,0.18,-1.13,0.732,0.555,0.301,0.31,0.041,0.115,0.732,0.574,1.59,0.719,0.603,0.015,87506.0,9613.93,2557.5,18.63,0.06,1.0,0.01,2.48,478625927,478627289,1.143,40.2,0.3,2.2,N
30,99.31,0.519,0.25,1.191,57.27,3.135,0.62,27.0,0.495,14.8,14.8,0.076,425,49.66,0.005,772.48,166.73,0.31,0.24,0.18,-42.685,0.879,0.692,0.334,0.247,0.099,0.058,0.881,0.678,1.53,0.786,0.698,0.0,86204.8,7046.54,20458.3,641.87,0.04,2.1,0.02,5.0,2019819171,2030250341,1.336,43.4,0.7,1.2,L
31,102.35,0.378,0.27,0.982,67.0,4.58,-0.87,27.2,0.456,14.3,14.3,0.081,450,51.63,0.005,707.02,156.875,0.19,0.28,0.17,-29.48,0.759,0.73,0.189,0.316,0.033,0.124,0.734,0.691,1.54,0.724,0.647,0.015,68099.5,11201.31,3325.4,9.99,0.07,1.0,0.02,1.91,631433119,631434491,1.115,42.5,0.3,2.3,N
32,101.2,0.493,0.24,1.317,57.2,3.697,0.65,27.3,0.426,14.6,14.7,0.074,420,60.8,0.004,775.38,152.67,0.31,0.23,0.19,-42.275,0.731,0.667,0.326,0.238,0.079,0.055,0.809,0.679,1.52,0.799,0.702,0.0,67971.9,8537.09,14453.8,1060.37,0.03,2.0,0.03,2.97,2167179026,2177610135,1.272,40.8,0.7,1.3,L
33,102.35,0.385,0.27,1.043,67.05,4.551,-1.19,26.5,0.461,14.2,14.4,0.08,450,51.5,0.004,711.745,149.51,0.19,0.28,0.17,-3.02,0.734,0.697,0.177,0.312,0.029,0.118,0.738,0.687,1.575,0.724,0.623,0.015,79357.4,10461.6,3402.1,10.09,0.05,0.9,0.01,1.87,631681035,631682417,1.139,38.7,0.3,2.3,N
34,101.35,0.327,0.4,0.711,71.61,3.718,-0.41,23.9,0.327,14.0,14.3,0.079,435,58.27,0.007,325.735,66.92,0.17,0.25,0.14,-3.365,0.565,0.578,0.037,0.035,0.007,0.007,0.559,0.591,0.61,0.561,0.587,0.06,28347.6,3903.18,7251.8,62.49,0.23,1.3,0.17,2.21,1923810275,2749236994,1.166,39.2,0.1,0.2,J
35,101.35,0.327,0.4,0.71,71.58,3.718,-0.44,23.9,0.332,14.0,14.4,0.08,435,57.96,0.005,302.44,67.73,0.17,0.27,0.15,-3.055,0.565,0.587,0.048,0.037,0.009,0.007,0.565,0.586,0.585,0.562,0.587,0.06,39441.3,3439.5,7697.9,61.04,0.33,1.4,0.24,2.93,1924064738,2749491440,1.164,39.2,0.1,0.2,J
36,101.4,0.323,0.4,0.674,71.57,3.736,-0.64,24.4,0.335,14.0,14.2,0.079,435,57.97,0.007,302.15,65.015,0.17,0.25,0.15,-3.555,0.561,0.584,0.04,0.037,0.008,0.007,0.565,0.589,0.49,0.564,0.589,0.055,48085.6,3385.28,8111.6,73.1,0.28,1.5,0.3,2.89,1924315935,2749742562,1.164,39.4,0.1,0.2,J
37,100.5,0.815,0.22,3.394,61.9,3.426,1.62,27.5,2.603,14.1,14.3,0.069,430,61.61,0.006,895.235,180.57,0.2,0.21,0.14,-43.835,0.695,0.724,0.167,0.315,0.026,0.08,0.712,0.783,1.62,0.708,0.682,0.195,76558.2,8008.37,1251.9,209.67,0.05,0.5,0.01,1.03,988895036,988902102,2.008,42.2,0.4,8.5,M
38,100.8,0.844,0.22,3.596,62.47,3.678,1.77,27.2,2.591,14.1,14.2,0.069,430,62.8,0.006,946.03,197.105,0.21,0.21,0.14,-40.085,0.725,0.677,0.142,0.301,0.023,0.078,0.714,0.753,1.635,0.71,0.692,0.215,82458.4,9731.59,2096.6,383.32,0.04,0.6,0.01,1.26,989142579,989149653,2.138,39.1,0.5,8.6,M
39,102.1,0.432,0.27,1.266,67.22,4.589,-0.96,25.9,0.524,14.4,14.2,0.08,450,51.91,0.004,785.585,158.99,0.22,0.31,0.19,-12.81,0.72,0.546,0.275,0.318,0.052,0.085,0.601,0.531,1.615,0.713,0.577,0.015,83853.6,9616.74,4650.7,8.74,0.06,1.1,0.01,2.59,550931735,550933075,1.174,43.2,0.3,2.2,N
40,101.7,0.774,0.22,3.298,62.05,3.325,0.96,26.2,2.448,13.9,14.1,0.068,430,66.03,0.007,962.74,196.985,0.2,0.21,0.14,-43.085,0.714,0.644,0.151,0.312,0.026,0.07,0.74,0.679,1.6,0.717,0.69,0.14,100683.4,8492.94,4881.2,297.5,0.05,0.9,0.03,2.47,932221212,932228286,2.104,42.1,0.6,5.3,M
41,101.1,0.799,0.22,3.349,62.15,3.406,0.96,29.4,2.48,14.3,14.0,0.069,430,64.08,0.007,948.705,189.46,0.2,0.21,0.13,-5.745,0.731,0.762,0.151,0.321,0.027,0.068,0.707,0.644,1.675,0.71,0.681,0.195,93759.1,8866.93,2323.6,247.36,0.09,0.8,0.02,2.0,974330501,974337571,2.044,49.7,0.4,6.3,M
42,102.5,0.396,0.27,1.227,67.62,4.563,-0.76,26.3,0.479,14.0,14.1,0.08,450,54.81,0.004,698.2,153.28,0.2,0.31,0.19,1.675,0.677,0.536,0.192,0.309,0.039,0.111,0.746,0.541,1.39,0.717,0.613,0.01,54795.5,12876.51,1156.2,14.64,0.04,0.8,0.01,1.53,489232250,489233648,1.16,42.9,0.3,2.5,N
43,100.5,0.865,0.22,3.365,61.61,3.652,0.93,28.6,2.42,14.4,14.1,0.068,430,62.42,0.007,739.925,193.71,0.21,0.21,0.13,-7.86,0.721,0.679,0.14,0.298,0.026,0.075,0.711,0.678,1.485,0.718,0.702,0.195,96289.6,8949.8,3676.9,213.16,0.05,0.9,0.03,2.63,881044625,881051748,2.106,40.4,0.4,3.8,M
44,102.05,0.531,0.27,1.365,33.84,2.293,-0.93,26.6,0.582,14.3,14.2,0.08,450,54.28,0.004,596.115,138.08,0.23,0.27,0.18,0.045,0.736,0.541,0.28,0.317,0.04,0.108,0.703,0.536,1.365,0.714,0.593,0.01,37900.9,10953.21,485.4,11.36,0.04,0.6,0.0,1.02,597839380,597840694,1.223,38.7,0.3,2.2,N
45,100.85,0.97,0.22,3.705,62.84,4.22,0.93,27.4,2.425,14.3,13.9,0.069,430,63.67,0.007,850.735,212.195,0.21,0.22,0.14,-17.22,0.752,0.738,0.155,0.314,0.026,0.07,0.738,0.677,1.655,0.718,0.692,0.15,101945.6,9392.63,4490.8,260.49,0.05,0.9,0.03,2.42,884250025,884257114,2.376,46.1,0.3,3.7,M
46,101.35,0.331,0.4,0.778,71.59,3.607,-0.61,24.1,0.372,14.2,14.4,0.078,440,53.06,0.007,331.445,75.97,0.19,0.25,0.15,-2.7,0.578,0.601,0.192,0.202,0.035,0.024,0.598,0.614,0.73,0.597,0.613,0.075,48243.7,3363.47,21075.6,58.46,0.41,1.8,0.26,3.8,1998253687,2823680386,1.14,41.8,0.1,0.2,J
47,101.35,0.325,0.41,0.696,71.48,3.646,-0.67,24.3,0.363,14.1,14.2,0.078,440,52.37,0.007,321.76,68.64,0.18,0.22,0.14,-1.545,0.575,0.603,0.218,0.209,0.025,0.026,0.575,0.631,0.575,0.591,0.613,0.08,53006.7,3219.13,20885.8,62.43,0.2,1.8,0.34,3.9,1998505075,2823931779,1.138,39.0,0.1,0.4,J
48,101.35,0.323,0.41,0.661,71.5,3.626,-0.5,24.9,0.366,14.1,13.9,0.078,440,52.2,0.007,298.575,78.665,0.18,0.22,0.14,-2.06,0.619,0.601,0.171,0.201,0.034,0.026,0.592,0.595,0.665,0.604,0.617,0.06,57329.2,3096.34,20698.9,62.26,0.23,1.8,0.35,3.69,1998756756,2824183384,1.137,38.6,0.1,0.3,J
49,101.35,0.339,0.4,0.947,71.61,3.678,-0.44,24.2,0.385,13.9,14.2,0.079,435,54.31,0.007,324.695,64.8,0.21,0.25,0.16,-3.81,0.577,0.585,0.041,0.036,0.008,0.007,0.565,0.587,0.575,0.567,0.585,0.065,16482.5,3802.06,799.4,45.22,0.03,1.0,0.07,1.3,1883963173,2709389863,1.18,40.4,0.1,0.2,J
50,101.5,0.309,0.4,0.533,71.64,3.732,-0.61,24.4,0.325,14.1,14.2,0.079,435,57.85,0.007,349.255,73.735,0.16,0.23,0.13,-3.135,0.567,0.619,0.087,0.077,0.016,0.012,0.574,0.601,0.695,0.577,0.601,0.06,53851.7,3376.33,22428.4,57.51,0.53,1.8,0.27,4.03,1908860752,2734287477,1.174,39.0,0.1,0.3,J
51,101.5,0.336,0.4,0.943,71.81,3.676,-0.53,24.7,0.352,14.1,14.3,0.079,435,56.0,0.005,328.765,66.995,0.2,0.24,0.15,-2.645,0.615,0.615,0.157,0.083,0.029,0.017,0.645,0.609,0.535,0.597,0.614,0.07,60353.6,3667.1,14724.8,62.99,0.18,1.7,0.34,4.17,1889814343,2715241002,1.183,37.6,0.1,0.3,J
52,101.55,0.308,0.4,0.542,71.61,3.741,-0.58,25.0,0.324,14.0,14.3,0.08,435,57.98,0.007,280.185,64.785,0.16,0.24,0.14,-2.09,0.565,0.6,0.164,0.21,0.03,0.032,0.602,0.637,0.575,0.593,0.615,0.08,55662.6,3910.81,25258.3,61.8,0.07,1.8,0.34,4.23,1914830313,2740257052,1.168,48.8,0.1,0.1,J
53,101.4,0.349,0.4,1.115,71.92,3.651,-0.64,24.4,0.33,13.8,14.3,0.079,435,59.47,0.005,324.315,72.43,0.19,0.26,0.15,-2.715,0.569,0.589,0.057,0.068,0.011,0.009,0.567,0.596,0.59,0.569,0.593,0.065,53877.6,3079.23,15570.8,75.82,0.15,1.6,0.29,3.59,1948409901,2773836589,1.178,44.6,0.2,0.4,J
54,100.75,0.486,0.24,1.072,56.85,3.699,0.82,28.0,0.414,14.7,14.8,0.075,420,58.06,0.005,651.595,153.34,0.32,0.24,0.19,-41.175,0.814,0.746,0.318,0.231,0.09,0.048,0.727,0.708,1.415,0.769,0.69,0.0,85788.6,7712.23,23652.0,756.65,0.04,2.2,0.02,5.53,2190534536,2200965674,1.239,43.0,0.7,1.4,L
55,100.75,0.496,0.24,1.048,56.89,3.72,0.76,26.1,0.413,14.7,14.4,0.075,420,57.58,0.005,747.785,158.605,0.32,0.25,0.19,-42.255,0.664,0.714,0.327,0.229,0.082,0.051,0.75,0.661,1.345,0.777,0.694,0.01,84420.8,8465.46,24471.8,736.77,0.04,2.2,0.02,4.33,2193747143,2204178309,1.251,50.0,0.7,1.3,L
56,101.05,0.508,0.24,1.23,56.99,3.669,0.36,27.3,0.412,14.8,14.6,0.075,420,59.8,0.005,887.365,156.24,0.31,0.24,0.18,-22.8,0.827,0.661,0.333,0.273,0.09,0.052,0.764,0.723,1.775,0.772,0.694,0.0,86843.1,7283.72,23667.9,681.99,0.02,2.2,0.03,6.05,2179722101,2190153277,1.263,44.8,0.7,1.4,L
57,102.3,0.423,0.26,1.2,67.08,4.595,-0.87,25.8,0.475,14.3,14.1,0.08,450,52.48,0.004,729.775,138.91,0.21,0.27,0.17,-11.015,0.718,0.563,0.212,0.315,0.03,0.132,0.692,0.661,1.52,0.722,0.634,0.01,81173.6,9150.99,5941.6,4.62,0.07,1.1,0.01,2.49,644176906,644178292,1.183,36.7,0.4,2.3,N
58,101.0,0.51,0.24,1.212,57.02,3.674,0.47,26.9,0.417,14.8,14.7,0.075,420,59.74,0.004,991.47,152.43,0.31,0.24,0.19,-51.715,0.717,0.671,0.337,0.231,0.09,0.055,0.697,0.815,1.915,0.782,0.699,0.005,85456.0,7001.29,23864.3,727.16,0.04,2.1,0.02,5.12,2179984258,2190415368,1.257,44.7,0.6,1.3,L
59,101.85,0.484,0.26,1.301,67.25,4.641,-0.96,26.0,0.563,14.4,14.3,0.08,445,53.06,0.005,860.59,165.925,0.22,0.36,0.2,3.055,0.74,0.532,0.287,0.315,0.04,0.127,0.708,0.555,1.71,0.716,0.617,0.015,41070.7,11539.5,1807.9,12.92,0.07,0.7,0.0,1.41,792386082,792387431,1.183,36.0,0.4,2.3,N
60,101.85,0.496,0.26,1.277,67.28,4.665,-0.93,26.1,0.566,14.2,14.2,0.08,445,53.17,0.004,930.21,188.15,0.22,0.35,0.2,-10.675,0.744,0.575,0.211,0.319,0.036,0.132,0.724,0.835,1.745,0.72,0.618,0.015,40266.6,10832.93,1049.4,14.43,0.05,0.7,0.0,1.28,793607057,793608394,1.178,36.9,0.3,2.1,N
61,101.85,0.496,0.26,1.304,67.3,4.634,-0.93,26.7,0.571,14.3,14.2,0.08,445,53.23,0.003,700.605,162.205,0.21,0.36,0.2,-6.36,0.736,0.689,0.294,0.317,0.04,0.13,0.748,0.532,1.47,0.719,0.629,0.02,49613.1,14969.36,954.5,16.45,0.04,0.7,0.0,1.47,794252243,794253610,1.19,38.3,0.3,2.3,N
62,101.5,0.346,0.4,1.045,71.92,3.663,-0.58,24.3,0.338,14.1,14.3,0.079,435,59.15,0.007,282.415,70.99,0.19,0.27,0.16,-3.565,0.586,0.598,0.153,0.188,0.023,0.022,0.573,0.607,0.51,0.579,0.603,0.065,60884.7,3211.47,18620.3,86.79,0.22,1.8,0.35,5.05,1939066682,2764493333,1.177,49.2,0.1,0.3,J
63,99.38,0.58,0.24,1.341,56.67,3.498,0.65,26.3,0.492,14.5,14.5,0.076,425,50.15,0.005,671.27,138.98,0.34,0.23,0.19,-33.18,0.741,0.647,0.324,0.238,0.08,0.047,0.73,0.708,1.31,0.796,0.69,0.01,85178.0,8040.37,15863.5,718.95,0.04,2.1,0.01,5.1,2089315095,2099746208,1.318,39.7,0.6,1.3,L
64,102.2,0.43,0.27,1.3,67.33,4.56,-0.87,27.1,0.512,14.3,14.2,0.08,450,52.0,0.004,646.915,159.37,0.22,0.3,0.19,-5.175,0.748,0.532,0.28,0.312,0.049,0.088,0.634,0.566,1.465,0.718,0.579,0.015,88101.2,9364.84,3131.3,16.79,0.05,1.1,0.02,2.66,546455504,546456844,1.195,46.3,0.3,2.1,N
65,102.0,0.817,0.22,3.565,62.77,3.616,0.9,27.8,2.509,14.3,14.1,0.069,430,66.89,0.006,941.48,190.555,0.19,0.2,0.13,-42.0,0.718,0.637,0.176,0.319,0.028,0.058,0.71,0.701,1.845,0.718,0.673,0.23,98711.1,9049.78,3487.7,313.68,0.05,0.8,0.02,2.43,925609185,925616275,2.256,39.8,0.5,5.1,M
66,102.15,0.435,0.27,1.394,67.36,4.641,-0.99,25.8,0.504,14.4,14.2,0.081,450,53.42,0.004,728.575,162.045,0.21,0.36,0.21,-2.37,0.725,0.72,0.208,0.309,0.033,0.115,0.73,0.531,1.545,0.724,0.609,0.015,77149.3,11448.57,4173.4,14.66,0.05,1.1,0.01,2.41,502302373,502303794,1.216,47.7,0.4,2.2,N
67,101.5,0.31,0.4,0.555,71.61,3.751,-0.47,24.8,0.318,14.0,14.4,0.079,435,57.98,0.006,358.595,70.36,0.16,0.25,0.14,-2.73,0.587,0.602,0.168,0.321,0.03,0.034,0.585,0.599,0.645,0.595,0.615,0.06,59440.1,3924.6,24978.9,53.72,0.26,1.8,0.34,4.11,1915084639,2740511278,1.168,49.0,0.2,0.3,J
68,101.5,0.312,0.4,0.576,71.66,3.739,-0.47,24.1,0.328,14.0,14.0,0.079,435,58.19,0.006,309.74,66.71,0.16,0.25,0.14,-2.15,0.571,0.613,0.186,0.197,0.032,0.033,0.619,0.598,0.59,0.593,0.611,0.08,58193.1,3606.82,25673.3,61.37,0.17,1.8,0.35,5.39,1917866860,2743293499,1.169,47.6,0.1,0.2,J
