,420X4,420X12,420X13,420X16,420X19,420X20,420X21,420X23,420X31,420X33,420X35,420X37,420X72,420X73,420X74,420X75,420X76,420X79,420X85,420X92,420X93,420X97,420X98,420X114,420X115,420X116,420X117,420X118,420X138,420X150,420X151,420X152,420X154,420X188,420X192,420X194,420X197,420X199,420X200,420X202,420X205,420X211,420X213,420X215,420X216,null_count,TOOL
20,13167.0,14.0,14.0,13.9,90.0,90.0,90.0,90.0,4541.0,4541.0,226.0,226.0,2.3,4.1,7.0,2.3,2.4,6.9,370.2,8.6,9.9,9.0,10.3,0.1,0.1,0.2,0.0,0.1,15.9,0.1,0.1,0.1,0.1,114.5,40.6,48.9,14.74,14.78,13.84,14.74,1602.0,35.6,5.71,5.71,5.31,0,D
21,18786.0,14.5,14.5,14.5,90.1,90.2,90.3,90.1,18786.0,18786.0,226.0,226.0,2.6,4.1,5.5,2.5,2.5,5.6,373.1,9.1,11.1,9.6,11.8,-0.1,-0.1,0.0,-0.1,0.0,15.9,0.0,0.0,0.0,0.0,108.5,40.0,48.5,14.56,14.61,13.85,14.62,1680.0,37.6,5.72,5.73,5.32,0,D
22,21176.0,14.1,14.1,14.1,90.0,90.0,90.1,90.0,9340.0,21176.0,226.0,226.0,2.4,4.0,5.9,2.4,2.6,5.8,373.1,8.5,9.9,8.8,10.4,0.0,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,110.2,37.4,44.7,14.77,14.78,13.3,14.79,1328.0,36.2,5.73,5.74,5.21,0,D
23,13168.0,14.0,14.0,14.1,89.9,90.0,90.1,89.9,4542.0,4542.0,226.0,226.0,2.4,4.1,6.6,2.3,2.6,5.7,370.2,8.7,10.4,9.0,10.7,0.1,0.1,0.2,0.0,0.1,15.9,0.1,0.0,0.1,0.1,113.9,40.5,48.6,14.74,14.77,13.88,14.74,1602.0,35.8,5.71,5.71,5.33,0,D
24,18440.0,14.4,14.5,14.6,90.0,89.9,90.0,90.0,18440.0,18440.0,227.0,226.0,2.2,3.8,5.3,2.2,2.5,5.4,373.1,9.1,10.9,9.6,11.6,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,107.8,39.7,47.1,14.61,14.61,14.01,14.62,1421.0,38.8,5.76,5.77,5.43,0,C
25,20780.0,14.1,14.1,14.0,90.0,90.0,90.1,90.0,8944.0,20780.0,226.0,226.0,2.7,3.8,5.6,2.4,2.7,5.6,373.1,8.6,9.9,8.9,10.5,-0.1,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,109.5,37.3,44.1,14.77,14.78,13.53,14.79,1275.0,36.6,5.67,5.67,5.26,0,C
26,18792.0,14.3,14.5,14.5,90.1,90.0,90.2,90.1,18792.0,18792.0,227.0,226.0,2.0,3.8,5.7,2.0,2.0,5.7,373.1,9.0,10.5,9.4,11.3,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,109.0,39.9,48.7,14.61,14.61,13.56,14.62,1758.0,37.4,5.73,5.74,5.18,0,D
27,18529.0,14.5,14.5,14.4,89.9,89.9,90.1,89.9,18529.0,18529.0,226.0,226.0,3.5,4.9,6.4,3.4,3.4,6.6,373.2,9.2,10.9,9.6,11.2,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,112.2,40.4,47.5,14.56,14.61,13.71,14.62,1236.0,40.0,5.75,5.77,5.4,0,D
28,18382.0,13.4,13.4,13.4,90.0,89.9,90.0,90.0,10254.0,10254.0,226.0,226.0,2.6,3.7,5.1,2.2,2.6,5.9,375.3,9.4,11.2,9.8,11.6,0.0,0.0,0.1,0.0,-0.1,16.0,-0.1,-0.1,-0.1,-0.1,109.5,38.7,46.0,14.46,14.46,13.65,14.58,1260.0,38.0,5.78,5.79,5.49,0,D
29,12780.0,13.9,14.1,14.1,90.0,90.0,90.1,90.0,4154.0,4154.0,226.0,226.0,2.1,4.0,6.7,2.1,2.2,5.5,370.2,8.7,10.0,9.0,10.4,0.1,0.1,0.2,0.0,0.1,15.9,0.1,0.0,0.1,0.0,113.2,40.4,48.7,14.74,14.77,13.78,14.74,1651.0,35.5,5.69,5.71,5.28,0,C
30,18457.0,14.3,14.5,14.4,89.9,90.0,90.2,89.9,18457.0,18457.0,227.0,226.0,1.9,3.7,5.5,1.9,2.0,5.8,373.1,8.9,10.5,9.3,11.0,-0.1,-0.1,0.0,-0.1,-0.1,16.0,0.0,0.0,0.0,0.0,109.4,39.7,47.4,14.61,14.61,13.85,14.62,1534.0,38.7,5.75,5.77,5.39,0,C
31,21351.0,14.0,14.1,14.1,90.0,90.0,90.0,90.0,9515.0,21351.0,226.0,226.0,2.6,3.8,5.4,2.5,2.6,5.5,373.1,8.5,9.8,8.9,10.3,0.0,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,111.1,37.5,44.2,14.73,14.78,13.73,14.79,1241.0,37.1,5.68,5.7,5.31,0,D
32,13341.0,13.9,14.0,14.0,90.0,89.9,90.0,90.0,4715.0,4715.0,226.0,226.0,2.5,4.3,7.1,2.5,2.5,7.0,370.2,8.9,10.5,9.2,10.7,0.1,0.1,0.2,0.0,0.1,15.9,0.1,0.0,0.1,0.1,114.8,40.6,48.1,14.73,14.74,13.33,14.74,1353.0,36.8,5.71,5.71,5.27,0,D
33,18963.0,14.5,14.5,14.4,90.0,89.9,90.0,90.0,18963.0,18963.0,227.0,226.0,2.3,4.0,5.7,2.3,2.4,5.7,373.1,9.4,11.4,9.9,11.8,-0.1,-0.1,0.0,-0.1,-0.1,16.0,0.0,0.0,0.0,0.0,109.0,40.1,47.6,14.61,14.61,13.51,14.62,1382.0,38.0,5.71,5.72,5.3,0,D
34,18919.0,14.4,14.5,14.4,90.0,90.0,90.1,90.0,18919.0,18919.0,227.0,226.0,1.9,3.8,5.4,1.9,2.2,5.6,373.1,8.9,10.5,9.4,11.1,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,109.4,40.0,48.7,14.61,14.61,13.64,14.62,1724.0,37.3,5.71,5.72,5.19,0,D
35,21308.0,14.1,14.1,14.1,89.9,90.0,90.1,90.0,9472.0,21308.0,226.0,226.0,2.1,3.8,5.8,2.1,2.1,5.7,373.1,8.5,10.0,8.7,10.4,0.0,0.0,0.1,-0.1,0.0,16.1,-0.1,-0.1,-0.1,-0.1,111.1,37.4,44.2,14.78,14.78,13.53,14.79,1231.0,37.1,5.73,5.74,5.3,0,D
36,13298.0,14.0,14.0,14.0,90.0,90.0,90.1,90.0,4672.0,4672.0,226.0,226.0,2.4,3.9,6.4,2.1,2.1,5.5,370.2,8.5,9.9,8.8,10.2,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.1,0.1,0.1,114.8,40.6,49.2,14.74,14.78,13.64,14.74,1651.0,35.2,5.69,5.71,5.22,0,D
37,18709.0,13.5,13.5,13.5,90.0,90.0,90.0,90.0,10581.0,10581.0,226.0,226.0,1.7,3.1,4.9,1.7,1.7,5.8,375.2,9.2,10.9,9.5,11.6,0.0,0.0,0.1,0.0,0.0,16.0,-0.1,-0.1,-0.1,-0.1,110.7,38.6,46.0,14.46,14.51,13.41,14.58,1314.0,38.0,5.78,5.78,5.45,0,D
38,18710.0,13.5,13.5,13.6,90.0,89.9,90.0,90.0,10582.0,10582.0,226.0,226.0,1.6,3.1,5.1,1.5,1.7,5.9,375.2,9.2,10.9,9.6,11.4,0.0,0.0,0.1,0.0,0.0,16.0,-0.1,-0.1,-0.1,-0.1,110.7,38.6,46.1,14.46,14.47,13.41,14.58,1363.0,37.8,5.78,5.78,5.44,0,D
39,18672.0,14.4,14.5,14.4,90.1,90.0,90.1,90.1,18672.0,18672.0,227.0,226.0,2.0,3.7,5.7,1.8,2.0,5.9,373.1,8.9,10.5,9.3,11.3,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,-0.1,109.4,40.0,47.7,14.61,14.61,14.06,14.62,1470.0,38.1,5.71,5.72,5.37,0,D
40,21072.0,14.0,14.1,14.1,90.0,90.0,90.1,90.0,9236.0,21072.0,226.0,226.0,2.7,3.9,5.9,2.4,2.4,5.8,373.1,8.5,10.0,8.9,10.3,0.0,0.0,0.0,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,110.8,37.3,43.9,14.75,14.79,13.73,14.79,1241.0,37.4,5.72,5.74,5.38,0,D
41,21252.0,14.1,14.1,14.1,90.0,90.0,90.1,90.0,9416.0,21252.0,226.0,226.0,2.4,3.7,5.9,2.2,2.5,5.8,373.1,8.4,9.7,8.7,10.2,0.0,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,111.1,37.4,44.3,14.77,14.79,13.53,14.79,1280.0,36.9,5.73,5.74,5.3,0,D
42,20924.0,14.1,14.1,14.1,90.0,89.9,90.0,90.0,9088.0,20924.0,226.0,226.0,2.7,4.1,5.9,2.6,2.8,5.8,373.2,8.5,9.8,8.8,10.2,0.0,0.0,0.1,-0.1,-0.1,16.0,-0.1,-0.1,-0.1,-0.1,110.8,37.3,44.1,14.77,14.78,13.73,14.79,1231.0,37.3,5.74,5.75,5.34,0,D
43,18622.0,14.5,14.5,14.4,90.0,90.0,90.1,90.0,18622.0,18622.0,226.0,226.0,3.0,4.5,5.8,3.0,3.1,6.0,373.1,9.2,11.0,9.7,11.5,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,-0.1,112.2,40.6,48.2,14.61,14.61,13.41,14.62,1431.0,38.2,5.71,5.73,5.26,0,D
44,13242.0,14.0,14.0,14.1,90.0,90.0,90.1,90.0,4616.0,4616.0,226.0,226.0,1.9,3.9,6.2,1.9,1.9,5.6,370.2,8.5,9.9,8.8,10.2,0.1,0.1,0.2,0.0,0.1,15.9,0.1,0.1,0.1,0.1,114.8,40.6,48.4,14.74,14.79,13.91,14.74,1553.0,36.0,5.7,5.71,5.34,0,D
45,18542.0,13.4,13.4,13.5,90.0,90.0,90.0,90.0,10414.0,10414.0,226.0,226.0,2.2,3.6,5.0,2.1,2.2,5.8,375.3,9.4,11.1,9.7,11.7,0.0,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,109.5,38.7,46.5,14.46,14.46,13.35,14.58,1455.0,37.6,5.78,5.78,5.41,0,D
46,21299.0,14.1,14.1,14.1,90.0,90.0,90.0,90.0,9463.0,21299.0,226.0,226.0,2.5,3.9,5.6,2.5,2.9,5.6,373.1,8.6,10.0,8.9,10.5,0.0,0.0,0.1,-0.1,0.0,16.1,-0.1,-0.1,-0.1,-0.1,109.5,37.3,43.7,14.73,14.78,13.84,14.79,1231.0,37.3,5.67,5.67,5.31,0,D
47,13289.0,13.8,14.0,13.9,90.0,90.0,90.1,90.0,4663.0,4663.0,226.0,226.0,2.3,4.0,6.7,2.1,2.2,5.5,370.2,8.7,10.1,9.0,10.5,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.0,0.1,0.1,113.2,40.6,48.8,14.74,14.77,13.81,14.74,1597.0,35.5,5.69,5.69,5.3,0,D
48,18911.0,14.7,14.6,14.7,90.0,89.9,90.0,90.0,18911.0,18911.0,227.0,226.0,2.3,3.9,5.8,2.0,2.4,6.0,373.1,8.9,10.8,9.4,11.4,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,112.2,40.1,47.0,14.61,14.61,13.66,14.62,1275.0,39.1,5.71,5.72,5.36,0,D
49,21008.0,14.0,14.1,14.2,90.0,89.9,90.0,90.0,9172.0,21008.0,226.0,226.0,3.2,4.5,6.1,3.2,3.1,6.2,373.2,9.0,10.8,9.3,11.0,0.0,0.0,0.0,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,109.5,37.5,44.4,14.73,14.78,13.69,14.79,1289.0,36.5,5.71,5.73,5.28,0,D
50,13190.0,14.0,14.0,13.9,90.0,90.0,90.1,90.0,4564.0,4564.0,226.0,226.0,2.4,4.2,6.9,2.4,2.6,6.1,370.2,8.6,10.1,9.0,10.3,0.2,0.1,0.2,0.0,0.2,15.9,0.1,0.1,0.1,0.1,114.8,40.6,48.4,14.74,14.78,13.84,14.74,1602.0,36.1,5.71,5.71,5.34,0,D
51,13009.0,14.1,14.0,14.0,90.0,90.0,90.0,90.0,4383.0,4383.0,226.0,226.0,2.7,4.4,6.9,2.6,3.1,6.7,370.2,8.9,10.2,9.2,10.7,0.1,0.1,0.2,0.1,0.2,15.9,0.1,0.0,0.1,0.1,113.2,40.4,48.6,14.74,14.77,13.79,14.74,1597.0,35.5,5.7,5.72,5.32,0,D
52,18819.0,14.4,14.4,14.4,90.0,89.9,90.0,90.0,18819.0,18819.0,226.0,226.0,2.3,4.0,5.6,2.2,2.1,5.8,373.1,9.0,10.8,9.5,11.4,-0.1,-0.1,0.0,-0.1,-0.1,16.0,0.0,0.0,0.0,0.0,108.5,39.9,48.6,14.61,14.61,13.86,14.62,1680.0,37.4,5.71,5.72,5.3,0,D
53,13390.0,13.8,14.0,14.0,90.0,90.0,90.1,90.0,4764.0,4764.0,226.0,226.0,2.4,4.2,6.7,2.4,2.5,6.2,370.2,8.8,10.3,9.1,10.6,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.0,0.1,0.1,113.6,40.4,48.8,14.74,14.77,13.72,14.74,1651.0,35.4,5.71,5.72,5.29,0,D
54,13228.0,14.0,14.0,14.0,90.0,90.0,90.2,90.0,4602.0,4602.0,226.0,226.0,2.6,4.3,7.1,2.2,2.5,6.1,370.2,8.7,9.9,9.0,10.2,0.1,0.1,0.2,0.0,0.1,15.9,0.1,0.1,0.1,0.1,114.8,40.6,48.4,14.73,14.78,13.79,14.74,1612.0,36.0,5.71,5.71,5.32,0,D
55,18858.0,14.4,14.5,14.4,90.0,90.0,90.0,90.0,18858.0,18858.0,227.0,226.0,2.3,3.8,5.5,2.2,2.2,5.7,373.1,9.1,11.1,9.6,11.6,0.0,-0.1,0.0,-0.1,-0.1,16.0,0.0,0.0,0.0,0.0,108.5,39.9,48.8,14.61,14.61,13.84,14.62,1680.0,37.3,5.72,5.73,5.3,0,D
56,18683.0,13.5,13.6,13.6,90.0,89.9,90.0,90.0,10555.0,10555.0,226.0,226.0,2.2,3.5,5.0,2.0,2.1,5.8,375.3,9.2,11.3,9.6,11.8,0.0,0.0,0.1,0.0,0.0,16.0,-0.1,-0.1,-0.1,-0.1,115.2,38.9,46.4,14.46,14.51,13.26,14.58,1343.0,36.9,5.78,5.78,5.39,0,D
57,13487.0,14.1,14.1,14.0,90.1,89.9,90.1,90.1,4861.0,4861.0,226.0,226.0,3.5,4.5,7.0,2.7,3.0,6.5,370.2,8.9,10.3,9.1,10.6,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.0,0.1,0.1,117.8,40.7,48.5,14.74,14.74,13.72,14.74,1353.0,38.3,5.72,5.73,5.35,0,D
58,18684.0,13.6,13.5,13.6,89.9,90.0,90.1,89.9,10556.0,10556.0,226.0,226.0,1.8,3.3,5.1,1.8,1.8,5.9,375.2,9.0,10.9,9.4,11.2,0.0,0.0,0.1,0.0,0.0,15.9,-0.1,-0.1,-0.1,-0.1,112.3,38.8,46.9,14.46,14.51,13.26,14.58,1460.0,37.5,5.78,5.79,5.38,0,D
59,19299.0,14.4,14.6,14.4,90.0,90.0,90.1,90.0,19299.0,19299.0,227.0,226.0,2.9,4.4,5.9,2.8,2.9,6.0,373.1,9.2,11.0,9.7,11.5,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,112.2,40.4,47.2,14.56,14.61,13.63,14.62,1177.0,40.1,5.73,5.75,5.39,0,C
60,18986.0,13.6,13.6,13.6,90.0,90.0,90.1,90.0,10858.0,10858.0,226.0,226.0,2.4,4.0,5.4,2.4,2.7,6.2,375.3,9.3,11.2,9.6,11.5,0.0,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,115.2,39.3,47.2,14.46,14.51,13.36,14.58,1411.0,36.0,5.75,5.75,5.35,0,C
61,13744.0,14.1,14.1,14.0,90.0,90.0,90.1,90.0,5118.0,5118.0,226.0,226.0,3.5,4.8,7.1,3.1,3.4,6.7,370.2,8.9,10.5,9.2,10.8,0.1,0.1,0.2,0.1,0.1,15.9,0.1,0.0,0.1,0.1,117.8,40.7,47.9,14.74,14.74,13.68,14.74,1353.0,37.5,5.73,5.74,5.34,0,C
62,19096.0,14.4,14.4,14.4,90.0,90.0,90.0,90.0,19096.0,19096.0,227.0,226.0,2.5,3.8,5.4,2.3,2.4,5.5,373.1,9.0,10.8,9.5,11.4,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,109.0,39.9,47.6,14.56,14.61,14.34,14.62,1421.0,38.2,5.71,5.72,5.46,0,D
63,19222.0,14.6,14.6,14.6,90.0,89.9,90.1,90.0,19222.0,19222.0,227.0,226.0,2.5,4.2,6.3,2.5,2.6,6.5,373.1,8.9,10.8,9.4,11.2,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,112.2,40.3,47.6,14.61,14.61,13.43,14.62,1284.0,38.5,5.72,5.72,5.29,0,D
64,18909.0,13.5,13.6,13.6,89.9,89.9,90.0,89.9,10781.0,10781.0,226.0,226.0,2.2,3.5,5.1,2.1,2.3,6.1,375.2,8.9,10.8,9.3,11.3,0.0,0.0,0.1,-0.1,0.1,16.0,-0.1,-0.1,-0.1,-0.1,115.2,39.0,46.4,14.46,14.46,13.21,14.58,1333.0,36.9,5.78,5.78,5.38,0,D
65,13006.0,13.9,13.9,14.0,89.9,90.0,90.1,89.9,875.0,875.0,226.0,226.0,4.1,4.9,7.1,3.4,4.0,7.1,373.2,8.4,9.8,8.9,10.4,0.0,0.0,0.0,-0.1,-0.1,16.1,-0.1,-0.1,-0.1,-0.1,115.5,40.4,48.1,14.61,14.61,13.51,14.66,1314.0,36.8,5.73,5.74,5.29,0,D
66,18536.0,13.5,13.5,13.5,89.9,89.9,90.1,89.9,10408.0,10408.0,226.0,226.0,2.6,4.0,5.4,2.6,2.6,6.2,375.3,9.4,11.4,9.8,11.6,0.0,0.0,0.1,0.0,0.0,16.0,-0.1,-0.1,-0.1,-0.1,114.0,39.2,46.2,14.46,14.51,13.53,14.58,1211.0,37.8,5.78,5.79,5.46,0,D
67,21105.0,14.2,14.1,14.2,90.0,89.9,90.0,90.0,9269.0,21105.0,226.0,225.0,3.5,4.8,6.6,3.5,3.6,6.5,373.2,8.9,10.7,9.3,11.0,0.0,0.0,0.1,-0.1,0.0,16.0,-0.1,-0.1,-0.1,-0.1,114.0,37.9,43.7,14.78,14.78,13.54,14.79,982.0,39.5,5.75,5.76,5.35,0,D
68,13103.0,14.0,14.0,14.1,90.0,90.0,90.1,90.0,4477.0,4477.0,226.0,226.0,2.7,4.3,7.0,2.7,2.8,6.7,370.2,8.9,10.6,9.2,10.9,0.2,0.1,0.2,0.1,0.1,15.9,0.1,0.0,0.1,0.1,113.9,40.6,48.5,14.74,14.78,13.93,14.74,1602.0,35.9,5.71,5.71,5.34,0,D
69,18718.0,14.3,14.4,14.4,90.0,90.0,90.0,90.0,18718.0,18718.0,227.0,226.0,2.4,4.0,5.4,2.4,2.5,5.6,373.1,9.2,11.0,9.7,11.5,-0.1,-0.1,0.0,-0.1,-0.1,15.9,0.0,0.0,0.0,0.0,108.2,40.0,48.1,14.61,14.61,14.09,14.62,1582.0,37.8,5.71,5.72,5.37,0,D
