,220X2,220X3,220X4,220X6,220X9,220X13,220X19,220X21,220X26,220X31,220X55,220X107,220X108,220X112,220X118,220X122,220X143,220X163,220X165,220X167,220X184,220X185,220X193,220X218,220X224,220X277,220X293,220X294,220X305,220X315,220X316,220X333,220X336,220X339,220X343,220X344,220X347,220X348,220X350,220X354,220X356,220X365,220X368,220X375,220X377,220X379,220X382,220X383,220X386,220X387,220X388,220X390,220X407,220X412,220X422,220X424,220X441,220X446,220X457,220X462,220X463,220X471,220X485,220X486,220X523,220X524,220X528,220X533,220X535,220X539,null_count,TOOL
10,1.876571,26,-21.49387,2.600862,0.123594,1.273935,-0.3181,-0.6723,14.495,14.248,24.01001,23.61,0.0,17.551236,-1.782584,3.384212,-187.50805,0.406209,-0.620003,-0.582522,0.049059,0.038145,0.045162,0.083429,112.0,87.0,1787.0,1748.0,496.0,201.1,81.0,130.2,129.9,129.9,130.0,129.8,129.8,188.0,159.9,66.0,110.5,110.5,110.3,110.2,110.2,110.2,110.2,110.0,110.1,110.2,110.0,144.0,61.0,78.0,45.4,40.6,25.6,23.5,20.6,11.5,6.65,9.0,0.0,2.0,1413.385,1277.0,913.0,5.9,1.0,2.0,0,B
11,1.748403,1,-14.747116,2.614331,0.085006,1.284923,-0.3181,-0.6723,14.565,13.665,23.919271,23.61,0.0,11.502895,-1.021212,2.619652,-33.441162,0.406209,-0.6029,-0.573956,0.052563,0.041613,0.048636,0.083429,83.0,78.0,1793.0,1748.0,503.0,200.9,73.0,130.2,129.9,130.0,129.9,130.0,129.9,109.0,65.1,985.6,110.4,110.6,110.3,110.2,110.2,110.2,110.2,110.0,110.1,110.1,110.0,134.0,60.0,70.1,45.5,39.4,28.1,23.4,20.4,12.0,6.95,3.0,0.0,2.0,1432.069,869.0,904.0,6.0,1.0,1.0,0,B
12,1.762505,2,-16.27606,2.446224,0.115322,1.116815,-0.3181,-0.6723,14.618,13.022,23.916829,23.61,0.0,12.744468,-1.287869,2.661938,-191.969054,0.393381,-0.6029,-0.578239,0.049059,0.038145,0.045162,0.112474,117.0,78.0,1787.0,1762.0,500.0,200.9,73.0,130.1,129.8,129.9,129.9,129.9,129.8,89.0,74.1,67.9,110.4,110.6,110.4,110.2,110.2,110.1,110.1,110.1,110.0,110.1,110.1,134.0,61.0,62.2,46.4,39.4,28.4,23.2,20.4,11.6,6.96,5.0,0.0,2.0,1303.367,868.0,902.0,5.9,1.0,0.0,0,B
13,1.703022,3,-18.495101,2.420574,0.1413,1.091165,-0.3181,-0.6723,14.599,13.232,23.913981,23.61,0.0,14.657955,-1.665216,2.895166,-60.843934,0.397657,-0.598624,-0.573956,0.052563,0.038145,0.041688,0.1168,63.0,78.0,1788.0,1762.0,499.0,201.0,73.0,130.3,130.0,130.0,129.9,130.0,129.8,109.0,102.0,66.4,110.4,110.6,110.3,110.2,110.2,110.2,110.1,110.0,110.0,110.2,110.0,134.0,60.0,61.9,45.7,39.4,28.7,23.4,20.5,8.4,6.96,4.0,0.0,1.0,1659.29,867.0,904.0,6.0,1.0,0.0,0,B
14,1.876045,1,-15.495763,2.586154,0.208711,1.388681,-0.3181,-0.6723,14.558,13.507,24.190267,23.61,0.0,12.44512,-1.162723,2.735395,-57.655432,0.337795,-0.658486,-0.775269,0.045555,0.041613,0.048636,0.093316,83.0,104.0,1795.0,1762.0,501.0,201.0,98.0,130.3,130.1,130.1,129.9,130.1,130.0,187.0,76.1,66.9,110.5,110.6,110.3,110.2,110.2,110.1,110.2,110.0,110.1,110.1,110.1,175.0,60.0,64.7,45.5,41.1,25.6,23.9,20.5,12.0,7.2,11.0,0.0,2.0,1058.532,2153.0,912.0,5.9,1.0,0.0,0,B
15,1.832212,2,-17.202151,2.527253,0.192371,1.32978,-0.3181,-0.6723,14.576,13.914,24.180501,23.61,0.0,13.647631,-1.378197,2.818383,-218.942138,-0.342071,-0.662762,-0.779552,0.049059,0.041613,0.048636,0.084047,112.0,104.0,1802.0,1777.0,499.0,201.0,98.0,130.1,130.0,129.9,130.0,130.0,129.9,150.0,74.3,66.5,110.5,110.5,110.4,110.2,110.1,110.1,110.2,110.0,110.1,110.2,110.1,175.0,60.0,118.7,45.1,40.7,28.7,23.7,20.5,11.5,7.2,10.0,0.0,1.0,1424.96,2152.0,897.0,5.9,1.0,0.0,0,B
16,1.831941,3,-14.36138,2.576442,0.242743,1.38633,-0.3181,-0.6723,14.474,14.351,24.158122,23.61,0.0,10.865872,-1.020052,2.496671,-78.413311,0.342071,-0.649934,-0.736719,0.052563,0.041613,0.048636,0.105058,87.0,104.0,1798.0,1760.0,502.0,200.9,98.0,130.2,129.9,130.0,129.9,130.0,130.0,112.0,50.8,67.1,110.5,110.5,110.3,110.2,110.1,110.2,110.1,110.0,110.0,110.1,109.9,175.0,60.0,74.4,45.3,40.3,26.8,23.9,20.2,11.5,7.21,9.0,0.0,1.0,1373.383,2151.0,906.0,6.0,1.0,0.0,0,B
17,1.724906,4,-20.119782,2.573747,0.152574,1.383636,-0.3181,-0.6723,14.493,14.51,24.218343,23.61,0.0,16.083699,-1.770605,3.087388,-217.759475,-0.333519,-0.649934,-0.72387,0.052563,0.038145,0.041688,0.072923,87.0,104.0,1789.0,1762.0,501.0,201.0,98.0,130.4,130.1,130.1,130.0,130.0,130.0,90.0,56.6,68.5,110.5,110.6,110.2,110.2,110.2,110.2,110.2,110.0,110.1,110.1,110.0,175.0,60.0,74.2,45.2,40.9,25.6,23.7,20.3,11.5,7.21,8.0,0.0,1.0,1386.655,2150.0,907.0,6.0,1.0,2.0,0,B
18,1.842288,5,-19.225889,2.473961,0.172148,1.283849,-0.3181,-0.6723,14.621,13.488,24.209391,23.61,0.0,15.719531,-1.671834,3.021181,-66.691601,0.342071,-0.649934,-0.72387,0.052563,0.041613,0.048636,0.085901,83.0,104.0,1794.0,1777.0,500.0,201.0,98.0,130.1,130.0,130.0,129.9,130.0,130.0,112.0,77.0,65.9,110.5,110.5,110.3,110.2,110.2,110.1,110.3,110.1,110.1,110.1,110.1,175.0,61.0,75.6,45.7,40.8,25.0,23.7,20.3,11.5,7.21,7.0,0.0,2.0,1774.981,2149.0,910.0,6.0,1.0,1.0,0,B
19,1.730297,6,-20.069364,2.493281,0.174688,1.303169,-0.3181,-0.6723,14.479,14.006,24.214681,23.61,0.0,16.16842,-1.735253,3.138197,-199.732794,0.337795,-0.649934,-0.719586,0.049059,0.038145,0.05211,0.108766,83.0,104.0,1802.0,1762.0,502.0,201.0,98.0,130.2,130.0,130.0,130.0,130.0,130.0,91.0,73.9,66.2,110.4,110.5,110.3,110.3,110.1,110.2,110.1,109.9,110.1,110.1,109.9,175.0,60.0,75.2,45.6,41.7,25.0,23.9,20.4,11.5,7.21,6.0,0.0,1.0,1261.262,2148.0,903.0,5.9,1.0,0.0,0,B
20,1.856759,7,-15.968423,2.558536,0.113303,1.310978,-0.3181,-0.6723,14.522,14.366,24.203695,23.61,0.0,12.12073,-1.25237,2.593616,-84.502783,-0.333519,-0.658486,-0.719586,0.049059,0.045081,0.045162,0.087137,83.0,104.0,1802.0,1764.0,500.0,200.9,98.0,130.3,130.1,130.1,130.0,130.0,130.0,111.0,73.6,69.5,110.5,110.5,110.3,110.2,110.2,110.2,110.1,110.1,110.1,110.2,110.1,175.0,60.0,74.5,45.3,41.0,25.3,23.9,20.4,11.5,7.22,5.0,0.0,2.0,1427.456,2147.0,905.0,6.0,1.0,0.0,0,B
21,1.7757,8,-20.284292,2.416055,0.128664,1.168497,-0.3181,-0.6723,14.607,14.425,24.137777,23.61,0.0,16.109823,-1.90809,2.991602,-214.975921,-0.333519,-0.658486,-0.719586,0.049059,0.041613,0.048636,0.102586,83.0,104.0,1802.0,1777.0,501.0,201.0,98.0,130.2,130.0,130.0,129.9,130.0,130.0,91.0,76.9,65.8,110.5,110.4,110.3,110.2,110.2,110.2,110.2,110.0,110.1,110.1,109.9,175.0,60.0,75.4,45.4,41.1,25.0,24.1,20.4,11.5,7.22,3.0,0.0,1.0,1698.777,2146.0,904.0,5.9,1.0,0.0,0,B
22,1.641933,9,-18.077699,2.646556,0.214889,1.398998,-0.3181,-0.6723,14.616,13.642,24.217936,23.61,0.0,14.560185,-1.478216,3.022106,-54.447261,-0.337795,-0.658486,-0.702453,0.049059,0.038145,0.048636,0.080339,83.0,104.0,1802.0,1762.0,500.0,201.1,98.0,130.2,130.0,130.0,129.9,130.0,129.9,113.0,74.0,65.2,110.4,110.6,110.3,110.2,110.1,110.2,110.2,109.9,110.0,110.1,109.9,175.0,60.0,74.3,45.6,40.6,27.1,23.7,20.4,11.5,7.22,2.0,0.0,2.0,968.369,2145.0,900.0,6.0,1.0,0.0,0,B
23,1.691948,10,-25.645822,2.493475,0.145483,1.245917,-0.3181,-0.6723,14.537,13.829,24.220378,23.61,0.0,21.173974,-2.506178,3.729675,-229.428823,-0.342071,-0.658486,-0.71102,0.049059,0.041613,0.048636,0.063035,83.0,104.0,1795.0,1765.0,501.0,201.0,98.0,130.3,130.0,130.0,129.9,130.0,130.0,90.0,73.9,70.7,110.5,110.5,110.4,110.2,110.2,110.2,110.2,110.1,110.1,110.2,110.0,175.0,60.0,75.4,45.2,40.3,28.4,23.7,20.2,11.5,7.22,1.0,0.0,1.0,1400.551,2144.0,900.0,5.9,1.0,0.0,0,B
24,1.967847,1,-16.736375,2.599015,0.121977,1.311466,-0.3181,-0.6723,14.53,12.689,24.013265,23.61,0.0,13.024957,-1.262901,2.748398,-82.634025,-0.401933,-0.585796,0.582522,0.045555,0.038145,0.045162,0.093934,63.0,77.0,1788.0,1762.0,502.0,201.0,72.0,130.3,130.0,130.1,129.8,129.9,129.8,111.0,62.4,65.6,110.5,110.5,110.3,110.2,110.2,110.2,110.3,110.1,110.1,110.2,110.0,132.0,61.0,64.2,45.3,39.6,25.0,23.4,20.4,11.6,6.92,3.0,0.0,2.0,1745.427,791.0,900.0,5.9,1.0,1.0,0,B
25,1.77527,26,-14.582078,2.430816,0.078044,1.123609,-0.3181,-0.6723,14.475,13.139,24.014079,23.61,0.0,11.424498,-1.107434,2.452991,-261.29323,-0.414761,0.560141,-0.53969,0.049059,0.041613,0.045162,0.095788,63.0,76.0,1787.0,1755.0,498.0,200.9,71.0,130.1,129.8,129.8,129.8,129.9,129.8,151.0,163.1,66.3,110.5,110.5,110.4,110.3,110.1,110.1,110.2,110.0,110.0,110.2,110.1,132.0,60.0,174.9,45.8,39.5,28.4,23.2,20.5,11.6,7.02,7.0,0.0,2.0,1130.519,766.0,903.0,5.9,1.0,0.0,0,B
26,1.744742,26,-23.856197,2.397535,0.176697,1.122024,-0.3181,-0.6723,14.47,14.263,24.206136,23.51,0.0,19.678233,-2.284156,3.456084,-236.91007,-0.354898,-0.696969,-0.663904,0.045555,0.041613,0.041688,0.084665,97.0,103.0,1788.0,1762.0,499.0,201.0,97.0,130.1,130.0,130.0,130.0,130.0,129.9,93.0,77.0,65.9,110.5,110.5,110.3,110.2,110.1,110.2,110.3,110.0,110.2,110.1,110.0,174.0,60.0,70.4,45.5,40.5,25.3,23.9,20.4,11.5,7.28,16.0,0.0,1.0,1421.064,2128.0,900.0,6.0,1.0,0.0,0,B
27,1.699905,1,-19.246783,2.249005,0.099708,1.03184,-0.3181,-0.6723,14.562,13.842,24.016927,23.65,0.0,15.772994,-1.837922,2.917315,-161.895371,0.359174,-0.6029,0.522557,0.052563,0.038145,0.048636,0.093934,14.0,50.0,1787.0,1762.0,501.0,201.0,49.0,130.1,129.8,129.8,129.9,129.8,129.7,111.0,63.1,66.6,110.5,110.5,110.4,110.2,110.1,110.2,110.2,110.0,110.1,110.2,110.0,100.0,60.0,75.5,45.5,39.3,28.7,23.4,20.4,11.5,10.4,13.0,1.0,2.0,1278.916,0.0,908.0,6.0,0.0,0.0,0,B
28,1.620527,26,-15.917531,2.619816,0.168183,1.392096,-0.3181,-0.6723,14.576,13.068,23.674316,23.71,0.0,12.353571,-1.18947,2.705626,-31.735296,0.389105,-0.568692,-0.518274,0.052563,0.038145,0.041688,0.097024,68.0,50.0,1795.0,1762.0,503.0,201.0,48.0,130.3,130.0,130.0,129.9,130.0,129.8,91.0,433.8,1396.7,110.5,110.5,110.3,110.2,110.2,110.2,110.2,110.1,110.0,110.2,110.1,100.0,60.0,461.1,45.6,39.6,25.6,23.3,20.5,7.8,10.4,2.0,1.0,1.0,1046.552,0.0,900.0,5.9,0.0,0.0,0,B
29,1.866973,1,-21.517039,2.45282,0.0066,1.212521,-0.3181,-0.6723,14.658,13.504,23.942057,23.67,0.0,18.05793,-1.880398,3.344531,-148.82127,-0.346347,-0.551589,0.522557,0.052563,0.038145,0.045162,0.081575,112.0,75.0,1788.0,1762.0,504.0,201.0,70.0,130.1,130.0,130.0,129.9,129.9,129.9,91.0,63.8,65.3,110.4,110.6,110.4,110.3,110.2,110.2,110.2,110.1,110.1,110.2,110.0,130.0,60.0,80.9,44.9,39.3,28.4,23.2,20.3,11.7,7.04,6.0,0.0,1.0,1066.613,687.0,904.0,6.0,1.0,2.0,0,B
30,1.803709,26,-18.519769,2.314096,0.163026,1.016074,-0.3181,-0.6723,14.439,13.956,23.546549,23.62,0.0,15.362811,-1.681959,2.935006,-211.918309,-0.350622,0.560141,0.509707,0.049059,0.041613,0.038214,0.092698,297.0,74.0,1788.0,1762.0,501.0,201.0,69.0,130.0,129.8,129.9,129.9,129.8,129.8,112.0,236.6,108.4,110.5,110.5,110.3,110.2,110.1,110.1,110.3,110.2,110.1,110.2,110.1,129.0,60.0,256.0,44.8,39.2,26.8,23.5,20.5,11.6,7.15,2.0,0.0,1.0,1386.482,662.0,910.0,6.0,1.0,0.0,0,B
31,1.709834,1,-14.956665,2.538932,0.115743,1.291126,-0.3181,-0.6723,14.521,14.35,24.04541,23.61,0.0,11.564321,-1.146398,2.450144,-41.667256,0.474623,-0.560141,-0.728153,0.049059,0.041613,0.048636,0.097642,43.0,141.0,1785.0,1756.0,497.0,201.0,133.0,130.4,130.1,130.0,129.9,130.0,130.0,112.0,73.8,65.2,110.5,110.6,110.4,110.3,110.2,110.1,110.2,110.2,110.1,110.2,110.1,26.0,60.0,74.5,45.4,39.9,28.4,23.4,20.3,11.5,10.4,7.0,1.0,1.0,1712.086,0.0,906.0,6.0,0.0,1.0,0,B
32,1.382285,2,-20.357477,2.180965,0.126195,0.945482,-0.3181,-0.6723,14.541,14.255,24.034831,23.61,0.0,16.690544,-1.984822,2.902156,-250.853111,0.453244,-0.547313,-0.68532,0.049059,0.038145,0.055584,0.108148,14.0,114.0,1802.0,1762.0,493.0,201.0,107.0,130.1,130.0,130.0,129.9,129.9,130.0,112.0,73.9,66.8,110.3,110.6,110.3,110.2,110.2,110.2,110.1,110.1,110.1,110.1,110.0,193.0,60.0,86.4,45.5,40.5,25.3,23.7,20.4,11.9,7.75,11.0,0.0,1.0,1611.274,2665.0,904.0,6.0,1.0,1.0,0,B
33,1.434628,3,-16.788636,2.41937,0.120853,1.183887,-0.3181,-0.6723,14.468,13.982,24.054769,23.61,0.0,13.617307,-1.517748,2.558592,-59.334561,0.43614,-0.547313,-0.68532,0.045555,0.038145,0.045162,0.090845,14.0,114.0,1787.0,1756.0,495.0,201.0,108.0,130.2,129.9,130.0,129.9,129.9,130.0,111.0,65.6,66.4,110.4,110.5,110.3,110.2,110.1,110.2,110.1,110.0,110.0,110.1,110.0,193.0,61.0,74.9,45.7,40.2,25.9,23.7,20.4,11.4,7.7,6.0,0.0,1.0,1414.202,2690.0,904.0,5.9,1.0,0.0,0,B
34,1.726435,1,-21.908421,2.393991,0.044596,1.135405,-0.3181,-0.6723,14.494,14.358,24.18457,23.61,0.0,18.150832,-2.062772,3.287577,-212.369156,-0.342071,-0.662762,-0.603939,0.049059,0.038145,0.045162,0.084665,83.0,103.0,1796.0,1762.0,501.0,201.0,97.0,130.4,130.1,130.1,130.0,130.0,130.0,91.0,73.9,102.4,110.4,110.6,110.3,110.2,110.2,110.2,110.1,110.1,110.1,110.2,110.1,174.0,60.0,76.0,45.1,40.1,26.2,23.9,20.3,11.5,7.28,14.0,0.0,1.0,983.063,2126.0,904.0,5.9,1.0,0.0,0,B
35,1.79431,2,-13.941367,2.484586,0.127661,1.241327,-0.3181,-0.6723,14.585,14.091,24.149984,23.61,0.0,10.445984,-1.074106,2.339445,-101.392593,-0.342071,-0.667038,-0.608222,0.049059,0.038145,0.048636,0.061799,83.0,103.0,1789.0,1762.0,500.0,201.0,97.0,130.1,130.0,130.0,130.0,130.0,130.0,110.0,76.9,66.3,110.4,110.5,110.3,110.3,110.1,110.2,110.2,110.0,110.1,110.1,110.1,174.0,60.0,74.1,45.1,40.8,28.7,23.9,20.2,11.5,7.29,13.0,0.0,2.0,1377.002,2125.0,910.0,6.0,1.0,0.0,0,B
36,1.891022,3,-21.457046,2.424675,0.147198,1.181415,-0.3181,-0.6723,14.503,14.54,24.186605,23.61,0.0,17.157347,-1.954249,3.17133,-218.615332,-0.342071,-0.667038,-0.608222,0.049059,0.038145,0.041688,0.080339,131.0,103.0,1802.0,1762.0,501.0,201.0,97.0,130.2,130.0,130.0,130.0,130.0,130.0,91.0,74.2,68.3,110.4,110.5,110.3,110.2,110.1,110.2,110.1,109.9,110.1,110.2,109.9,174.0,60.0,74.1,45.9,41.0,25.6,23.7,20.2,11.5,7.29,12.0,0.0,1.0,1430.926,2124.0,904.0,5.9,1.0,0.0,0,B
37,1.873323,1,-17.767617,2.656774,0.189019,1.428168,-0.3181,-0.6723,14.495,14.04,24.110107,23.61,0.0,14.017005,-1.384386,2.97815,-81.836859,0.376278,-0.538761,-0.646771,0.049059,0.038145,0.041688,0.079721,14.0,136.0,1787.0,1762.0,500.0,200.9,128.0,130.2,130.0,129.9,130.0,130.0,130.0,92.0,74.0,66.4,110.5,110.6,110.3,110.2,110.3,110.3,110.2,110.0,110.0,110.1,110.1,20.0,60.0,75.5,45.5,39.9,28.1,23.7,20.1,11.5,10.39,9.0,1.0,1.0,1304.013,0.0,910.0,6.0,0.0,0.0,0,B
38,1.816064,3,-21.025067,2.637994,0.003302,1.409388,-0.3181,-0.6723,14.602,14.463,24.145101,23.61,0.0,17.214338,-1.807091,3.310683,-113.891776,0.376278,-0.547313,-0.655338,0.045555,0.038145,0.05211,0.089609,43.0,136.0,1788.0,1762.0,500.0,200.9,128.0,130.1,130.0,129.9,129.9,130.0,129.9,91.0,77.2,74.9,110.5,110.6,110.4,110.2,110.2,110.2,110.2,110.1,110.0,110.1,110.1,20.0,61.0,75.0,45.1,40.3,25.9,23.4,20.4,11.5,10.39,7.0,1.0,2.0,1440.079,0.0,904.0,6.0,0.0,2.0,0,B
39,1.7472,1,-20.628473,2.575814,0.149245,1.40483,-0.3181,-0.6723,14.561,13.518,24.142253,23.61,0.0,16.914907,-1.70799,3.270206,-112.258327,0.354898,-0.641382,-0.578239,0.049059,0.041613,0.048636,0.088991,112.0,102.0,1787.0,1762.0,499.0,201.1,97.0,130.2,130.0,130.0,130.0,130.0,129.9,90.0,74.2,70.1,110.5,110.5,110.4,110.2,110.1,110.2,110.1,109.9,110.0,110.2,109.9,171.0,61.0,75.1,44.9,40.7,25.0,23.9,20.1,11.5,7.37,11.0,0.0,1.0,1281.81,2087.0,895.0,6.0,1.0,0.0,0,B
40,1.840506,26,-20.360739,2.251419,0.218695,1.043089,-0.3181,-0.6723,14.563,14.197,23.645426,23.61,0.0,16.364276,-1.872965,3.006987,-235.969161,0.372002,-0.594348,-0.501141,0.052563,0.041613,0.045162,0.097642,292.0,102.0,1795.0,1762.0,503.0,201.1,96.0,130.3,130.2,130.1,130.0,130.1,130.0,111.0,398.5,72.0,110.5,110.5,110.4,110.3,110.1,110.1,110.2,110.1,110.0,110.1,110.1,171.0,60.0,370.1,45.5,40.5,25.3,23.9,20.4,11.5,7.52,1.0,0.0,2.0,1464.217,2062.0,910.0,6.0,1.0,0.0,0,B
41,1.60961,16,-20.738088,2.209895,0.216518,0.909148,-0.3181,-0.6723,14.446,12.97,23.819173,23.61,0.0,17.097091,-1.958346,3.150343,-73.747859,0.376278,0.543037,0.475441,0.049059,0.038145,0.041688,0.090845,83.0,114.0,1787.0,1762.0,497.0,201.0,107.0,130.1,130.0,129.9,130.0,130.0,129.9,112.0,77.0,67.2,110.4,110.5,110.3,110.2,110.1,110.2,110.2,110.0,110.1,110.1,110.0,193.0,60.0,75.2,45.7,40.4,26.2,23.7,20.3,11.5,7.76,9.0,0.0,1.0,1437.894,2663.0,907.0,6.0,1.0,0.0,0,B
