,311X1,311X7,311X8,311X9,311X10,311X12,311X20,311X21,311X50,311X55,311X63,311X66,311X69,311X76,311X95,311X96,311X97,311X115,311X183,311X184,311X185,311X195,311X199,311X217,311X218,311X219,311X222,311X224,311X225,null_count,TOOL
13,39,534,2.0,76,45.0,10.0,23.0,8,20,24863,2813,0,94,64,119,119,119,0.27,119,119.0,119,3.2e-05,1e-10,110.1,114.9,103.2,50.9,462,492,0,E0
14,46,2,690.0,45,78.0,12.0,24.0,8,20,24981,2866,0,108,61,119,119,119,0.27,119,119.0,119,8.3e-07,1e-10,109.0,114.2,100.7,50.9,467,504,0,E0
15,40,689,2.0,78,45.0,10.0,27.0,8,20,66558,3410,237,2,50,119,120,119,0.3,120,120.0,120,1e-06,7.2e-07,103.7,109.1,94.0,51.0,494,543,0,E0
16,44,2,691.0,45,78.0,12.0,24.0,8,20,24982,2866,0,108,61,119,119,119,0.27,119,119.0,119,1e-10,1e-10,109.2,114.2,101.9,50.9,465,499,0,E0
17,38,689,2.0,78,45.0,10.0,27.0,8,20,66559,3411,237,2,50,120,120,119,0.29,120,120.0,120,5.2e-07,1e-10,104.0,109.1,96.7,51.0,492,528,0,E0
18,40,692,2.0,78,45.0,10.0,25.0,8,20,24983,2867,0,108,62,119,119,119,0.25,119,119.0,119,1e-10,1e-10,109.2,113.9,102.3,50.9,466,496,0,E0
19,44,2,692.0,45,78.0,12.0,27.0,8,20,66560,3411,237,2,50,119,120,119,0.28,120,120.0,119,1.6e-06,1.5e-06,103.9,109.1,96.7,50.9,492,528,0,E0
20,38,693,2.0,78,45.0,10.0,25.0,8,20,24984,2867,0,108,62,119,119,119,0.27,119,119.0,119,1e-10,1e-10,108.7,114.2,102.2,50.9,467,497,0,E0
21,44,2,693.0,45,78.0,12.0,27.0,8,20,66561,3412,237,2,50,120,120,119,0.28,120,120.0,120,4.3e-06,7.5e-07,103.9,109.1,96.8,51.0,492,527,0,E0
22,44,2,695.0,45,78.0,12.0,24.0,8,20,24985,2868,0,108,62,119,119,119,0.25,119,119.0,119,1e-10,1e-10,108.9,113.7,101.4,50.9,467,501,0,E0
23,39,693,2.0,78,45.0,10.0,28.0,8,20,66562,3412,237,2,50,120,120,119,0.29,120,120.0,120,2.1e-06,1e-10,103.8,109.2,95.8,51.0,493,533,0,E0
24,95,17,17.0,45,45.0,11.0,28.0,15,20,18017,3794,1148,0,80,119,119,118,0.27,119,119.0,119,1e-10,1e-10,108.3,113.6,100.3,50.9,469,505,0,N0
25,96,1790,1795.0,78,78.0,12.0,28.0,13,20,18040,3805,1151,0,81,118,119,118,0.24,119,119.0,119,1e-10,1e-10,108.1,113.4,99.9,50.9,469,507,0,N0
26,44,2,704.0,45,79.0,12.0,25.0,8,20,66570,3416,238,2,52,120,120,119,0.29,120,120.0,120,2.9e-06,1.2e-06,103.6,108.9,96.3,51.0,494,531,0,E0
27,94,17,,45,,,,15,20,18043,3806,1152,0,82,119,120,118,0.27,119,119.0,119,1e-10,1e-10,108.2,113.6,100.1,50.9,469,506,4,N0
28,97,1839,17.0,78,45.0,11.0,29.0,13,20,18066,3817,1154,0,83,119,119,119,0.25,119,119.0,119,1e-10,1e-10,108.0,113.5,99.6,50.9,470,509,0,N0
29,97,17,17.0,45,45.0,11.0,28.0,15,20,17991,3782,1145,0,77,119,119,118,0.24,119,119.0,119,3.2e-06,1e-10,108.6,114.1,100.7,50.9,467,503,0,N0
30,96,1741,,78,,,,13,20,18014,3793,1148,0,79,118,119,118,0.25,119,119.0,119,1e-10,1e-10,108.2,113.5,99.9,50.9,469,508,4,N0
31,42,953,2.0,79,45.0,10.0,25.0,8,20,25184,2953,0,131,65,119,119,119,0.28,119,119.0,119,7.3e-07,1e-10,108.9,114.2,102.4,50.9,467,496,0,E0
32,46,2,953.0,45,79.0,12.0,27.0,8,20,66761,3498,260,2,54,120,120,119,0.3,120,120.0,120,2.3e-07,1.4e-07,103.8,109.2,97.2,51.0,493,526,0,E0
33,46,2,956.0,45,79.0,12.0,25.0,8,20,25185,2953,0,131,65,119,119,119,0.26,119,119.0,119,1e-10,1e-10,109.0,113.8,101.6,50.9,467,500,0,E0
34,40,655,2.0,78,45.0,10.0,25.0,8,20,24955,2854,0,105,54,119,119,119,0.27,119,119.0,119,1e-10,1e-10,108.7,113.3,101.9,50.9,468,498,0,E0
35,47,2,656.0,45,78.0,12.0,28.0,8,20,66532,3399,233,2,44,120,120,119,0.29,119,120.0,119,2.8e-06,4.3e-07,103.7,109.0,96.1,51.0,493,531,0,E0
36,42,656,2.0,78,45.0,10.0,25.0,8,20,24956,2855,0,105,54,119,119,119,0.26,119,119.0,119,1e-10,1e-10,108.6,113.5,101.9,50.9,468,498,0,E0
37,42,1657,3.0,79,45.0,10.0,25.0,8,20,25730,3166,0,191,70,119,119,119,0.26,119,119.0,119,1e-10,1e-10,109.3,113.9,102.7,50.9,465,494,0,E0
38,45,3,1659.0,45,79.0,12.0,25.0,8,20,25731,3167,0,191,70,119,119,119,0.26,119,119.0,119,1e-10,1e-10,108.8,113.7,99.8,50.9,467,509,0,E0
39,39,589,2.0,77,45.0,10.0,23.0,8,20,24903,2831,0,98,39,119,119,119,0.27,119,119.0,119,1e-10,1e-10,110.1,114.4,103.3,50.9,461,492,0,E0
40,46,2,605.0,45,77.0,12.0,27.0,8,20,66492,3380,228,2,37,119,120,119,0.28,120,120.0,120,3e-06,5.7e-07,103.9,109.0,97.1,51.0,492,526,0,E0
41,44,2,615.0,45,77.0,12.0,27.0,8,20,66500,3384,229,2,38,120,120,119,0.41,120,120.0,120,1.4e-06,2.6e-08,104.1,109.4,97.0,51.0,491,526,0,E0
42,48,0,366.0,45,77.0,12.0,25.0,8,20,24731,2753,0,78,60,119,119,119,0.25,119,119.0,119,3.5e-08,1e-10,108.0,112.3,101.2,50.9,470,501,0,E0
43,45,0,0.0,45,45.0,10.0,24.0,8,20,24744,2759,0,79,61,119,119,119,0.27,119,119.0,119,1.2e-05,1e-10,109.4,114.9,102.8,50.9,465,494,0,E0
44,43,616,2.0,78,45.0,10.0,25.0,8,20,24924,2840,0,101,43,119,119,119,0.26,119,119.0,119,1e-10,1e-10,108.7,113.9,102.5,50.9,467,495,0,E0
45,46,0,399.0,45,77.0,12.0,27.0,8,20,66334,3308,209,2,53,120,120,119,0.3,120,120.0,120,3e-06,4.6e-08,103.5,108.9,96.0,50.9,494,533,0,E0
46,45,2,986.0,45,79.0,12.0,25.0,8,20,25210,2965,0,134,67,119,119,119,0.25,119,119.0,119,1e-10,1e-10,108.9,114.0,101.6,50.9,467,500,0,E0
47,41,985,2.0,79,45.0,10.0,28.0,8,20,66787,3510,263,2,55,120,120,119,0.33,120,120.0,120,2.6e-06,1.1e-07,104.0,109.3,97.2,51.0,492,526,0,E0
48,41,987,2.0,79,45.0,10.0,26.0,8,20,25211,2965,0,134,67,119,119,119,0.27,119,119.0,119,1e-10,1e-10,108.9,113.6,102.2,50.9,467,497,0,E0
49,41,514,0.0,77,45.0,10.0,26.0,8,20,24848,2806,0,92,71,119,119,119,0.25,119,119.0,119,1.8e-06,1e-10,107.7,113.0,101.0,50.9,472,502,0,E0
50,44,2,623.0,45,77.0,12.0,24.0,8,20,24929,2842,0,101,45,119,119,119,0.25,119,119.0,119,1e-10,1e-10,108.9,113.6,101.9,50.9,467,499,0,E0
51,40,528,0.0,77,45.0,10.0,26.0,8,20,66438,3356,222,2,58,119,120,119,0.28,120,120.0,120,1.2e-06,2.8e-06,103.4,108.6,94.6,51.0,495,540,0,E0
52,38,637,2.0,78,45.0,10.0,28.0,8,20,66518,3392,232,2,41,120,120,119,0.31,120,120.0,119,3.6e-06,1.7e-06,103.7,109.3,96.3,51.0,493,530,0,E0
53,44,2,836.0,45,78.0,12.0,27.0,8,20,66670,3457,249,2,51,120,120,119,0.29,120,120.0,120,3.9e-07,1e-10,103.9,109.2,96.8,51.0,492,527,0,E0
54,44,3,1157.0,45,79.0,12.0,25.0,8,20,25340,3009,0,149,52,119,119,119,0.28,119,119.0,119,6.3e-07,1e-10,108.4,113.5,102.1,50.9,469,498,0,E0
55,42,1171,3.0,79,45.0,10.0,28.0,8,20,66929,3560,279,2,43,120,120,119,0.34,120,120.0,120,2.1e-06,5.7e-07,104.1,109.2,97.4,51.0,491,525,0,E0
56,39,1173,3.0,79,45.0,10.0,26.0,8,20,25353,3015,0,150,56,119,119,119,0.26,119,119.0,119,8.9e-07,1e-10,108.9,113.3,102.4,50.9,467,496,0,E0
57,44,3,1174.0,45,79.0,12.0,28.0,8,20,66930,3561,279,2,43,119,120,119,0.3,120,120.0,120,1.8e-06,1e-10,103.9,109.1,96.7,51.0,492,528,0,E0
58,42,1174,3.0,79,45.0,10.0,25.0,8,20,25354,3015,0,151,57,119,119,119,0.26,119,119.0,119,1e-10,1e-10,108.8,113.7,102.3,50.9,467,497,0,E0
59,67,391,15.0,79,45.0,10.0,25.0,8,20,67819,3945,378,2,33,120,120,119,0.33,120,120.0,120,2e-06,9.3e-08,105.4,110.3,99.3,51.0,485,514,0,E0
60,42,15,392.0,45,79.0,12.0,26.0,8,20,67818,3944,378,2,32,120,120,119,0.34,120,120.0,120,1.6e-06,1e-10,105.2,110.2,99.0,51.0,486,516,0,E0
61,70,393,394.0,79,79.0,11.0,26.0,8,20,67821,3945,379,2,33,120,120,119,0.31,120,120.0,119,6.6e-07,1e-10,105.0,109.9,97.5,51.0,487,524,0,E0
62,42,645,2.0,78,45.0,10.0,25.0,8,20,24947,2851,0,104,51,119,119,119,0.26,119,119.0,119,3.7e-08,1e-10,108.8,113.3,102.1,50.9,467,497,0,E0
63,67,2,93.0,45,74.0,11.0,23.0,8,20,67454,3781,335,2,20,120,120,119,0.32,120,120.0,120,1.6e-06,3.3e-07,105.5,110.5,99.0,51.0,485,516,0,E0
64,46,91,2.0,73,45.0,10.0,23.0,8,20,67453,3780,335,2,20,120,120,120,0.31,120,120.0,119,1.7e-06,3.4e-07,105.3,110.5,96.7,51.0,486,528,0,E0
65,60,2,2.0,45,45.0,10.0,23.0,8,20,67456,3782,335,2,20,120,120,119,0.34,120,120.0,120,1.7e-06,2.5e-06,105.1,110.4,98.8,50.9,486,517,0,E0
66,39,382,383.0,75,76.0,12.0,26.0,8,20,66322,3302,208,2,53,120,120,119,0.29,120,120.0,120,1.2e-06,1e-10,103.7,109.3,94.3,51.0,493,542,0,E0
67,41,448,0.0,77,45.0,10.0,25.0,8,20,24796,2782,0,86,66,119,119,119,0.25,119,119.0,119,3.3e-07,1e-10,107.9,112.9,101.1,50.9,471,503,0,E0
68,46,0,457.0,45,77.0,12.0,25.0,8,20,24802,2785,0,86,67,119,119,119,0.26,119,119.0,119,2.5e-07,1e-10,107.9,112.7,100.9,50.9,471,503,0,E0
69,42,455,0.0,77,45.0,10.0,28.0,8,20,66380,3329,215,2,55,120,120,119,0.3,119,120.0,119,7.2e-07,4.3e-07,103.5,108.8,96.0,51.0,494,532,0,E0
70,45,0,464.0,45,77.0,12.0,28.0,8,20,66386,3332,215,2,55,120,120,119,0.31,120,120.0,119,2.2e-06,1.4e-07,103.4,108.7,96.0,51.0,495,532,0,E0
71,41,1304,3.0,79,45.0,10.0,25.0,8,20,25457,3062,0,163,69,119,119,119,0.25,119,119.0,119,1e-10,1e-10,109.0,113.6,102.4,50.9,466,496,0,E0
72,95,0,0.0,45,45.0,11.0,28.0,15,20,17846,3717,1128,0,52,118,120,118,0.27,119,119.0,119,1e-10,1e-10,107.9,113.0,100.0,50.9,470,507,0,N0
73,47,0,279.0,45,75.0,12.0,25.0,8,20,24664,2722,0,70,35,119,119,119,0.25,119,119.0,119,1.1e-07,1e-10,107.2,112.0,100.7,50.9,474,504,0,E0
74,39,293,0.0,76,45.0,10.0,28.0,8,20,66253,3271,199,2,44,119,120,119,0.32,119,120.0,119,7.3e-07,1e-10,103.3,108.4,96.1,51.0,495,532,0,E0
75,46,93,94.0,73,74.0,11.0,23.0,8,20,67455,3781,335,2,20,120,120,120,0.34,120,120.0,120,1.9e-06,6.6e-07,105.6,110.6,99.6,51.0,484,513,0,E0
76,46,98,100.0,74,74.0,12.0,25.0,8,20,67463,3785,336,2,21,120,120,119,0.31,120,120.0,120,1.8e-06,1.6e-06,105.1,110.0,99.2,51.0,486,515,0,E0
77,42,2,2.0,45,45.0,10.0,25.0,8,20,67465,3786,337,2,21,120,120,119,0.3,120,120.0,119,1.4e-06,7.8e-07,105.2,110.2,99.1,50.9,486,515,0,E0
78,45,108,111.0,76,76.0,11.0,25.0,8,20,67475,3790,338,2,23,120,120,119,0.31,120,120.0,120,3.9e-06,1.7e-07,104.6,109.8,98.2,51.0,489,520,0,E0
79,90,109,2.0,76,45.0,10.0,26.0,8,20,67477,3791,338,2,23,119,120,119,0.3,120,120.0,120,1.9e-06,5.2e-07,105.0,110.1,98.5,51.0,487,518,0,E0
80,97,1556,1561.0,78,78.0,12.0,28.0,13,20,17917,3750,1137,0,71,118,119,118,0.25,118,119.0,118,1e-10,1e-10,107.9,113.4,99.9,50.9,470,508,0,N0
81,70,15,711.0,45,78.0,11.0,22.0,8,20,68209,4123,425,2,46,119,120,119,0.42,120,120.0,120,1.8e-06,5.3e-08,106.4,111.2,100.6,51.0,481,508,0,E0
82,46,708,15.0,77,45.0,10.0,22.0,8,20,68208,4122,425,2,46,120,120,119,0.3,120,120.0,120,6.2e-07,3.8e-07,106.2,111.2,99.7,51.0,482,512,0,E0
83,63,15,15.0,45,45.0,10.0,23.0,8,20,68211,4124,425,2,46,120,120,119,0.34,120,120.0,120,2.4e-06,1e-10,106.1,110.7,99.3,51.0,482,514,0,E0
84,46,2,567.0,45,77.0,12.0,25.0,8,20,24887,2823,0,96,62,119,119,119,0.26,119,119.0,119,1e-10,1e-10,108.9,113.5,101.9,51.0,467,498,0,E0
85,47,2,582.0,45,77.0,12.0,25.0,8,20,66476,3373,226,2,54,119,120,119,0.28,120,120.0,120,2.4e-06,1e-10,103.6,108.9,96.4,51.0,494,530,0,E0
86,44,0,453.0,45,77.0,12.0,28.0,8,20,66378,3328,214,2,55,119,120,119,0.29,120,120.0,120,1.5e-06,8.2e-07,103.3,108.8,94.6,51.0,495,541,0,E0
87,38,0,0.0,45,45.0,11.0,22.0,15,20,17766,3679,1119,0,32,118,119,118,0.25,119,119.0,119,1e-10,1e-10,109.9,114.8,102.4,50.9,462,495,0,N0
88,43,0,454.0,45,77.0,12.0,27.0,8,20,66379,3329,214,2,55,120,120,119,0.28,120,120.0,120,4.5e-06,4.1e-07,103.2,108.6,96.0,50.9,496,532,0,E0
89,47,0,459.0,45,77.0,12.0,28.0,8,20,66382,3330,215,2,55,120,120,119,0.3,120,120.0,120,2.4e-06,1.4e-07,103.1,108.7,95.0,51.0,496,538,0,E0
90,97,1324,1329.0,76,76.0,11.0,27.0,13,20,17789,3690,1121,0,35,118,119,118,0.27,119,119.0,119,1e-10,1e-10,109.1,114.6,101.6,50.9,465,499,0,N0
91,41,462,0.0,77,45.0,10.0,28.0,8,20,66385,3331,215,2,55,120,120,119,0.31,119,120.0,119,3e-06,3.6e-07,103.6,108.7,96.4,51.0,494,530,0,E0
92,42,464,0.0,77,45.0,10.0,26.0,8,20,24808,2788,0,87,67,119,119,119,0.27,119,119.0,119,2.9e-06,1e-10,107.7,112.8,100.9,50.9,472,503,0,E0
93,44,0,482.0,45,77.0,12.0,25.0,8,20,24822,2794,0,89,69,119,119,119,0.25,119,119.0,119,1e-10,1e-10,107.9,112.8,100.8,50.9,471,504,0,E0
94,42,496,0.0,77,45.0,10.0,28.0,8,20,66412,3344,219,2,57,120,120,119,0.29,120,120.0,120,2.2e-06,6.9e-07,103.2,108.7,95.0,51.0,496,538,0,E0
95,44,2,859.0,45,79.0,12.0,25.0,8,20,25111,2920,0,122,62,119,119,119,0.28,119,119.0,119,5.5e-07,1e-10,109.0,113.6,102.2,50.9,466,497,0,E0
96,42,873,2.0,79,45.0,10.0,28.0,8,20,66700,3471,253,2,52,120,120,119,0.28,120,120.0,119,3e-06,1.4e-07,103.8,109.0,96.8,51.0,493,527,0,E0
97,41,261,0.0,75,45.0,10.0,25.0,8,20,24651,2716,0,68,29,119,119,119,0.28,119,119.0,119,1e-10,1e-10,108.1,112.2,101.6,50.9,470,500,0,E0
98,51,548,2.0,77,45.0,10.0,27.0,8,20,66450,3361,223,2,54,119,120,119,0.29,120,120.0,120,2.5e-06,6.9e-07,103.5,109.0,96.4,51.0,494,530,0,E0
99,67,454,15.0,78,45.0,10.0,23.0,8,20,67897,3980,388,2,60,120,120,119,0.34,120,120.0,119,1.6e-06,4.2e-08,105.8,110.6,99.5,51.0,483,513,0,E0
100,41,15,455.0,45,78.0,11.0,23.0,8,20,67896,3980,388,2,60,120,120,119,0.32,120,120.0,120,3.6e-06,1.9e-06,105.5,110.8,98.2,51.0,485,520,0,E0
101,60,456,458.0,78,78.0,11.0,24.0,8,20,67899,3981,388,2,60,120,120,119,0.31,120,120.0,120,1.6e-06,1e-10,105.4,110.6,99.3,51.0,485,514,0,E0
102,87,15,601.0,45,81.0,11.0,28.0,8,20,68076,4062,409,2,65,119,120,119,0.31,120,120.0,120,2.4e-06,1.8e-06,104.3,109.8,96.7,51.0,490,528,0,E0
103,47,722,,79,,,,8,20,68226,4131,427,2,46,120,120,119,0.31,120,120.0,119,2.2e-06,8.1e-07,105.3,110.6,98.4,51.0,486,519,4,E0
104,66,724,726.0,79,79.0,11.0,26.0,8,20,68229,4132,427,2,46,119,120,119,0.3,120,120.0,120,6.2e-07,2.1e-08,105.5,110.5,99.6,51.0,485,513,0,E0
105,66,497,15.0,79,45.0,10.0,24.0,8,20,67949,4004,394,2,64,120,120,119,0.34,120,120.0,119,2.2e-06,1e-10,105.4,110.5,98.6,51.0,485,519,0,E0
106,74,15,15.0,45,45.0,10.0,26.0,8,20,68231,4133,428,2,46,119,120,119,0.32,119,120.0,119,2.5e-06,1e-10,105.7,110.8,99.5,51.0,484,513,0,E0
107,45,725,727.0,79,79.0,11.0,26.0,8,20,68230,4132,427,2,46,119,120,119,0.31,120,120.0,120,2.4e-06,2e-06,105.4,110.4,99.3,51.0,485,514,0,E0
108,42,15,498.0,45,79.0,12.0,26.0,8,20,67948,4004,394,2,64,119,120,119,0.32,119,120.0,119,3e-06,1.5e-06,105.1,110.3,98.4,51.0,487,519,0,E0
109,69,498,500.0,79,79.0,11.0,25.0,8,20,67951,4005,394,2,64,120,120,119,0.34,120,120.0,120,3.8e-06,1e-10,105.0,110.2,98.7,51.0,487,517,0,E0
110,44,2,551.0,45,77.0,12.0,23.0,8,20,24874,2818,0,95,62,119,119,119,0.27,119,119.0,119,1e-10,1e-10,109.3,114.1,102.3,50.9,465,496,0,E0
111,40,565,2.0,77,45.0,10.0,28.0,8,20,66463,3367,225,2,54,120,120,119,0.29,120,120.0,119,1e-10,1e-10,104.0,109.4,96.7,51.0,492,528,0,E0
112,46,3,1207.0,45,79.0,12.0,25.0,8,20,25379,3026,0,153,62,119,119,119,0.25,119,119.0,119,1e-10,1e-10,108.9,113.3,102.1,50.9,467,497,0,E0
113,42,1221,3.0,79,45.0,10.0,29.0,8,20,66968,3578,283,2,50,120,120,119,0.31,120,120.0,119,2.7e-06,7.1e-08,103.9,109.3,95.4,51.0,492,535,0,E0
114,48,0,499.0,45,77.0,12.0,25.0,8,20,24835,2800,0,90,70,119,119,119,0.26,119,119.0,119,1.1e-08,1e-10,108.4,112.5,101.5,50.9,469,500,0,E0
115,43,512,0.0,77,45.0,10.0,28.0,8,20,66425,3350,220,2,58,119,120,119,0.29,120,120.0,119,4.4e-07,3.4e-07,103.6,108.6,96.3,51.0,494,531,0,E0
116,39,671,2.0,78,45.0,10.0,25.0,8,20,24968,2860,0,106,58,119,119,119,0.28,119,119.0,119,2.3e-06,1e-10,108.6,113.5,101.9,50.9,468,498,0,E0
117,48,2,686.0,45,79.0,12.0,24.0,8,20,66557,3410,237,2,49,119,121,119,0.29,120,120.0,120,1.7e-06,1e-10,103.8,108.7,96.6,51.0,493,529,0,E0
118,46,3,1788.0,45,79.0,12.0,28.0,8,20,67410,3761,330,2,57,120,120,119,0.32,120,120.0,120,1.7e-06,7.9e-07,104.3,109.5,97.1,51.0,490,526,0,E0
119,41,905,2.0,79,45.0,10.0,28.0,8,20,66726,3482,256,2,55,120,120,119,0.3,120,120.0,120,5.7e-07,7.3e-07,103.9,109.1,97.1,51.0,492,526,0,E0
120,42,460,0.0,77,45.0,10.0,26.0,8,20,24805,2787,0,87,67,119,119,119,0.27,119,119.0,119,6.8e-07,1e-10,107.9,112.5,98.9,50.9,471,513,0,E0
121,41,460,0.0,77,45.0,10.0,28.0,8,20,66384,3331,215,2,55,120,120,119,0.29,119,120.0,119,1.7e-06,1.3e-06,103.5,108.7,96.3,51.0,494,531,0,E0
122,39,756,2.0,78,45.0,10.0,25.0,8,20,25033,2889,0,114,69,119,119,119,0.29,119,119.0,119,1e-10,1e-10,108.5,113.4,100.2,50.9,469,506,0,E0
123,46,2,771.0,45,79.0,12.0,25.0,8,20,66622,3440,245,2,58,119,120,119,0.28,119,120.0,119,2.4e-06,2e-06,103.7,108.9,96.6,51.0,493,530,0,E0
124,44,3,1712.0,45,79.0,12.0,28.0,8,20,67351,3733,323,2,57,120,120,119,0.31,120,120.0,120,2.1e-07,1e-10,104.3,109.6,97.5,51.0,490,524,0,E0
125,46,3,,45,,,,8,20,25787,3192,0,198,71,119,119,119,0.25,119,119.0,119,1e-10,1e-10,109.3,114.0,102.6,50.9,465,495,4,E0
126,96,0,0.0,45,45.0,11.0,26.0,15,20,17792,3691,1122,0,35,118,119,118,0.24,118,119.0,118,1e-10,1e-10,109.3,114.2,101.4,50.9,464,500,0,N0
127,45,2,670.0,45,78.0,12.0,28.0,8,20,66544,3404,235,2,47,120,120,119,0.28,120,120.0,119,3.8e-06,1e-10,103.3,108.9,93.7,50.9,495,545,0,E0
128,95,1374,1379.0,77,77.0,11.0,28.0,13,20,17815,3702,1124,0,42,118,119,118,0.24,119,119.0,119,1e-10,1e-10,108.5,113.9,100.8,50.9,467,502,0,N0
129,47,3,1122.0,45,79.0,12.0,25.0,8,20,25312,2996,0,145,39,119,119,119,0.27,119,119.0,119,1e-10,1e-10,108.8,113.7,102.5,50.9,467,496,0,E0
130,42,1135,,79,,,,8,20,66901,3547,276,2,35,120,120,119,0.33,120,120.0,120,3.7e-06,3e-08,103.9,109.1,97.2,51.0,492,526,4,E0
131,68,646,647.0,82,82.0,11.0,27.0,8,20,68131,4087,416,2,71,119,120,119,0.3,120,120.0,119,4.6e-06,6.2e-07,104.4,109.6,98.3,51.0,490,520,0,E0
132,41,15,15.0,45,45.0,11.0,27.0,8,20,68130,4087,415,2,70,119,120,119,0.32,119,120.0,119,3.1e-06,1.3e-06,104.6,109.4,98.3,51.0,489,520,0,E0
133,39,1255,3.0,79,45.0,10.0,26.0,8,20,25418,3044,0,158,67,119,119,119,0.26,119,119.0,119,5.7e-07,1e-10,108.9,113.8,102.4,50.9,467,496,0,E0
134,77,15,15.0,45,45.0,10.0,27.0,8,20,68133,4088,416,2,71,120,120,119,0.3,120,120.0,120,4.6e-06,1.9e-06,104.6,109.6,98.0,51.0,489,521,0,E0
135,46,3,1270.0,45,79.0,12.0,28.0,8,20,67007,3596,288,2,54,120,120,119,0.33,120,120.0,120,3.7e-06,1.5e-06,104.2,109.1,97.3,51.0,491,525,0,E0
136,40,1189,3.0,79,45.0,10.0,26.0,8,20,25366,3021,0,152,60,119,119,119,0.37,119,119.0,119,1e-10,1e-10,108.8,113.7,102.2,50.9,467,497,0,E0
137,46,3,1204.0,45,79.0,12.0,27.0,8,20,66955,3572,282,2,48,120,120,119,0.31,120,120.0,119,6.8e-07,1e-10,104.1,108.9,97.3,50.9,491,525,0,E0
138,41,809,2.0,77,45.0,10.0,23.0,8,20,25072,2902,0,117,59,119,119,119,0.38,119,119.0,119,1e-10,1e-10,110.1,115.1,103.3,50.9,462,491,0,E0
139,47,2,968.0,45,79.0,12.0,27.0,8,20,66773,3504,261,2,54,120,120,119,0.33,120,120.0,120,3.7e-06,1e-10,104.0,109.0,95.6,51.0,492,534,0,E0
140,47,2,825.0,45,77.0,12.0,27.0,8,20,66661,3453,248,2,51,120,120,119,0.28,120,120.0,119,4.1e-06,1.5e-07,104.0,108.9,96.4,51.0,492,530,0,E0
141,46,0,433.0,45,77.0,12.0,25.0,8,20,24783,2777,0,84,65,119,119,119,0.28,119,119.0,119,1e-10,1e-10,108.2,112.3,101.3,50.9,470,501,0,E0
142,41,446,,77,,,,8,20,66373,3326,214,2,55,120,120,119,0.41,120,120.0,119,1.5e-06,4.5e-07,103.6,108.7,96.3,51.0,494,531,4,E0
143,41,551,2.0,77,45.0,10.0,27.0,8,20,66452,3362,223,2,54,119,120,119,0.31,119,120.0,119,3.6e-06,1.3e-07,104.1,109.4,96.8,50.9,491,528,0,E0
144,64,5,5.0,45,45.0,10.0,28.0,8,20,25926,3255,0,214,75,119,119,119,0.27,119,119.0,119,1e-10,1e-10,106.6,111.0,100.6,50.9,477,505,0,E0
