,330X2,330X21,330X25,330X31,330X41,330X42,330X48,330X49,330X51,330X52,330X81,330X94,330X100,330X101,330X102,330X104,330X106,330X107,330X108,330X119,330X120,330X121,330X135,330X140,330X141,330X142,330X167,330X179,330X185,330X188,330X190,330X191,330X195,330X197,330X207,330X208,330X214,330X218,330X224,330X236,330X244,330X248,330X258,330X266,330X267,330X274,330X277,330X288,330X296,330X297,330X298,330X302,330X303,330X315,330X321,330X364,330X384,330X385,330X393,330X394,330X395,330X421,330X422,330X441,330X452,330X458,330X460,330X461,330X462,330X468,330X471,330X472,330X481,330X482,330X488,330X498,330X511,330X512,330X516,330X527,330X538,330X539,330X547,330X548,330X552,330X553,330X554,330X555,330X559,330X561,330X562,330X566,330X568,330X569,330X573,330X574,330X575,330X576,330X580,330X582,330X595,330X603,330X604,330X608,330X610,330X611,330X615,330X643,330X670,330X673,330X689,330X690,330X700,330X713,330X798,330X878,330X899,330X909,330X912,330X932,330X952,330X972,330X1053,330X1077,330X1129,330X1174,330X1202,330X1207,330X1214,330X1226,TOOL
10,128.2,5.34,198.6,103.357,41.5,0.41,39.9,0.4,41.267,1.18,103.868,128.3,4.81,0.0,94.38,93.09,103.31,102.557,101.43,4.7,102.65,101.843,101.363,88.98,101.63,100.743,4.71,99.887,98.56,93.943,103.41,102.937,102.03,100.2,98.55,97.483,96.33,98.99,97.84,5.12,100.46,102.657,103.463,87.68,104.74,102.55,104.79,105.61,89.1,101.53,100.987,99.99,4.94,107.407,106.08,109.65,108.12,107.127,52.2,106.34,105.353,103.88,103.03,103.71,101.953,100.92,12.2,102.13,101.277,100.05,100.51,99.677,101.01,100.047,98.81,98.09,105.82,105.093,103.93,3.241,99.77,98.953,101.53,100.63,99.56,5.61,102.38,101.563,100.57,103.34,102.643,101.86,103.79,103.063,102.18,88.3,103.39,102.703,102.08,101.82,4.79,105.36,104.68,103.61,104.78,104.067,102.93,123,90.97,5.04,5.9e-05,88.08,86.29,4.26,4.3e-05,204412,1.68,163.4,19.01,20.02,49.94,48.14,2,8.0,5.23,12.9,22.72,22.73,129.7,0.17,C
11,88.8,4.52,198.3,99.58,43.2,0.37,39.9,0.37,42.733,0.62,101.542,122.8,4.1,0.34,89.89,89.79,97.67,97.313,97.09,4.15,98.56,98.12,98.273,88.08,98.48,98.027,4.43,97.79,97.23,89.847,92.09,92.047,92.01,98.22,98.24,97.76,97.23,97.17,96.7,4.19,98.76,100.223,101.023,84.0,101.97,101.08,102.36,102.413,85.55,92.18,92.133,92.07,4.59,103.1,102.67,101.48,100.49,99.77,40.0,99.82,99.133,98.97,98.273,98.98,98.763,98.08,8.0,100.87,100.063,99.32,100.16,99.357,100.72,99.943,99.11,98.97,95.74,95.55,95.37,3.138,98.66,97.983,98.07,97.44,96.84,5.92,97.05,96.5,95.97,95.67,95.163,94.71,93.55,93.113,92.73,80.69,91.23,90.833,90.51,89.08,4.05,97.34,97.087,96.81,97.72,97.42,97.11,128,89.68,4.52,0.0001,84.81,87.34,4.28,7.8e-05,213104,1.68,162.5,18.9,20.21,50.55,48.4,1,7.963,5.9,12.73,22.22,22.23,126.8,12.62,B
12,88.8,4.52,198.3,99.065,43.1,0.37,39.9,0.37,42.967,0.62,99.47,123.2,4.1,0.34,90.23,89.69,97.68,97.2,96.95,4.15,98.56,98.007,98.133,88.08,98.51,97.907,4.43,97.663,97.04,89.907,92.49,92.17,92.01,98.25,98.23,97.65,97.11,97.02,96.51,4.19,98.57,100.083,100.917,84.0,101.97,100.91,102.38,102.303,85.55,92.29,92.13,92.04,4.59,102.887,102.18,101.45,100.35,99.687,40.0,99.79,99.11,98.89,98.2,98.98,98.727,97.79,8.0,100.85,100.033,99.09,100.06,99.277,100.71,99.93,99.01,98.82,95.72,95.5,95.23,3.145,98.56,97.893,97.99,97.39,96.7,5.92,97.07,96.437,95.8,95.64,95.09,94.5,93.52,93.04,92.56,80.69,91.21,90.76,90.36,89.1,4.05,97.34,97.033,96.62,97.71,97.367,96.88,128,89.68,4.52,9.3e-05,84.82,87.34,4.28,7.5e-05,213104,1.68,162.5,18.9,20.21,50.55,48.4,2,7.967,5.9,12.73,22.22,22.23,124.2,12.62,B
13,87.3,4.51,198.3,98.003,44.0,0.36,39.9,0.36,43.4,0.61,100.366,120.6,4.09,0.34,87.79,87.48,96.14,95.62,95.15,4.14,96.98,96.413,96.52,87.99,96.9,96.32,4.42,96.173,95.55,87.647,90.04,89.797,89.58,96.71,96.71,96.073,95.3,95.457,94.75,4.19,96.81,98.443,99.19,83.92,100.27,98.98,100.63,100.477,85.46,90.31,90.03,89.85,4.58,101.167,100.48,99.76,98.68,98.043,40.0,98.16,97.487,97.36,96.633,97.36,97.17,96.28,8.0,99.31,98.45,97.67,98.58,97.743,99.22,98.377,97.6,97.49,93.82,93.48,93.17,3.171,96.92,96.18,96.22,95.583,95.0,5.93,95.16,94.56,94.07,93.68,93.1,92.59,91.48,90.967,90.58,80.75,88.93,88.56,88.22,86.76,4.05,95.61,95.193,94.75,96.04,95.58,95.1,130,89.6,4.52,0.00024,84.74,87.25,4.28,9.3e-05,213640,1.68,162.5,18.9,20.21,50.55,48.4,1,7.97,5.91,12.73,22.22,22.22,125.3,12.62,B
14,88.8,4.53,198.2,99.995,43.1,0.37,39.9,0.37,42.567,0.63,101.992,123.3,4.1,0.34,90.72,90.51,97.98,97.673,97.33,4.15,98.77,98.38,98.52,88.08,98.69,98.233,4.43,98.04,97.43,90.593,93.04,92.863,92.75,98.43,98.48,98.047,97.46,97.417,96.88,4.2,98.91,100.367,101.113,84.02,101.9,101.06,102.26,102.367,85.55,92.98,92.8,92.67,4.59,102.997,102.49,101.35,100.32,99.863,40.0,99.74,99.253,98.9,98.417,98.9,98.95,98.43,8.0,100.79,100.28,99.79,100.11,99.603,100.78,100.233,99.67,99.56,96.53,96.16,95.82,3.167,98.89,98.447,98.35,97.97,97.61,6.02,97.32,97.05,96.79,96.02,95.737,95.53,93.94,93.717,93.59,80.76,91.62,91.49,91.42,89.55,4.06,97.8,97.557,97.2,98.13,97.833,97.4,127,89.75,4.53,0.00011,84.87,87.3,4.28,8e-05,201604,1.68,162.4,18.88,20.2,50.53,48.38,1,7.967,5.9,12.72,22.22,22.23,127.3,12.6,B
15,88.8,4.53,198.2,99.314,43.1,0.37,39.9,0.37,42.833,0.63,99.696,123.4,4.1,0.34,90.74,90.49,98.24,97.687,97.29,4.15,99.02,98.31,98.43,88.08,99.01,98.14,4.43,97.897,97.07,90.58,92.96,92.727,92.59,98.72,98.68,97.88,97.13,97.207,96.49,4.2,98.44,100.17,100.937,84.02,102.12,100.65,102.47,102.12,85.56,92.91,92.707,92.6,4.59,102.8,102.07,101.57,100.6,99.803,40.0,99.84,99.133,99.01,98.277,99.05,98.813,98.03,8.0,100.88,100.177,99.43,100.2,99.483,100.89,100.15,99.37,99.23,96.46,96.043,95.73,3.173,98.95,98.323,98.46,97.84,97.23,6.03,97.54,96.94,96.39,96.11,95.57,95.13,94.0,93.557,93.22,80.76,91.69,91.33,91.04,89.55,4.06,98.03,97.527,97.04,98.41,97.833,97.27,128,89.75,4.53,9.5e-05,84.87,87.31,4.28,7.7e-05,201604,1.68,162.4,18.88,20.2,50.53,48.38,2,7.97,5.9,12.72,22.22,22.22,124.5,12.6,B
16,86.8,4.52,198.2,97.76,44.3,0.36,39.9,0.36,43.6,0.61,100.104,120.1,4.09,0.33,88.1,87.5,95.92,95.453,94.91,4.14,96.73,96.213,96.3,87.95,96.64,96.08,4.42,95.9,95.22,87.877,90.16,89.93,89.57,96.4,96.42,95.86,95.3,95.227,94.71,4.19,96.72,98.047,98.763,83.91,99.69,98.72,99.98,99.933,85.43,90.3,90.113,89.77,4.58,100.603,100.17,99.14,98.11,97.57,40.1,97.54,96.993,96.84,96.237,96.84,96.84,96.24,8.0,98.76,98.063,97.24,98.07,97.42,98.79,98.087,97.25,97.17,93.84,93.52,93.1,3.202,96.66,96.043,95.97,95.457,94.8,6.04,94.91,94.457,93.89,93.47,93.007,92.43,91.27,90.923,90.47,80.83,88.95,88.627,88.22,86.8,4.05,95.52,95.163,94.66,95.87,95.503,94.98,130,89.63,4.52,0.00024,84.73,87.19,4.27,9.1e-05,202141,1.68,162.4,18.88,20.2,50.53,48.38,1,7.967,5.91,12.72,22.21,22.22,125.0,12.6,B
17,86.8,4.52,198.2,96.923,44.2,0.36,39.9,0.36,43.967,0.61,97.444,120.4,4.09,0.33,87.94,87.54,95.97,95.39,94.78,4.14,96.84,96.19,96.307,87.97,96.75,96.087,4.42,95.91,95.08,87.727,90.16,89.877,89.44,96.57,96.34,95.763,95.09,95.113,94.46,4.19,96.44,97.993,98.72,83.91,99.72,98.49,100.03,99.893,85.44,90.28,89.923,89.55,4.58,100.527,99.89,99.18,98.14,97.523,40.1,97.6,96.967,96.83,96.207,96.91,96.8,95.94,8.0,98.92,98.223,97.37,98.25,97.567,98.96,98.22,97.34,97.29,93.68,93.33,92.89,3.203,96.71,96.147,96.12,95.573,94.89,6.03,95.09,94.58,93.93,93.57,93.01,92.23,91.44,90.933,90.25,80.83,89.0,88.587,87.97,86.9,4.05,95.47,94.993,94.37,95.95,95.387,94.7,131,89.63,4.52,0.00015,84.74,87.19,4.27,8.5e-05,202141,1.68,162.4,18.88,20.2,50.53,48.38,2,7.967,5.91,12.72,22.22,22.22,121.6,12.6,B
18,86.9,4.52,198.2,97.697,44.2,0.36,39.9,0.36,43.567,0.61,99.926,120.0,4.09,0.33,88.12,87.62,96.03,95.387,94.85,4.14,96.8,96.07,96.18,87.97,96.78,95.967,4.42,95.75,95.11,87.847,90.21,89.883,89.61,96.41,96.39,95.737,95.19,95.127,94.63,4.19,96.6,98.023,98.747,83.91,99.78,98.6,100.12,99.89,85.44,90.24,89.89,89.59,4.58,100.58,100.02,99.26,98.21,97.537,40.1,97.66,96.997,96.88,96.197,96.95,96.797,96.06,8.0,98.94,98.207,97.43,98.25,97.553,98.9,98.177,97.42,97.35,93.81,93.31,92.9,3.181,96.78,96.133,96.14,95.54,94.99,6.03,95.12,94.553,94.06,93.6,93.033,92.55,91.43,90.943,90.54,80.78,89.06,88.677,88.38,86.87,4.05,95.61,95.027,94.53,96.0,95.403,94.86,130,89.63,4.52,0.00024,84.74,87.18,4.27,9.2e-05,202718,1.68,162.4,18.89,20.2,50.53,48.38,1,7.97,5.9,12.72,22.21,22.22,124.7,12.6,B
19,86.9,4.51,198.2,96.888,44.2,0.36,39.9,0.36,43.967,0.61,97.37,120.3,4.09,0.33,88.17,87.37,96.13,95.347,94.87,4.14,96.96,96.133,96.24,87.97,96.92,96.02,4.42,95.783,94.86,87.683,90.3,89.83,89.5,96.64,96.58,95.73,94.88,95.1,94.26,4.19,96.23,97.997,98.733,83.91,100.03,98.28,100.38,99.937,85.44,90.47,89.913,89.58,4.58,100.533,99.73,99.27,98.22,97.527,40.1,97.67,96.957,96.92,96.16,97.03,96.787,95.78,8.0,98.94,98.187,97.25,98.3,97.533,98.98,98.193,97.2,97.15,93.86,93.283,92.79,3.17,96.86,96.093,96.29,95.557,94.69,6.03,95.2,94.527,93.75,93.73,93.037,92.24,91.57,90.943,90.23,80.78,89.11,88.603,88.05,87.0,4.05,95.69,94.98,94.41,96.11,95.373,94.75,131,89.63,4.52,0.00015,84.74,87.19,4.27,8.6e-05,202718,1.68,162.4,18.88,20.2,50.52,48.38,2,7.967,5.9,12.72,22.22,22.22,121.6,12.6,B
20,86.8,4.51,198.2,97.773,44.2,0.36,39.9,0.36,43.567,0.61,99.992,120.2,4.09,0.33,88.14,87.35,95.92,95.33,94.78,4.14,96.74,96.08,96.207,87.97,96.69,95.99,4.42,95.85,95.07,87.693,90.25,89.773,89.32,96.49,96.46,95.78,95.11,95.19,94.55,4.19,96.54,98.123,98.823,83.91,99.8,98.65,100.16,100.02,85.43,90.4,89.877,89.53,4.58,100.63,100.0,99.19,98.15,97.523,40.1,97.64,97.053,96.87,96.24,97.01,96.877,96.11,8.0,98.98,98.287,97.53,98.33,97.613,98.84,98.137,97.53,97.42,93.74,93.253,92.8,3.173,96.66,96.11,96.05,95.553,94.99,5.91,95.05,94.56,94.01,93.46,93.067,92.58,91.32,90.987,90.55,80.84,88.97,88.653,88.28,86.71,4.05,95.54,95.0,94.47,95.97,95.357,94.74,130,89.63,4.52,0.00024,84.74,87.19,4.27,9.4e-05,203255,1.68,162.4,18.88,20.2,50.52,48.38,1,7.967,5.91,12.72,22.21,22.22,124.8,12.6,B
21,86.9,4.52,198.2,96.881,44.2,0.36,39.9,0.36,43.933,0.61,97.388,120.3,4.09,0.33,87.85,87.32,96.07,95.393,94.85,4.14,96.95,96.187,96.313,87.97,96.89,96.11,4.41,95.947,95.14,87.603,90.19,89.787,89.5,96.72,96.62,95.867,95.14,95.23,94.52,4.19,96.52,98.133,98.863,83.91,99.83,98.33,100.16,99.883,85.44,90.33,89.9,89.56,4.58,100.537,99.76,99.17,98.17,97.507,40.1,97.59,96.93,96.87,96.153,97.0,96.773,95.8,8.0,98.85,98.127,97.19,98.21,97.48,98.97,98.177,97.19,97.1,93.78,93.28,92.83,3.176,96.67,96.023,96.07,95.45,94.72,5.91,95.04,94.437,93.74,93.51,92.937,92.29,91.37,90.867,90.3,80.84,88.96,88.543,88.07,86.82,4.05,95.56,95.003,94.47,96.03,95.407,94.81,131,89.63,4.52,0.00015,84.74,87.19,4.27,8.7e-05,203255,1.68,162.4,18.88,20.2,50.53,48.38,2,7.967,5.91,12.72,22.21,22.22,121.6,12.6,B
22,87.1,4.52,198.2,97.656,44.3,0.36,39.9,0.36,43.633,0.61,99.946,120.0,4.09,0.33,88.0,87.31,96.01,95.407,94.81,4.14,96.87,96.163,96.267,87.95,96.56,95.973,4.42,95.82,95.1,87.713,90.1,89.777,89.4,96.39,96.35,95.79,95.1,95.183,94.54,4.19,96.52,98.073,98.787,83.91,99.8,98.52,100.13,99.947,85.44,90.3,90.0,89.63,4.58,100.613,99.94,99.25,98.14,97.53,40.1,97.62,96.977,96.95,96.227,96.93,96.797,95.95,8.0,98.87,98.07,97.27,98.21,97.417,98.88,97.973,96.97,96.85,93.8,93.38,92.94,3.159,96.59,95.84,95.98,95.27,94.46,5.91,94.89,94.237,93.51,93.39,92.827,92.18,91.27,90.723,90.12,80.8,88.86,88.393,87.93,86.68,4.05,95.58,95.057,94.46,96.01,95.44,94.84,130,89.63,4.52,0.00024,84.74,87.19,4.27,9.3e-05,203832,1.68,162.4,18.88,20.2,50.52,48.37,1,7.963,5.91,12.72,22.22,22.22,124.8,12.6,B
23,86.8,4.52,198.2,96.884,44.2,0.36,39.9,0.36,43.867,0.61,97.46,120.2,4.09,0.33,88.01,87.56,96.04,95.443,95.02,4.14,96.89,96.127,96.223,87.97,96.74,96.003,4.42,95.857,95.03,87.723,90.22,89.867,89.65,96.57,96.53,95.817,95.01,95.173,94.39,4.19,96.36,98.067,98.787,83.91,99.95,98.41,100.26,99.94,85.44,90.35,89.99,89.8,4.58,100.563,99.77,99.25,98.21,97.53,40.1,97.67,96.98,96.81,96.18,96.92,96.77,95.88,8.0,98.91,98.167,97.27,98.23,97.497,98.9,98.173,97.28,97.2,93.87,93.353,93.0,3.161,96.56,95.94,96.04,95.333,94.69,5.91,94.92,94.297,93.74,93.39,92.803,92.25,91.26,90.693,90.2,80.8,88.87,88.353,87.95,86.69,4.05,95.62,95.07,94.58,96.08,95.45,94.9,131,89.63,4.52,0.00015,84.74,87.19,4.27,8.6e-05,203832,1.68,162.4,18.88,20.21,50.52,48.38,2,7.96,5.91,12.72,22.21,22.21,121.7,12.6,B
