,344X1,344X2,344X5,344X7,344X10,344X13,344X14,344X15,344X23,344X25,344X31,344X33,344X34,344X36,344X42,344X46,344X48,344X49,344X54,344X55,344X75,344X78,344X90,344X102,344X114,344X118,344X121,344X126,344X127,344X130,344X132,344X133,344X138,344X150,344X153,344X154,344X156,344X163,344X166,344X168,344X169,344X174,344X177,344X178,344X180,344X181,344X210,344X212,344X216,344X222,344X224,344X231,344X237,344X239,344X240,344X243,344X245,344X246,344X266,344X270,344X278,344X279,344X281,344X297,344X299,344X317,344X318,344X321,344X324,344X335,344X336,344X338,344X341,344X347,344X348,344X355,344X364,344X365,344X377,TOOL
17,159.0,156,101,118,81,100,117.0,81,81,213,177,0.62,0.27,4.18,3005,3020,3000,3000,95.0,95.0,3085,17.9,5.8,46.0,30.2,19.8,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,5,5,0,0,1,52496,5,10.4,14.6,3999,3970,34,29,34,28,27,51,0.0,320,528,323,35,24,13,40,51,28,4419,3367,4423,4390,3008.1,3008.4,102.8,107.6,107.5,84,W
18,159.6,156,101,118,81,100,118.1,81,81,213,178,0.78,0.37,4.9,3001,3010,2990,2990,104.1,108.0,3085,17.9,5.8,46.0,30.2,19.8,19.2,1199,3,6,1198,2,-1,398,400,800,395,1197,1200,591,1193,-5,-5,-2,-7,-7,0,52496,5,10.2,14.4,3999,3965,29,26,32,29,24,52,0.0,325,559,386,40,34,11,41,53,29,4484,3424,4535,4464,3010.4,3012.6,110.7,106.0,106.1,96,V
19,150.0,156,101,118,81,100,120.0,81,81,211,172,0.72,0.41,4.05,3000,3010,2990,2990,100.1,100.0,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,1,52497,5,10.2,14.2,3999,3950,30,27,34,29,23,52,0.0,335,560,395,44,38,12,37,48,26,4396,3389,4452,4373,3013.2,3014.5,111.0,107.7,108.2,101,X
20,159.0,156,101,118,81,100,117.0,81,81,212,177,0.66,0.28,4.15,3006,3010,3000,3000,95.0,97.1,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,5,5,0,0,0,52497,5,10.3,14.2,3999,3946,32,29,35,28,26,52,0.0,322,547,376,34,28,13,40,52,28,4418,3385,4467,4401,3007.5,3008.7,99.5,106.8,106.3,93,W
21,159.6,156,101,118,81,100,118.1,81,81,214,178,0.76,0.38,4.88,3001,3010,2990,2990,111.0,110.0,3085,17.9,5.8,46.0,30.2,19.9,19.2,1199,3,6,1198,2,-1,398,400,800,397,1197,1200,595,1193,-5,-2,-5,-7,-7,1,52497,5,10.2,14.3,3999,3952,29,26,32,29,23,52,0.0,324,557,388,40,34,11,40,53,29,4486,3428,4533,4461,3011.3,3012.1,110.8,106.8,107.3,95,V
22,150.0,156,101,118,81,100,120.0,81,81,213,174,0.7,0.37,4.18,3000,3010,2990,2990,104.8,109.4,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,0,-2,-2,0,52498,5,10.2,14.4,4000,3947,31,27,34,31,23,52,0.0,333,547,335,45,33,12,38,48,25,4390,3364,4394,4370,3013.3,3015.0,100.0,107.4,106.8,93,X
23,159.0,156,101,118,81,100,117.0,81,81,211,176,0.63,0.29,4.03,3006,3010,3000,3000,111.1,110.5,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,5,5,0,0,1,52498,5,10.3,14.1,3999,3987,32,29,34,28,27,50,0.0,325,543,388,34,29,13,39,52,28,4419,3384,4468,4400,3007.5,3008.9,110.6,106.6,107.0,94,W
24,159.6,156,101,118,81,100,118.1,81,81,213,178,0.75,0.38,4.73,3001,3010,2990,2990,108.3,101.0,3085,17.9,5.8,46.0,30.2,19.8,19.2,1199,3,6,1196,2,-1,398,400,800,397,1197,1200,595,1193,-5,-5,-5,-7,-7,0,52008,5,10.2,14.3,4000,3924,29,26,32,29,23,52,0.0,323,557,388,40,34,11,41,53,29,4481,3426,4529,4458,3012.1,3012.7,99.5,107.5,107.0,97,V
25,159.6,156,101,118,81,100,118.1,81,81,214,178,0.8,0.4,4.88,3001,3010,2990,2990,98.4,99.6,3085,17.9,5.8,46.0,30.2,19.8,19.3,1199,3,6,1198,2,-1,398,400,800,395,1197,1200,595,1193,-5,-5,-2,-7,-7,1,52033,5,10.2,14.3,3999,3925,29,26,32,29,23,52,0.0,322,551,386,40,33,11,41,53,29,4483,3423,4530,4467,3012.3,3013.2,111.9,106.9,107.4,100,V
26,159.6,156,101,118,81,100,118.1,81,81,210,178,0.8,0.4,5.03,3001,3010,2990,2990,96.9,97.0,3085,17.9,5.8,46.0,30.2,19.9,19.2,1199,3,6,1196,2,-1,398,402,802,397,1197,1200,595,1193,-5,-5,-2,-7,-7,1,52503,5,10.2,14.5,4000,3957,29,26,32,29,23,52,0.0,324,577,387,39,33,11,39,52,29,4488,3444,4536,4472,3011.3,3012.6,110.6,107.4,107.9,89,V
27,150.0,156,101,118,81,100,120.0,81,81,213,173,0.71,0.4,4.03,3000,3010,2990,2990,106.6,107.5,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,0,52284,5,10.3,14.3,4000,3953,29,27,34,29,22,52,0.0,335,551,399,44,37,12,38,49,26,4394,3380,4451,4369,3013.9,3014.2,99.3,108.4,107.8,109,X
28,159.6,156,101,118,81,100,118.1,81,81,210,178,0.78,0.38,4.98,3001,3010,2990,2990,97.1,97.1,3085,17.9,5.8,46.0,30.2,19.8,19.3,1199,3,6,1198,2,-1,398,400,802,395,1197,1200,595,1193,-5,-5,-5,-7,-7,1,52296,5,10.3,14.3,3999,3961,29,26,32,29,23,52,0.0,323,582,387,39,34,11,39,52,29,4485,3447,4531,4463,3011.0,3012.8,99.6,108.0,107.5,92,V
29,159.0,156,101,118,81,100,117.0,81,81,210,176,0.63,0.29,4.0,3006,3010,3000,3000,104.6,98.7,3085,17.9,5.8,46.0,30.2,19.6,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,5,5,0,0,0,52098,6,10.6,14.6,3999,3949,33,29,34,28,27,51,0.0,321,521,332,35,25,14,40,52,28,4414,3363,4420,4366,3008.2,3008.7,110.0,106.7,107.0,88,W
30,150.0,156,101,118,81,100,120.0,81,81,211,173,0.75,0.44,4.1,3000,3010,2990,2990,99.9,101.8,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,1,52105,5,10.2,14.2,4000,3957,29,27,33,29,22,52,0.0,334,564,395,44,38,12,37,49,26,4387,3387,4442,4361,3013.0,3014.6,110.2,108.1,108.6,101,X
31,150.0,156,101,118,81,100,120.0,81,81,214,172,0.72,0.43,4.03,3000,3010,2990,2990,102.6,99.8,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1199,1200,595,1197,0,2,2,-2,-2,0,52628,5,10.3,14.3,4000,3959,30,27,34,29,23,52,0.0,337,539,400,44,37,11,38,48,25,4407,3374,4464,4389,3014.1,3015.3,102.2,109.0,108.9,112,X
32,159.0,156,101,118,81,100,117.0,81,81,212,177,0.65,0.28,4.28,3006,3010,3000,3000,94.9,95.1,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1197,2,5,7,0,0,1,52628,5,10.3,14.1,4000,3985,32,29,34,28,27,52,0.0,324,548,386,34,29,13,39,51,28,4424,3387,4467,4406,3008.0,3009.4,101.1,107.9,107.7,94,W
33,150.0,156,101,118,81,100,120.0,81,81,212,172,0.73,0.41,4.1,3000,3010,2990,2990,100.0,100.0,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1193,0,2,2,-2,-2,0,52628,5,10.2,14.4,3999,3950,30,27,33,29,22,52,0.0,336,548,399,44,37,11,37,48,25,4408,3379,4464,4390,3014.3,3015.4,99.4,107.9,107.4,109,X
34,150.0,156,101,118,81,100,120.0,81,81,213,172,0.74,0.42,4.05,3000,3010,2990,2990,100.0,100.0,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,1,52620,5,10.2,14.3,3999,3956,30,27,34,29,23,52,0.0,335,549,393,44,37,11,38,48,25,4399,3380,4456,4380,3014.2,3015.0,99.1,108.5,107.9,106,X
35,159.6,156,101,118,81,100,118.1,81,81,214,178,0.78,0.39,4.93,3001,3010,2990,2990,97.0,97.1,3085,17.9,5.8,46.0,30.2,19.6,19.2,1199,3,6,1198,2,-1,398,400,800,395,1197,1200,595,1193,-5,-5,-2,-7,-7,0,52620,5,10.2,14.2,4000,3953,29,26,32,29,23,52,0.0,324,556,387,40,34,11,40,52,29,4491,3431,4536,4473,3010.7,3012.8,110.2,106.7,106.8,96,V
36,159.0,156,101,118,81,100,117.0,81,81,212,177,0.66,0.31,4.05,3006,3010,3000,3000,108.7,101.3,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1193,2,5,5,0,0,1,52621,5,10.2,14.0,3999,3948,32,29,35,28,27,50,0.0,323,547,386,34,29,13,39,51,28,4421,3385,4465,4406,3007.9,3009.1,100.1,107.8,107.5,95,W
37,159.0,156,101,118,81,100,117.0,81,81,213,177,0.67,0.29,4.13,3006,3010,3000,3000,95.4,96.9,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1197,2,5,7,0,0,0,52688,5,10.2,14.5,4000,3978,32,29,35,28,27,51,0.0,321,535,375,34,28,13,39,51,28,4425,3381,4464,4410,3007.8,3009.1,111.0,107.4,108.0,95,W
38,159.0,156,101,118,81,100,117.0,81,81,213,177,0.65,0.29,4.13,3005,3010,3000,3000,104.5,108.8,3085,17.9,5.8,46.0,30.2,19.8,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1197,2,5,7,0,0,0,52688,5,10.3,14.2,3999,3966,32,29,34,28,26,50,0.0,321,541,385,34,28,13,39,51,28,4424,3385,4465,4407,3008.3,3007.8,100.4,108.4,108.1,96,W
39,159.6,156,101,118,81,100,118.1,81,81,214,178,0.76,0.36,4.93,3001,3010,2990,2990,105.6,109.4,3085,17.9,5.8,46.0,30.2,19.9,19.2,1199,3,6,1198,2,-1,398,400,800,395,1197,1200,595,1193,-5,-2,-2,-7,-7,0,52486,5,10.2,14.2,4000,3953,29,26,32,29,23,52,0.0,323,547,382,40,34,11,41,52,29,4487,3420,4531,4470,3010.7,3011.8,111.7,106.7,107.1,100,V
40,150.0,156,101,118,81,100,120.0,81,81,212,172,0.69,0.4,4.05,3000,3010,2990,2990,100.9,102.4,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1196,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,1,52495,5,10.2,14.3,3999,3942,29,27,34,29,22,52,0.0,334,552,394,44,37,12,38,48,26,4396,3384,4453,4377,3014.5,3014.5,101.4,109.1,108.9,102,X
41,159.6,156,101,118,81,100,118.1,81,81,214,178,0.76,0.37,4.83,3001,3010,2990,2990,97.0,97.1,3085,17.9,5.8,46.0,30.2,19.9,19.2,1199,3,6,1198,2,-1,398,400,800,395,1197,1200,595,1193,-5,-5,-2,-7,-7,0,52566,5,10.2,14.2,4000,3943,29,26,32,29,23,52,0.0,323,557,386,39,34,11,40,52,29,4489,3431,4532,4455,3010.9,3012.9,99.8,107.5,107.0,95,V
42,159.6,156,101,118,81,100,107.3,81,81,206,176,0.63,0.2,4.23,3000,3010,3000,2990,99.9,100.0,3076,18.0,7.3,46.2,28.4,19.8,19.3,1199,0,0,1198,-2,0,398,400,800,395,1199,1204,595,1197,0,5,5,-2,-2,0,53251,7,10.5,13.8,6000,5945,30,28,40,30,24,52,0.0,272,644,297,46,41,11,41,57,30,4630,4070,4659,4603,3011.4,3013.0,108.2,108.5,108.8,67,S
43,158.5,156,101,118,81,100,110.1,81,81,208,176,1.41,1.01,5.1,2999,3010,2990,2990,99.8,100.1,3076,18.0,7.3,46.2,28.4,19.4,19.3,1199,2,4,1196,0,0,396,400,800,395,1198,1204,595,1193,4,10,7,2,2,0,53260,6,10.5,14.0,6000,5925,27,27,42,18,24,59,0.0,265,639,288,45,40,20,50,66,39,4503,3944,4537,4480,3007.2,3008.3,99.9,107.0,106.8,66,T
44,159.0,156,101,118,81,100,117.0,81,81,213,177,0.65,0.29,4.15,3005,3010,3000,3000,95.0,95.0,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1197,2,5,7,0,0,1,52567,5,10.2,14.0,3999,3958,32,29,35,28,26,50,0.0,323,551,384,34,29,13,39,51,28,4421,3389,4462,4400,3007.6,3009.8,100.0,107.9,107.5,95,W
45,159.6,156,101,118,81,100,107.3,81,81,208,176,0.88,0.53,4.08,3003,3010,3000,2990,100.4,101.1,3076,18.0,7.3,46.2,28.4,19.7,19.4,1200,0,0,1198,-2,0,399,402,802,395,1199,1204,595,1197,-2,-2,-2,-5,-5,1,53263,6,10.5,13.8,6000,5940,27,25,38,21,22,59,0.0,263,635,285,44,38,23,52,68,41,4524,3982,4550,4503,3012.9,3014.2,97.5,107.7,107.4,64,U
46,150.0,156,101,118,81,100,120.0,81,81,211,174,0.7,0.39,4.05,3000,3010,2990,2990,103.5,99.9,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,397,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,0,52628,5,10.3,14.3,3999,3959,31,27,34,31,23,52,0.0,333,561,336,44,33,12,37,48,25,4394,3378,4397,4369,3012.9,3014.9,110.5,107.5,107.9,90,X
47,159.0,156,101,118,81,100,117.0,81,81,212,177,0.62,0.26,4.1,3005,3010,3000,3000,104.5,108.2,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,7,5,0,0,1,52628,5,10.3,14.5,4000,3993,33,29,35,28,27,52,0.0,322,524,326,35,25,14,40,51,28,4420,3360,4425,4379,3008.5,3006.9,100.6,107.0,106.6,87,W
48,150.0,156,101,118,81,100,120.0,81,81,210,173,0.69,0.37,4.05,3000,3010,2990,2990,100.1,100.0,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,0,52628,5,10.2,14.5,3999,3966,30,27,33,29,23,52,0.0,336,568,392,43,37,11,37,48,25,4400,3391,4459,4377,3013.9,3014.9,106.6,108.5,108.6,98,X
49,159.6,156,101,118,81,100,107.3,81,81,209,176,0.89,0.53,4.05,3002,3010,3000,3000,99.9,100.2,3076,18.0,7.3,46.2,28.4,19.7,19.4,1200,0,2,1198,-2,0,399,402,802,395,1199,1204,595,1197,-2,-2,-2,-5,-5,0,53243,7,10.4,14.0,6000,5928,27,25,39,21,21,59,0.0,263,637,285,44,38,23,52,68,41,4521,3983,4545,4498,3013.7,3013.9,98.1,105.9,105.7,65,U
50,159.0,156,101,118,81,100,117.0,81,81,211,176,0.66,0.3,4.18,3006,3010,3000,3000,95.0,95.1,3085,17.9,5.8,46.0,30.2,19.8,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1197,2,5,5,0,0,0,52527,5,10.6,14.0,4000,3991,32,29,34,28,27,52,0.0,325,548,386,34,29,13,39,51,28,4420,3386,4467,4402,3008.1,3008.3,110.8,105.3,105.6,94,W
51,158.5,156,101,118,81,100,110.1,81,81,210,176,1.38,0.96,5.1,2999,3010,2990,2990,99.8,100.0,3076,18.0,7.3,46.2,28.4,19.4,19.3,1199,2,4,1198,0,0,396,400,800,395,1198,1200,595,1193,4,10,10,2,0,1,53251,6,10.5,13.6,6000,5899,27,27,41,17,24,58,0.0,265,626,288,45,40,20,50,66,39,4499,3940,4526,4472,3008.4,3008.2,110.1,105.4,105.7,68,T
52,150.0,156,101,118,81,100,120.0,81,81,211,172,0.69,0.4,4.03,3000,3010,2990,2990,108.5,110.4,3085,15.9,12.9,35.7,35.5,19.7,19.3,1199,0,2,1198,0,-2,398,400,800,395,1198,1200,595,1197,0,2,2,-2,-2,1,52535,5,10.2,14.2,3999,3963,29,27,34,29,22,52,0.0,335,561,396,44,38,12,37,48,26,4398,3392,4453,4380,3014.2,3015.3,111.3,107.2,107.8,101,X
53,159.6,156,101,118,81,100,118.1,81,81,214,179,0.83,0.41,4.93,3001,3020,2990,2990,96.9,98.9,3085,17.9,5.8,46.0,30.2,19.6,19.2,1199,3,6,1198,2,-1,398,400,800,395,1197,1200,595,1193,-5,-5,-5,-7,-7,0,52608,5,10.2,14.5,3999,3958,29,26,32,29,23,52,0.0,325,552,388,40,33,11,41,53,29,4491,3425,4538,4475,3011.8,3013.0,102.0,106.8,106.3,95,V
54,150.0,156,101,118,81,100,120.0,81,81,215,172,0.75,0.43,4.13,3000,3010,2990,2990,104.7,100.0,3085,15.9,12.9,35.7,35.5,19.7,19.4,1199,0,2,1198,0,-2,398,400,800,395,1199,1200,595,1193,0,2,2,-2,-2,0,52628,5,10.3,14.3,3999,3944,29,27,34,29,23,52,0.0,336,534,397,45,37,11,38,48,25,4406,3369,4464,4388,3014.7,3015.6,106.1,108.9,109.2,116,X
55,159.0,156,101,118,81,100,117.0,81,81,212,177,0.65,0.28,4.25,3006,3010,3000,3000,95.1,95.1,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,7,5,0,0,1,52628,5,10.3,14.2,4000,3979,32,29,34,28,27,52,0.0,324,549,389,34,29,13,39,51,28,4424,3387,4470,4406,3008.0,3008.5,111.0,107.0,107.5,94,W
56,159.0,156,101,118,81,100,117.0,81,81,212,177,0.65,0.28,4.13,3005,3010,3000,3000,99.3,105.2,3085,17.9,5.8,46.0,30.2,19.8,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1200,595,1197,2,5,5,0,0,0,52628,5,10.2,14.5,3999,3953,33,29,34,28,27,52,0.0,321,523,325,35,24,13,40,51,28,4419,3361,4424,4378,3006.6,3008.1,99.4,106.8,106.3,88,W
57,159.0,156,101,118,81,100,117.0,81,81,211,176,0.64,0.29,4.03,3005,3010,3000,3000,110.5,111.2,3085,17.9,5.8,46.0,30.2,19.9,19.3,1201,0,2,1198,0,0,399,402,802,397,1199,1204,595,1197,2,5,5,0,0,1,52628,5,10.2,14.0,3999,3962,32,29,34,28,27,51,0.0,323,538,380,34,29,13,39,51,28,4424,3380,4469,4406,3007.5,3009.0,109.8,105.8,106.0,94,W
58,159.0,156,101,118,81,100,117.0,81,81,212,176,0.64,0.29,4.0,3006,3010,3000,3000,108.1,101.4,3085,17.9,5.8,46.0,30.2,19.8,19.3,1201,0,2,1198,0,0,399,402,802,395,1199,1204,595,1197,2,5,7,0,0,0,52628,5,10.2,14.3,4000,3990,32,29,35,28,27,50,0.0,323,543,387,34,29,13,39,51,28,4423,3384,4472,4407,3007.4,3008.9,110.8,106.8,107.3,94,W
