,520X3,520X7,520X8,520X31,520X32,520X33,520X72,520X76,520X77,520X78,520X83,520X91,520X137,520X177,520X252,520X258,520X259,520X260,520X262,520X263,520X264,520X267,520X287,520X289,520X290,520X293,520X294,520X295,520X296,520X297,520X305,520X306,520X307,520X308,520X309,520X380,520X389,520X392,520X399,520X408,520X411,520X432,null_count,TOOL
10,545.0,145.0,69.0,491.0,492.0,489.0,490.0,495.0,497.0,493.0,486.0,495.0,4.0,9388.0,462.9,16.1,15.7,16.2,16.0,16.3,16.1,16.0,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,45.2,51.8,14.6,5.0,5.67,5.56,19.0,0,13
11,530.0,143.0,71.0,490.0,492.0,489.0,489.0,496.0,497.0,494.0,486.0,495.0,1.0,9451.0,462.9,16.0,15.7,16.2,15.7,15.8,16.0,16.1,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,46.1,51.8,14.55,5.0,5.7,5.62,19.0,0,11
12,562.0,144.0,69.0,490.0,491.0,488.0,490.0,496.0,497.0,494.0,486.0,495.0,2.0,5644.0,456.6,14.8,14.5,15.0,14.7,15.0,14.6,14.9,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.6,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,10.0,5.7,5.59,9.0,0,11
13,563.0,145.0,69.0,490.0,491.0,488.0,490.0,496.0,497.0,494.0,486.0,495.0,3.0,1935.0,457.6,14.7,14.3,14.9,14.2,14.4,14.4,14.4,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.6,0.1,0.1,0.1,0.1,0.1,45.9,52.7,14.46,5.0,5.64,5.55,10.0,0,11
14,548.0,145.0,70.0,490.0,491.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,1.0,5742.0,456.6,14.8,14.6,15.1,14.6,14.9,14.9,14.9,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.7,5.58,9.0,0,13
15,531.0,145.0,72.0,490.0,491.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,2.0,2033.0,457.6,14.7,14.5,15.1,14.8,14.5,14.5,15.1,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.6,14.46,0.0,5.64,5.55,10.0,0,13
16,530.0,145.0,73.0,490.0,491.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,3.0,9552.0,462.9,16.2,15.9,16.3,15.7,16.2,16.0,16.3,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.0,0.1,0.0,0.1,45.2,51.8,14.6,0.0,5.67,5.55,19.0,0,14
17,530.0,145.0,73.0,490.0,491.0,489.0,490.0,495.0,497.0,494.0,486.0,495.0,4.0,5743.0,456.6,14.8,14.7,15.1,15.0,14.5,14.7,14.9,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.7,5.58,9.0,0,14
18,530.0,143.0,76.0,491.0,492.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,1.0,2034.0,457.6,15.3,14.7,15.3,15.2,15.2,14.9,15.4,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.6,14.46,0.0,5.65,5.55,10.0,0,14
19,530.0,143.0,76.0,491.0,492.0,490.0,490.0,495.0,497.0,494.0,487.0,495.0,2.0,9553.0,462.9,16.0,15.8,16.3,16.1,16.4,16.1,16.0,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.0,0.1,0.0,0.1,45.2,51.8,14.6,0.0,5.66,5.54,19.0,0,15
20,530.0,143.0,76.0,492.0,492.0,491.0,490.0,495.0,497.0,494.0,487.0,495.0,3.0,5744.0,456.6,15.0,15.1,15.4,14.7,14.8,15.0,15.0,40.2,40.2,40.1,9.7,9.6,9.7,9.6,9.6,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.69,5.58,9.0,0,15
21,530.0,143.0,76.0,492.0,492.0,491.0,490.0,495.0,497.0,494.0,487.0,495.0,4.0,2035.0,457.7,15.0,14.8,15.4,15.1,15.4,14.9,15.4,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.4,14.46,0.0,5.63,5.53,10.0,0,15
22,530.0,144.0,72.0,491.0,492.0,489.0,489.0,496.0,497.0,494.0,486.0,495.0,1.0,9554.0,462.9,15.7,15.6,16.2,15.7,16.1,15.9,16.3,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.0,0.1,0.0,0.1,46.1,51.9,14.55,0.0,5.67,5.58,19.0,0,11
23,563.0,145.0,72.0,491.0,492.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,2.0,5745.0,456.6,14.7,14.3,15.0,14.4,14.9,14.7,14.2,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.6,0.0,0.0,0.1,0.0,0.0,45.6,50.8,14.64,5.0,5.7,5.59,9.0,0,11
24,530.0,145.0,73.0,489.0,491.0,487.0,491.0,494.0,495.0,492.0,487.0,495.0,3.0,1093.0,458.7,14.7,14.6,15.1,14.8,14.9,14.8,14.6,40.0,40.1,40.0,9.5,9.5,9.5,9.5,9.5,-0.1,-0.1,-0.1,-0.1,-0.1,46.6,50.1,14.5,5.0,5.68,5.58,10.0,0,6
25,531.0,144.0,77.0,489.0,490.0,488.0,491.0,493.0,495.0,492.0,488.0,495.0,4.0,7657.0,463.6,14.7,14.6,14.8,14.6,14.5,14.8,15.0,40.0,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.1,0.0,0.0,44.8,48.4,14.52,10.0,5.67,5.56,6.0,0,10
26,556.0,145.0,70.0,491.0,492.0,489.0,490.0,495.0,496.0,493.0,486.0,495.0,2.0,2041.0,457.6,14.7,14.2,14.8,14.3,14.4,14.3,14.6,40.1,40.2,40.1,9.6,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.6,14.46,0.0,5.64,5.55,10.0,0,11
27,531.0,144.0,74.0,489.0,491.0,487.0,492.0,493.0,494.0,491.0,487.0,495.0,3.0,7614.0,463.6,14.6,14.5,14.9,14.9,14.6,14.7,15.0,40.0,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.1,0.0,0.0,45.0,47.7,14.52,5.0,5.69,5.6,6.0,0,7
28,530.0,143.0,78.0,488.0,489.0,486.0,491.0,493.0,494.0,492.0,488.0,495.0,4.0,152.0,463.5,14.6,14.7,15.1,15.1,15.3,15.0,15.2,40.0,40.0,39.9,9.4,9.4,9.4,9.4,9.4,-0.1,-0.1,-0.1,-0.1,-0.1,45.1,48.2,14.45,15.0,5.65,5.54,1.0,0,10
29,530.0,143.0,77.0,488.0,490.0,486.0,491.0,494.0,495.0,492.0,488.0,495.0,1.0,1067.0,458.7,14.8,14.6,15.1,15.0,14.9,14.8,15.1,40.0,40.0,40.0,9.5,9.5,9.5,9.4,9.5,-0.1,-0.1,-0.1,-0.1,-0.1,46.5,50.1,14.49,5.0,5.68,5.56,10.0,0,10
30,530.0,145.0,75.0,488.0,489.0,485.0,491.0,493.0,495.0,492.0,488.0,495.0,2.0,7631.0,463.5,14.7,14.5,14.8,14.2,15.0,14.7,14.5,39.9,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.1,0.0,0.0,44.8,49.2,14.52,10.0,5.68,5.57,6.0,0,9
31,558.0,145.0,70.0,490.0,492.0,489.0,490.0,495.0,497.0,493.0,486.0,495.0,3.0,9711.0,462.9,16.1,15.8,16.3,15.7,16.4,16.0,16.3,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,45.4,51.8,14.55,0.0,5.66,5.56,19.0,0,12
32,542.0,145.0,70.0,490.0,492.0,489.0,490.0,495.0,497.0,493.0,486.0,495.0,4.0,5901.0,456.6,14.2,14.3,14.9,14.4,14.6,14.3,14.5,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,-0.1,0.0,45.6,50.7,14.64,5.0,5.7,5.59,9.0,0,12
33,539.0,145.0,73.0,490.0,492.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,1.0,2189.0,457.6,14.4,14.4,15.2,14.5,14.1,14.5,14.2,40.1,40.1,40.1,9.5,9.5,9.6,9.5,9.6,0.1,0.1,0.1,0.1,0.1,45.9,52.7,14.46,0.0,5.65,5.55,10.0,0,12
34,537.0,145.0,70.0,491.0,492.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,1.0,9501.0,462.9,16.0,16.0,16.2,16.2,16.3,16.1,16.1,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.0,0.1,0.0,0.1,45.2,51.7,14.59,0.0,5.67,5.57,19.0,0,13
35,537.0,145.0,70.0,491.0,492.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,2.0,5693.0,456.6,14.4,14.2,14.9,14.6,14.7,14.5,14.9,40.2,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.7,5.57,9.0,0,13
36,531.0,145.0,73.0,491.0,492.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,3.0,1984.0,457.6,14.7,14.4,15.0,14.8,14.8,14.5,14.6,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.6,14.47,0.0,5.64,5.53,10.0,0,13
37,555.0,145.0,69.0,490.0,491.0,488.0,491.0,496.0,497.0,494.0,486.0,495.0,3.0,2129.0,457.6,14.6,14.3,14.8,14.1,14.4,14.3,14.4,40.2,40.2,40.1,9.5,9.5,9.6,9.5,9.6,0.1,0.1,0.1,0.1,0.1,45.9,52.6,14.46,0.0,5.65,5.55,10.0,0,11
38,536.0,144.0,69.0,490.0,491.0,488.0,491.0,495.0,496.0,493.0,486.0,495.0,1.0,5840.0,456.6,14.7,14.4,15.0,14.6,14.9,14.5,14.9,40.2,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.7,5.58,9.0,0,12
39,545.0,144.0,69.0,491.0,493.0,490.0,489.0,496.0,497.0,494.0,486.0,495.0,1.0,9534.0,462.9,16.0,15.8,16.2,15.4,16.2,16.0,16.0,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,46.1,52.0,14.6,0.0,5.66,5.57,19.0,0,11
40,530.0,144.0,70.0,491.0,492.0,489.0,490.0,495.0,496.0,493.0,486.0,495.0,2.0,5733.0,456.6,14.9,14.6,15.1,14.9,15.0,14.8,15.0,40.2,40.2,40.1,9.7,9.6,9.7,9.5,9.7,0.1,0.0,0.1,0.0,0.1,45.6,50.8,14.64,10.0,5.7,5.59,9.0,0,14
41,553.0,145.0,70.0,491.0,492.0,489.0,490.0,495.0,496.0,493.0,486.0,495.0,2.0,9620.0,462.9,16.1,15.8,16.2,16.2,16.0,16.0,16.1,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,45.4,51.8,14.6,5.0,5.67,5.56,19.0,0,12
42,532.0,144.0,68.0,490.0,492.0,489.0,489.0,495.0,496.0,493.0,486.0,495.0,1.0,9371.0,462.9,16.1,15.7,16.1,15.9,15.9,15.8,16.0,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,46.1,51.9,14.55,5.0,5.69,5.62,19.0,0,11
43,541.0,145.0,69.0,491.0,492.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,1.0,5581.0,456.6,14.4,14.4,15.0,14.7,14.7,14.5,14.6,40.2,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.7,5.59,9.0,0,13
44,536.0,145.0,69.0,491.0,492.0,489.0,490.0,495.0,496.0,493.0,486.0,495.0,3.0,5810.0,456.6,14.7,14.4,14.9,14.7,15.1,14.5,15.0,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.6,0.0,0.0,0.0,0.0,0.0,45.6,50.7,14.64,10.0,5.71,5.59,9.0,0,12
45,559.0,144.0,70.0,490.0,491.0,488.0,490.0,495.0,496.0,493.0,486.0,495.0,2.0,1880.0,457.6,14.2,14.3,14.8,14.5,14.4,14.2,14.8,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.5,14.46,0.0,5.64,5.56,10.0,0,11
46,533.0,144.0,69.0,491.0,492.0,490.0,488.0,496.0,497.0,494.0,487.0,495.0,1.0,9685.0,462.9,15.8,15.4,16.0,15.3,15.7,15.6,15.5,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,46.1,52.0,14.6,5.0,5.67,5.59,19.0,0,11
47,545.0,143.0,69.0,491.0,491.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,2.0,5875.0,456.6,14.0,13.6,14.4,13.7,14.3,13.8,14.1,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.8,14.64,10.0,5.71,5.62,9.0,0,11
48,545.0,143.0,70.0,490.0,491.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,3.0,2163.0,457.6,14.6,14.4,15.0,14.7,14.7,14.4,14.4,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.6,0.1,0.1,0.1,0.1,0.1,45.9,53.4,14.46,5.0,5.66,5.55,10.0,0,11
49,549.0,144.0,69.0,490.0,492.0,489.0,490.0,495.0,496.0,493.0,486.0,495.0,1.0,5609.0,456.6,14.6,14.3,15.0,14.6,14.4,14.4,14.3,40.1,40.2,40.1,9.6,9.6,9.7,9.6,9.6,0.1,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.7,5.59,9.0,0,11
50,530.0,143.0,71.0,493.0,494.0,491.0,490.0,495.0,496.0,493.0,487.0,496.0,1.0,7675.0,463.6,14.5,14.4,14.8,14.6,15.0,14.7,15.0,40.0,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.1,0.0,0.0,45.7,48.4,14.52,10.0,5.69,5.6,6.0,0,6
51,530.0,145.0,75.0,491.0,492.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,2.0,1908.0,457.7,14.6,14.7,15.3,14.9,15.1,14.7,15.1,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.3,14.46,0.0,5.66,5.55,10.0,0,14
52,530.0,144.0,77.0,490.0,491.0,489.0,491.0,495.0,495.0,494.0,488.0,495.0,2.0,5199.0,458.2,12.2,12.5,12.9,12.2,12.8,12.9,12.9,40.1,40.1,40.0,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,46.2,54.1,14.48,5.0,5.66,5.54,3.0,0,7
53,531.0,144.0,78.0,488.0,489.0,486.0,491.0,497.0,497.0,497.0,488.0,496.0,2.0,1222.0,458.7,14.7,14.7,15.1,14.7,15.1,14.9,14.6,40.0,40.1,40.0,9.5,9.5,9.5,9.5,9.5,-0.1,-0.1,-0.1,-0.1,-0.1,46.5,49.3,14.55,5.0,5.7,5.58,10.0,0,9
54,540.0,144.0,70.0,491.0,492.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,3.0,5982.0,456.6,14.9,14.6,15.1,14.4,14.9,14.7,14.6,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.7,5.58,9.0,0,13
55,561.0,144.0,70.0,490.0,491.0,488.0,490.0,495.0,497.0,494.0,487.0,495.0,4.0,2278.0,457.6,14.4,14.3,15.0,14.3,14.6,14.2,14.5,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.6,0.1,0.1,0.1,0.1,0.1,45.9,52.8,14.46,0.0,5.64,5.55,10.0,0,11
56,540.0,144.0,70.0,491.0,492.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,1.0,9737.0,462.9,15.8,15.8,16.2,15.9,16.2,16.0,16.3,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,45.2,51.8,14.6,0.0,5.67,5.55,19.0,0,13
57,541.0,144.0,70.0,491.0,492.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,2.0,5927.0,456.6,14.9,14.7,15.2,14.8,15.3,14.8,15.0,40.1,40.2,40.1,9.6,9.6,9.7,9.6,9.6,0.0,0.0,0.0,0.0,0.0,45.6,50.7,14.64,5.0,5.69,5.59,9.0,0,13
58,530.0,144.0,72.0,491.0,492.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,3.0,2215.0,457.6,14.9,14.7,15.2,14.9,14.8,14.7,14.8,40.2,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.5,14.46,0.0,5.63,5.53,10.0,0,13
59,542.0,144.0,70.0,490.0,492.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,1.0,6181.0,456.6,14.2,14.2,14.9,14.6,14.5,14.3,14.3,40.2,40.2,40.1,9.7,9.6,9.7,9.6,9.7,0.1,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.7,5.57,9.0,0,13
60,530.0,144.0,70.0,491.0,492.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,2.0,2469.0,457.6,14.6,14.6,15.1,14.8,14.4,14.5,14.5,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.5,14.47,0.0,5.66,5.54,10.0,0,13
61,530.0,145.0,73.0,490.0,492.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,3.0,9993.0,462.9,15.8,15.6,16.3,16.1,16.3,16.0,16.5,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.0,0.1,0.0,0.1,45.2,51.7,14.6,0.0,5.67,5.56,19.0,0,14
62,531.0,145.0,78.0,494.0,495.0,491.0,491.0,497.0,497.0,497.0,488.0,496.0,1.0,7753.0,463.4,14.3,14.4,14.8,14.5,14.5,14.6,14.8,40.0,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.1,0.0,0.0,44.8,49.2,14.52,5.0,5.67,5.56,6.0,0,9
63,530.0,144.0,70.0,490.0,492.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,3.0,2004.0,457.6,14.9,14.6,15.0,14.8,14.7,14.7,15.0,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.5,14.46,0.0,5.64,5.55,10.0,0,13
64,530.0,144.0,70.0,490.0,492.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,4.0,9522.0,462.9,16.1,15.9,16.3,15.7,16.4,16.0,16.3,40.0,40.0,39.9,9.4,9.3,9.4,9.3,9.4,0.1,0.1,0.1,0.1,0.1,45.2,51.7,14.55,0.0,5.65,5.54,19.0,0,14
65,530.0,145.0,70.0,490.0,491.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,1.0,5714.0,456.6,14.8,14.9,15.2,15.0,15.2,14.8,15.0,40.1,40.2,40.1,9.7,9.6,9.7,9.6,9.6,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,5.0,5.69,5.58,9.0,0,14
66,530.0,145.0,70.0,491.0,492.0,489.0,490.0,496.0,497.0,494.0,486.0,495.0,2.0,1872.0,457.6,14.9,14.7,15.2,14.5,14.7,14.7,15.0,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.4,14.46,0.0,5.66,5.55,10.0,0,13
67,530.0,143.0,71.0,492.0,493.0,491.0,490.0,494.0,495.0,492.0,487.0,496.0,1.0,7682.0,463.7,14.6,14.3,14.8,14.3,15.0,14.6,14.9,39.9,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.1,0.0,0.0,45.7,48.0,14.52,5.0,5.68,5.6,6.0,0,6
68,530.0,143.0,77.0,489.0,490.0,487.0,491.0,494.0,495.0,493.0,488.0,495.0,1.0,7686.0,463.6,14.6,14.6,14.8,14.3,14.4,14.7,14.9,39.9,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.0,0.0,0.0,44.8,49.4,14.52,5.0,5.66,5.57,6.0,0,10
69,529.0,143.0,77.0,489.0,490.0,488.0,491.0,494.0,495.0,494.0,488.0,495.0,2.0,212.0,463.5,15.1,14.9,15.2,15.1,15.2,15.1,15.3,40.0,40.0,39.9,9.4,9.4,9.4,9.4,9.4,-0.1,-0.1,-0.1,-0.1,-0.1,45.1,49.3,14.45,10.0,5.65,5.54,1.0,0,10
70,530.0,142.0,77.0,489.0,490.0,488.0,491.0,495.0,495.0,494.0,488.0,495.0,2.0,216.0,463.6,14.6,14.7,15.2,15.1,14.7,14.9,15.0,40.0,40.1,39.9,9.4,9.4,9.4,9.4,9.4,-0.1,-0.1,-0.1,-0.1,-0.1,45.4,48.4,14.45,15.0,5.65,5.54,1.0,0,9
71,530.0,144.0,75.0,490.0,491.0,489.0,490.0,496.0,497.0,494.0,487.0,495.0,1.0,5848.0,456.6,15.1,15.0,15.4,14.7,15.0,15.1,15.1,40.2,40.2,40.1,9.7,9.6,9.7,9.6,9.6,0.0,0.0,0.1,0.0,0.0,45.6,50.9,14.63,5.0,5.69,5.58,9.0,0,15
72,539.0,144.0,73.0,489.0,491.0,488.0,491.0,493.0,495.0,492.0,488.0,495.0,1.0,7600.0,463.6,14.3,14.4,14.9,14.7,14.6,14.6,14.6,40.0,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.1,0.0,0.0,44.8,47.9,14.52,5.0,5.7,5.6,6.0,0,8
73,530.0,142.0,73.0,493.0,495.0,491.0,490.0,495.0,496.0,495.0,488.0,496.0,1.0,7735.0,463.6,14.5,14.3,14.8,14.6,15.0,14.9,15.0,39.9,40.0,39.9,9.4,9.4,9.4,9.3,9.4,0.0,0.0,0.1,0.0,0.0,45.7,48.4,14.52,5.0,5.68,5.6,6.0,0,6
74,530.0,144.0,86.0,494.0,495.0,491.0,491.0,497.0,497.0,497.0,488.0,496.0,2.0,1185.0,458.7,14.6,14.7,15.0,14.5,14.5,14.8,15.0,40.0,40.1,40.0,9.5,9.5,9.5,9.4,9.5,-0.1,-0.1,-0.1,-0.1,-0.1,46.5,50.6,14.5,5.0,5.68,5.56,10.0,0,8
75,531.0,145.0,77.0,490.0,491.0,489.0,490.0,495.0,497.0,494.0,487.0,495.0,2.0,2005.0,457.6,14.9,14.6,15.1,14.6,15.0,14.6,14.4,40.1,40.2,40.1,9.5,9.5,9.6,9.5,9.5,0.1,0.1,0.1,0.1,0.1,45.9,52.4,14.46,0.0,5.66,5.53,10.0,0,14
76,537.0,145.0,70.0,490.0,491.0,488.0,490.0,495.0,496.0,493.0,486.0,495.0,2.0,5717.0,456.6,14.5,14.4,14.9,14.8,14.9,14.3,14.9,40.1,40.2,40.1,9.6,9.6,9.7,9.5,9.7,0.0,0.0,0.1,0.0,0.0,45.6,50.7,14.64,10.0,5.69,5.59,9.0,0,12
