,312X51,312X52,312X53,312X54,312X55,312X57,312X59,312X60,312X61,312X64,312X65,312X66,312X67,312X69,312X70,312X75,312X81,312X91,312X95,312X96,312X111,312X115,312X130,312X131,312X132,312X133,312X141,312X217,312X246,312X253,312X254,312X255,312X256,312X260,312X261,312X263,312X266,312X267,312X277,312X279,312X280,312X281,312X283,312X284,312X285,312X286,312X287,312X289,312X290,312X291,312X292,312X293,312X303,312X310,312X311,312X315,312X332,312X333,312X337,312X338,312X340,312X349,312X351,312X352,312X355,312X356,312X357,312X358,312X359,312X361,312X362,312X363,312X373,312X379,312X380,312X381,312X382,312X383,312X385,312X386,312X387,312X388,312X389,312X421,312X423,312X424,312X425,312X426,312X429,312X438,312X439,312X441,312X456,312X462,312X465,312X468,312X471,312X475,312X476,312X477,312X480,312X482,312X483,312X489,312X516,312X517,312X519,312X524,312X525,312X528,312X529,312X530,312X531,312X552,312X553,312X555,312X566,312X570,312X574,312X576,312X580,312X582,312X586,312X588,312X589,312X591,312X594,312X597,312X630,312X631,312X633,312X639,312X640,312X645,312X670,312X672,312X690,312X691,312X692,312X693,312X694,312X695,312X696,312X697,312X698,312X699,312X700,312X711,312X712,312X713,312X714,312X717,312X728,312X729,312X730,312X732,312X752,312X754,312X762,312X776,312X778,TOOL
65,337,257,174,220,,402,186,283,,222,156,206,,1.34,0.78,8.38,0.83,,4010,4010,15.4,,33.1,32.8,32.6,,33.7,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,5,5,5,2,,0,0,0,0,,0,484,3335,3770,5,8,11,10.9,11.7,2999,3006,5002,2993,4998,28,29,28,28,34,33,23,86,65,50,53,56,74,46,44,43,827,1043,400,729,5000,,5003,,4997,,51,64,58,55,63,19,72,70,72,,58,,2571,3012.5,3013.4,3014.1,3013.1,,3040,3045,3040,3040,,2882,110.1,110.1,110.1,,110.2,104.5,104.8,105.1,,91,67,,100.1,100.2,215
71,335,256,173,226,,389,186,307,,221,155,217,,1.4,0.79,8.5,0.85,,4010,4010,25,,33,34.4,35,,32.2,,,0,719,0,0,724,4,,716,-4,1125,140,1001,,1127,483,143,1004,,1120,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,2,,372,-2,-2,0,2,2,2,2,,0,0,0,0,,0,484,3347,3782,5,7,11,10.9,12,2999,3004,5003,2995,4998,28,29,28,28,34,32,23,86,65,52,53,57,75,42,44,44,832,1038,415,728,5000,,5003,,4997,,52,64,57,56,63,19,73,70,71,,55,,2564,3012.3,3012.8,3013.4,3013.5,,3040,3042,3040,3040,,2887,110,110.1,110.1,,110.1,103.5,103.6,103.8,,89,67,,100,100,215
73,349,259,175,218,,426,185,246,,224,155,182,,1.46,0.87,8.8,0.93,,4010,4010,13.3,,31.7,31.8,32.2,,32.2,,,0,719,0,0,724,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,2,2,5,2,,0,0,0,0,,0,461,2770,3209,5,8,11,10.9,11.4,2999,3006,5002,2994,4999,28,29,28,28,34,32,23,85,65,50,53,53,74,44,45,43,824,1040,397,732,5000,,5003,,4997,,51,64,59,56,64,19,73,70,74,,58,,2570,3012.3,3014.1,3013,3015,,3042,3042,3042,3040,,2875,111.2,111.2,110.9,,111.4,105.8,105.8,106.1,,89,67,,101.4,101.6,215
81,337,257,174,217,,386,183,249,,223,153,183,,1.37,0.79,8.5,0.83,,4010,4010,19.8,,33.3,33.4,33.4,,33.3,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,479,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,5,5,,0,0,0,0,,0,489,3437,3872,5,8,11.1,10.9,11.4,2999,3007,5001,2994,4997,28,29,28,28,34,33,22,85,65,50,53,54,74,45,45,43,818,1042,398,728,5000,,5004,,4997,,51,64,59,56,64,19,73,70,74,,57,,2571,3011.6,3014,3013.3,3014.6,,3040,3042,3042,3042,,2907,110,110,110,,110.1,106.3,106.4,106.6,,89,66,,100.6,100.7,215
83,342,258,174,218,,412,185,248,,223,154,183,,1.39,0.79,8.8,0.85,,4010,4010,14.5,,31,31.7,32.5,,31.2,,,0,719,0,0,722,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,0,489,3438,3873,5,8,11,10.9,11.5,2999,3005,5003,2996,4997,28,29,28,28,34,32,22,85,65,50,53,53,74,43,44,43,821,1040,396,728,5000,,5003,,4996,,51,64,59,55,64,19,73,70,74,,57,,2571,3012.7,3014.3,3013.6,3016.4,,3042,3042,3040,3042,,2885,105.5,101.8,100.5,,107.8,107.1,107.1,107.1,,89,67,,100.8,101,215
85,350,260,175,219,,429,187,252,,224,154,185,,1.39,0.8,8.78,0.85,,4010,4010,24.6,,33.9,34.6,34.7,,33,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,140,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,2,2,2,,0,0,0,0,,1,461,3029,3468,5,8,11.1,11,11.2,2999,3004,5001,2995,4997,28,29,28,28,34,33,22,85,65,50,53,53,74,43,44,43,820,1036,396,732,5000,,5003,,4997,,51,64,58,56,64,19,73,70,73,,57,,2571,3013.6,3014.3,3014.4,3014.8,,3042,3042,3042,3040,,2915,108.8,111.2,111.4,,110.8,106.2,105.7,105.7,,90,67,,101.2,101,215
94,349,259,175,219,,426,185,254,,223,154,187,,1.4,0.81,8.85,0.85,,4010,4010,25.6,,33.7,35,35.5,,32.6,,,0,719,0,0,722,0,,716,-2,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,2,2,2,,372,-2,-2,0,2,5,2,2,,0,0,0,0,,0,461,2667,3105,5,8,11.1,10.8,11.4,2999,3005,5001,2995,4998,28,29,28,28,34,33,22,85,65,50,53,53,74,42,45,43,820,1038,397,735,5000,,5004,,4997,,51,64,59,56,64,19,73,70,73,,58,,2570,3012.3,3014.4,3013.7,3013.7,,3042,3042,3042,3040,,2915,102.3,100.1,99.5,,104.3,107.5,107.5,107.2,,89,66,,101.9,101.9,215
98,350,260,175,219,,428,185,249,,224,154,184,,1.38,0.8,8.58,0.83,,4010,4010,20.9,,33.9,34.1,34,,33.8,,,0,719,0,0,724,0,,714,-2,1126,140,1001,,1127,483,143,1004,,1123,479,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,2,2,,372,-2,-2,0,2,2,5,5,,0,0,0,0,,1,461,2938,3377,5,8,11.1,11,11.4,2999,3004,5002,2994,4997,28,29,28,28,34,32,22,85,65,50,53,53,74,45,45,43,818,1036,396,732,5000,,5003,,4997,,51,64,59,56,64,19,73,70,74,,59,,2570,3013,3014.3,3014.5,3013.8,,3040,3042,3042,3042,,2897,102.7,100.3,99.5,,104.8,107.4,107.4,107.1,,89,66,,101.9,101.9,215
104,349,260,175,218,,423,185,244,,224,155,182,,1.38,0.79,8.78,0.83,,4010,4010,13.6,,31.5,31.8,32.4,,31.9,,,0,719,0,0,722,4,,714,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,2,0,,372,-2,-2,0,2,5,2,2,,0,0,0,0,,0,489,3447,3882,5,7,11,11,11.4,2999,3007,5002,2995,4997,28,29,28,28,34,32,22,85,65,50,53,53,74,44,45,43,821,1035,395,729,5000,,5003,,4997,,51,64,58,56,64,19,73,71,74,,59,,2570,3013,3014.7,3013.9,3014.8,,3042,3042,3042,3042,,2897,100.9,106.6,109.6,,103.7,107,106.3,105.7,,89,67,,101.8,101.8,215
105,350,260,175,218,,426,186,244,,225,154,181,,1.39,0.8,8.73,0.83,,4010,4010,13.6,,32.3,32.2,32.3,,32.9,,,0,719,0,0,722,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,997,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,2,2,5,,0,0,0,0,,0,489,3449,3884,5,7,11,10.9,11.2,2999,3005,5001,2995,4997,28,29,28,28,34,32,22,85,65,50,53,52,74,44,44,43,819,1034,395,730,5000,,5004,,4997,,51,64,58,56,64,19,73,71,74,,60,,2570,3013.2,3014.5,3013.9,3013.6,,3042,3040,3040,3045,,2902,103.5,100.7,99.7,,105.8,107.3,107.4,107.2,,90,67,,101.9,101.9,215
106,350,260,175,218,,423,187,246,,223,155,182,,1.39,0.8,8.65,0.88,,4010,4010,25.3,,33.9,34.8,35,,32.9,,,0,719,0,0,724,4,,716,-4,1126,140,1001,,1130,483,143,1004,,1123,479,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,5,2,,0,0,0,0,,0,489,3448,3883,5,8,11,11,11.1,2999,3006,5002,2995,4996,28,30,28,28,34,32,22,85,65,50,53,52,74,45,44,43,817,1032,394,729,5000,,5003,,4998,,51,64,58,56,64,19,73,70,74,,56,,2570,3013.3,3013.9,3014.4,3015.1,,3042,3045,3042,3040,,2882,110.8,110.4,110.3,,111.2,105.9,106.2,106.6,,90,67,,101.9,101.9,215
109,350,260,175,219,,425,188,253,,223,154,187,,1.36,0.76,8.6,0.83,,4010,4010,25.6,,33.4,34.8,35.4,,32.4,,,0,719,0,0,720,2,,716,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,0,0,0,,372,-2,-2,0,5,5,2,2,,0,0,0,0,,0,489,3450,3885,5,8,11,11,11.4,2999,3005,5002,2994,4997,28,29,28,28,34,33,23,85,65,50,53,53,74,45,44,43,818,1032,395,731,5000,,5004,,4997,,51,64,58,56,63,19,73,70,73,,57,,2570,3013,3014.7,3013.3,3015.7,,3045,3040,3042,3040,,2890,106.8,110.7,111.3,,109.8,106.3,105.7,105.5,,89,67,,102,101.9,215
113,350,260,175,219,,425,185,253,,221,154,185,,1.44,0.82,8.9,0.9,,4010,4010,25.4,,33.2,34.7,35.4,,32.2,,,0,719,0,0,724,2,,714,-4,1126,140,1001,,1127,483,143,1004,,1123,476,136,1001,,449,0,,449,0,410,0,0,0,375,0,0,378,2,0,0,,372,-2,-2,0,5,5,2,5,,0,0,0,0,,1,461,3068,3507,5,8,11,10.9,11.4,2999,3005,5002,2995,4997,28,29,28,28,34,32,22,85,65,50,53,53,75,42,45,43,820,1034,395,732,5000,,5003,,4997,,51,64,58,56,64,19,73,70,74,,59,,2570,3013,3014.6,3014.1,3013.1,,3040,3045,3040,3042,,2877,111.3,111.1,110.8,,111.4,105.8,105.8,106.2,,89,67,,101.6,101.6,215
