,TOOL_ID,Tool,TOOL_ID (#1),TOOL_ID (#2),Tool (#2),tool (#1),TOOL,TOOL (#1),TOOL (#2),Tool (#1),tool,Tool (#3)
119,3,1,0,2,2,8,2,1,0,1,2,13
120,0,1,0,2,1,8,2,1,0,7,2,6
121,0,1,0,2,1,8,2,1,0,7,1,7
122,2,1,0,1,1,6,2,1,0,2,1,8
123,2,1,0,1,1,7,2,1,0,7,2,5
124,4,1,0,2,1,5,2,1,0,7,3,12
125,3,1,0,2,1,3,2,1,0,8,1,10
126,4,1,1,2,2,3,2,1,0,1,2,8
127,0,1,0,1,2,6,2,1,0,6,1,10
128,3,1,1,2,2,4,2,1,0,2,1,6
129,0,1,0,2,2,8,2,1,0,8,1,13
130,0,1,0,2,2,7,2,1,0,7,2,12
131,3,1,0,1,0,7,2,1,0,1,1,13
132,3,1,0,1,0,8,2,1,0,2,3,13
133,3,1,0,2,2,7,2,1,0,5,2,5
134,2,1,0,1,0,7,2,1,0,1,2,14
135,3,1,0,2,2,8,2,1,0,7,3,7
136,4,1,0,2,1,8,2,1,0,2,3,13
137,4,1,0,2,1,7,2,1,0,1,1,12
138,4,1,0,1,1,6,2,1,0,2,1,8
139,4,1,0,2,1,7,2,1,0,1,3,14
140,2,1,0,1,1,7,2,1,0,1,2,7
141,0,1,0,2,1,8,2,1,0,1,2,11
142,0,1,0,2,1,7,2,1,0,2,1,14
143,4,1,0,2,2,4,2,1,0,8,1,12
144,2,1,0,2,1,5,2,1,0,1,1,11
145,2,1,0,2,1,8,2,1,0,8,2,13
146,4,1,0,2,1,3,2,1,0,2,2,14
147,4,1,0,2,1,7,2,1,0,5,1,14
148,0,1,0,1,2,7,2,1,0,5,3,14
149,3,1,0,1,2,7,2,1,0,5,2,8
150,3,1,0,1,2,8,2,1,0,8,3,5
151,0,1,0,2,1,7,2,1,0,3,1,13
152,0,1,0,2,1,8,2,1,0,4,2,13
153,0,1,0,2,1,7,2,1,0,6,3,14
154,4,1,0,2,1,7,2,1,0,1,2,13
155,0,1,0,2,1,7,2,1,0,8,2,13
156,2,0,0,1,1,8,1,1,0,8,3,11
157,2,0,0,1,1,7,1,1,0,5,1,11
158,0,1,0,2,2,8,2,1,0,5,3,13
159,2,0,0,1,1,8,1,1,0,8,2,13
160,2,0,0,1,1,7,1,1,0,5,3,13
161,0,1,0,2,2,7,2,1,0,7,1,11
162,2,0,0,1,1,8,1,1,0,8,3,13
163,1,1,0,0,0,8,2,1,0,5,2,12
164,2,0,0,1,1,7,1,1,0,5,1,13
165,1,1,0,0,0,7,2,1,0,8,3,12
166,2,1,0,2,1,7,2,1,0,2,1,10
167,1,1,0,0,0,8,2,1,0,5,1,13
168,1,1,0,0,0,7,2,1,0,8,1,11
169,1,1,0,0,0,8,2,1,0,5,2,11
170,4,1,0,1,1,3,1,1,0,1,2,10
171,1,1,0,0,0,7,2,1,0,8,3,11
172,3,1,0,1,1,4,1,1,0,2,3,10
173,5,1,0,1,1,5,1,1,0,1,2,10
174,3,1,0,1,1,3,1,1,0,1,2,14
175,5,1,0,1,1,4,1,1,0,2,3,14
176,4,1,0,1,1,5,1,1,0,1,2,14
177,4,1,0,1,1,5,1,1,0,2,3,12
178,3,1,0,1,1,4,1,1,0,1,2,13
179,5,1,0,1,1,5,1,1,0,2,3,13
180,1,1,0,0,0,7,2,1,0,8,1,10
181,1,1,0,0,0,8,2,1,0,5,2,10
182,1,1,0,0,0,7,2,1,0,8,3,10
183,2,0,0,1,1,8,1,1,0,8,2,12
184,2,0,0,1,1,7,1,1,0,5,1,12
185,2,0,0,1,1,7,1,1,0,5,2,12
186,4,1,0,1,1,7,2,1,0,8,2,12
187,4,1,0,1,1,8,2,1,0,5,3,10
188,4,1,0,2,1,7,2,1,0,2,3,5
189,3,1,0,2,1,8,2,1,0,1,2,5
190,4,1,0,2,1,7,2,1,0,2,3,8
191,3,1,0,2,1,8,2,1,0,1,2,8
192,0,1,0,0,2,7,2,1,0,2,2,9
193,0,1,0,0,2,8,2,1,0,1,3,9
194,0,1,0,0,2,7,2,1,0,2,1,5
195,1,1,1,0,2,3,2,1,0,2,1,6
196,1,1,1,0,2,3,2,1,0,1,2,6
197,0,1,0,1,1,7,2,1,0,8,1,5
198,1,1,1,0,2,3,2,1,0,2,3,7
199,1,1,1,0,2,3,2,1,0,1,3,6
200,0,1,0,1,1,8,2,1,0,5,2,7
201,1,1,1,0,2,3,2,1,0,2,1,7
202,1,1,1,0,2,3,2,1,0,1,2,7
203,1,1,1,0,2,3,2,1,0,1,3,7
204,1,1,1,0,2,3,2,1,0,2,1,8
205,1,1,1,0,2,3,2,1,0,1,2,8
206,4,1,0,2,1,7,2,1,0,2,1,10
207,3,1,1,2,1,6,2,1,0,3,1,5
208,2,1,0,2,1,6,2,1,0,2,1,13
209,4,1,0,2,1,8,2,1,0,1,3,13
210,2,1,0,2,1,8,2,1,0,1,2,12
211,0,1,0,0,2,8,2,1,0,1,3,6
212,0,1,0,0,2,7,2,1,0,2,1,6
213,0,1,0,0,2,8,2,1,0,1,1,6
214,0,1,0,0,2,7,2,1,0,2,2,6
215,4,1,0,0,0,7,2,1,0,2,1,10
216,5,1,0,0,0,8,2,1,0,1,2,10
217,4,1,0,0,0,7,2,1,0,2,3,11
218,3,1,0,0,0,8,2,1,0,5,3,12
219,2,1,0,0,0,7,2,1,0,8,1,12
220,3,1,0,0,0,8,2,1,0,5,2,12
221,2,1,0,2,2,7,2,1,0,1,2,12
222,4,1,1,2,1,8,2,1,0,6,2,8
223,2,1,1,2,1,6,2,1,0,4,1,8
224,3,1,1,2,1,8,2,1,0,3,2,8
225,1,1,0,0,0,7,2,1,0,1,1,13
226,5,1,0,0,1,8,2,1,0,5,1,11
227,2,1,0,0,0,7,2,1,0,8,2,14
228,3,1,0,0,1,7,2,1,0,8,3,12
229,3,1,0,0,0,8,2,1,0,5,3,10
230,3,1,0,0,1,7,2,1,0,8,3,14
231,5,1,0,0,0,7,2,1,0,8,1,10
232,3,1,0,0,0,3,2,1,0,1,3,10
233,2,1,0,0,0,3,2,1,0,2,1,10
234,3,1,0,1,1,7,1,1,0,1,1,5
235,3,1,0,0,0,3,2,1,0,1,2,11
236,3,1,0,1,1,7,1,1,0,1,1,7
237,2,1,0,0,0,3,2,1,0,2,3,12
238,3,1,0,0,0,3,2,1,0,1,1,12
239,2,1,0,0,0,3,2,1,0,2,2,13
240,0,1,0,1,1,6,2,1,0,7,3,7
241,0,1,0,1,1,7,2,1,0,8,1,7
242,0,1,0,1,1,8,2,1,0,5,2,8
243,1,1,0,0,0,7,2,1,0,2,2,10
244,1,1,0,0,0,7,2,1,0,1,3,11
245,0,1,0,1,1,7,2,1,0,8,1,9
246,1,1,0,0,0,7,2,1,0,2,1,11
247,0,1,0,1,1,8,2,1,0,5,2,9
248,1,1,0,0,0,7,2,1,0,1,1,14
249,1,1,0,0,0,8,2,1,0,2,2,14
250,1,1,0,0,0,7,2,1,0,1,3,10
251,4,1,0,2,1,3,2,1,0,2,2,11
252,1,1,0,0,0,8,2,1,0,2,2,13
253,1,1,0,0,0,7,2,1,0,1,3,14
254,3,1,0,2,1,4,2,1,0,1,3,11
255,4,1,0,2,1,5,2,1,0,2,1,12
256,2,1,0,2,1,3,2,1,0,1,2,12
257,3,1,0,2,1,4,2,1,0,2,3,12
258,5,1,0,1,0,3,2,1,0,1,3,12
259,5,1,0,1,1,6,2,1,0,1,2,6
260,4,1,0,1,0,3,2,1,0,2,1,12
261,2,1,0,2,1,7,2,1,0,1,2,14
262,4,1,0,2,1,7,2,1,0,2,1,14
263,5,1,0,1,0,3,2,1,0,1,3,12
264,3,1,1,1,0,1,2,1,0,1,1,13
265,2,1,1,1,0,2,2,1,0,2,3,13
266,3,1,1,1,0,0,2,1,0,1,1,12
267,2,1,1,1,0,1,2,1,0,2,3,13
268,3,1,1,1,0,1,2,1,0,1,1,11
269,2,1,1,1,0,2,2,1,0,2,3,11
270,4,1,0,2,1,8,2,1,0,7,3,10
271,0,1,0,1,1,8,2,1,0,5,2,8
272,0,1,0,1,1,8,2,1,0,8,3,5
273,4,1,1,2,1,8,2,1,0,6,2,5
274,3,1,1,2,1,8,2,1,0,3,2,5
275,3,1,1,1,0,8,2,1,0,4,1,14
276,3,1,1,1,0,7,2,1,0,6,1,10
277,3,1,1,1,0,8,2,1,0,4,1,10
278,0,1,0,1,1,8,2,1,0,7,2,12
279,0,1,0,1,1,6,2,1,0,5,1,10
280,4,1,1,0,0,7,2,1,0,1,1,14
281,1,1,0,0,0,8,2,1,0,2,3,5
282,5,1,1,0,0,8,2,1,0,2,2,14
283,1,1,0,0,0,7,2,1,0,1,1,5
284,5,1,1,0,0,8,2,1,0,2,1,12
285,1,1,0,0,0,8,2,1,0,2,2,6
286,4,1,1,0,0,7,2,1,0,1,2,12
287,1,1,0,0,0,8,2,1,0,2,1,5
288,4,1,1,0,0,7,2,1,0,1,1,12
289,1,1,0,0,0,7,2,1,0,1,2,5
290,5,1,1,0,0,8,2,1,0,2,2,12
291,1,1,0,0,0,8,2,1,0,2,3,6
292,1,1,0,0,0,7,2,1,0,1,2,6
293,4,1,0,1,0,7,2,1,0,5,1,5
294,1,1,0,0,0,8,2,1,0,2,3,7
295,1,1,0,0,0,7,2,1,0,1,1,7
296,4,1,0,2,2,8,2,1,0,8,1,9
297,4,1,0,2,2,7,2,1,0,5,2,6
298,3,1,0,0,0,5,2,1,0,1,1,11
299,2,1,0,0,0,4,2,1,0,2,1,12
300,3,1,0,0,0,3,2,1,0,1,1,12
301,3,1,0,2,2,7,2,1,0,5,1,10
302,2,1,0,2,2,8,2,1,0,8,3,12
303,3,1,0,2,2,8,2,1,0,8,3,12
304,3,1,0,2,2,7,2,1,0,8,3,13
305,2,1,0,2,2,8,2,1,0,5,1,13
306,3,1,0,2,2,7,2,1,0,7,2,13
307,4,1,0,2,1,4,2,1,0,1,3,10
308,2,1,0,2,2,8,2,1,0,8,3,14
309,3,1,0,2,1,5,2,1,0,1,1,14
310,0,1,0,1,1,8,2,1,0,5,2,5
311,3,1,0,0,0,8,2,1,0,1,1,8
312,0,1,0,1,1,6,2,1,0,7,3,6
313,2,1,0,0,0,7,2,1,0,2,2,8
314,0,1,0,1,1,7,2,1,0,8,1,6
315,3,1,0,0,0,8,2,1,0,1,1,5
316,0,1,0,1,1,8,2,1,0,5,2,7
317,2,1,0,0,0,7,2,1,0,2,2,5
318,0,1,0,1,1,6,2,1,0,7,3,7
319,4,1,0,1,1,8,2,1,0,2,1,10
320,0,1,0,1,1,7,2,1,0,8,1,8
321,0,1,0,1,1,8,2,1,0,5,2,8
322,3,1,0,1,1,7,2,1,0,1,1,13
323,0,1,0,1,1,6,2,1,0,7,3,9
324,0,1,0,1,1,7,2,1,0,8,1,9
325,5,1,0,1,1,7,2,1,0,7,3,8
326,0,1,0,1,1,8,2,1,0,5,2,5
327,3,1,0,1,1,7,2,1,0,7,3,7
328,0,1,0,1,1,6,2,1,0,7,3,5
329,0,1,0,1,1,7,2,1,0,8,1,6
330,0,1,0,1,1,8,2,1,0,5,2,6
331,2,1,0,2,2,7,2,1,0,8,1,5
332,0,1,0,2,1,8,2,1,0,5,1,7
333,0,1,0,2,1,7,2,1,0,7,2,9
334,4,1,0,1,1,3,1,1,0,1,2,8
335,3,1,0,1,1,7,1,1,0,5,3,10
336,5,1,0,1,0,7,1,1,0,3,1,7
337,5,1,0,1,0,8,1,1,0,6,2,9
338,2,1,0,1,1,3,2,1,0,2,3,11
339,0,1,0,1,2,7,2,1,0,5,2,14
340,3,1,0,1,0,8,2,1,0,2,3,10
341,0,1,0,1,2,7,2,1,0,5,2,12
342,3,1,0,2,1,7,2,1,0,2,2,13
343,5,1,0,2,1,7,2,1,0,1,2,12
344,2,1,0,2,1,8,2,1,0,1,3,12
345,4,1,0,2,1,8,2,1,0,1,1,14
346,3,1,0,2,1,7,2,1,0,2,1,10
347,4,1,0,1,1,8,2,1,0,6,2,14
348,2,1,0,2,1,7,2,1,0,5,3,11
349,3,1,0,1,1,6,2,1,0,4,1,13
350,4,1,0,2,1,7,2,1,0,7,2,14
351,3,1,0,2,1,7,2,1,0,5,3,5
352,3,1,0,2,1,7,2,1,0,7,2,8
353,0,1,0,2,1,8,2,1,0,2,1,5
354,0,1,0,2,1,7,2,1,0,1,2,7
355,0,1,0,1,1,8,2,1,0,7,2,14
356,0,1,0,1,1,7,2,1,0,7,2,14
357,5,1,0,1,0,8,2,1,0,2,1,14
358,5,1,0,1,0,7,2,1,0,1,3,10
359,4,1,0,0,0,7,2,1,0,4,2,14
360,5,1,0,1,1,7,1,1,0,2,2,10
361,5,1,0,0,0,8,2,1,0,6,1,14
362,4,1,0,0,0,8,2,1,0,4,3,14
363,5,1,0,0,0,8,2,1,0,1,2,13
364,2,0,0,0,1,8,2,1,0,5,1,13
365,5,0,0,0,1,7,2,1,0,8,2,11
366,3,0,0,1,1,8,2,1,0,8,1,10
367,4,1,0,1,0,8,2,1,0,8,2,6
368,2,0,0,1,1,8,2,1,0,8,1,10
369,3,1,0,1,0,7,1,1,0,2,2,7
370,3,1,0,1,0,7,2,1,0,1,3,13
371,2,1,0,1,0,8,2,1,0,2,2,12
372,1,1,0,0,0,8,2,1,0,5,3,10
373,3,1,0,0,1,8,2,1,0,5,2,13
374,5,1,0,0,1,7,2,1,0,8,1,11
375,3,1,0,0,0,8,2,1,0,1,2,10
376,2,1,0,0,0,7,2,1,0,2,3,13
377,5,1,0,1,0,7,2,1,0,4,1,11
378,4,1,0,1,0,8,2,1,0,6,3,11
379,2,1,0,0,0,3,2,1,0,2,1,13
380,5,1,0,1,0,7,2,1,0,4,2,12
381,5,1,0,1,1,7,2,1,0,4,2,7
382,3,1,0,1,0,7,0,1,0,1,1,9
383,3,1,0,1,1,3,1,1,0,2,3,10
384,3,1,0,0,0,7,2,1,0,7,3,10
385,4,1,0,1,0,3,2,1,0,2,3,10
386,5,0,0,0,0,8,2,1,0,2,3,13
387,5,0,0,0,0,7,2,1,0,1,2,14
388,5,1,0,1,1,7,2,1,0,2,1,8
389,5,0,0,1,0,8,2,1,0,2,2,10
390,3,1,1,1,0,0,2,1,0,1,1,13
391,2,1,0,1,1,7,2,1,0,1,1,5
392,2,1,1,1,0,2,2,1,0,2,3,12
393,3,0,0,1,0,7,2,1,0,1,3,12
394,2,1,0,0,0,8,2,1,0,7,1,10
395,2,1,1,1,0,0,2,1,0,2,3,10
396,5,1,0,1,0,7,0,1,0,8,2,13
397,4,1,0,1,0,8,0,1,0,7,1,14
398,5,1,0,1,0,7,0,1,0,8,3,14
399,0,1,0,1,1,7,2,1,0,5,2,9
400,3,1,0,1,1,8,1,1,0,4,3,5
401,2,1,0,1,1,7,1,1,0,3,2,7
402,3,1,0,1,1,7,2,1,0,1,1,8
403,5,1,0,1,1,7,2,1,0,2,1,9
404,3,1,0,1,1,7,2,1,0,1,2,9
405,5,1,0,1,1,7,2,1,0,2,1,5
406,3,1,0,1,1,7,2,1,0,1,2,5
407,5,1,0,1,1,7,2,1,0,2,1,6
408,2,1,0,1,1,7,2,1,0,1,2,6
409,5,1,0,1,0,8,0,1,0,2,1,9
410,3,1,0,1,1,7,2,1,0,2,1,7
411,4,1,0,1,0,7,0,1,0,1,3,9
412,5,1,0,1,1,7,2,1,0,1,1,7
413,5,1,0,1,0,8,0,1,0,2,3,6
414,4,1,0,1,0,7,0,1,0,1,2,6
415,2,1,0,1,1,7,2,1,0,2,1,8
416,3,1,0,1,1,7,2,1,0,1,1,8
417,5,1,0,1,1,7,2,1,0,2,1,9
418,2,1,0,1,1,7,2,1,0,1,1,9
419,5,1,0,1,1,7,2,1,0,2,1,5
420,3,1,0,1,1,7,2,1,0,1,1,5
421,2,1,0,1,1,7,2,1,0,2,1,6
422,5,1,0,1,1,7,2,1,0,1,1,6
423,3,1,0,1,1,7,2,1,0,2,1,7
424,2,1,0,1,1,7,2,1,0,1,1,7
425,1,1,1,0,2,3,2,1,0,2,3,5
426,2,0,0,1,0,7,0,1,0,6,2,5
427,5,0,0,1,0,8,0,1,0,4,1,5
428,4,0,0,1,0,6,0,1,0,6,3,6
429,4,1,0,1,1,7,2,1,0,4,3,8
430,5,1,0,1,0,8,0,1,0,2,3,10
431,3,1,0,1,0,7,0,1,0,1,2,10
432,2,1,0,1,0,8,0,1,0,2,1,11
433,2,1,0,1,0,7,0,1,0,1,1,11
434,5,1,0,1,0,8,0,1,0,2,2,12
435,3,1,0,1,0,7,0,1,0,1,1,12
436,3,1,1,1,0,8,0,1,0,4,2,5
437,5,1,1,1,0,6,2,1,0,2,3,13
438,3,1,1,1,0,7,0,1,0,4,2,7
439,2,0,0,1,1,6,0,1,0,8,1,11
440,4,0,0,1,1,7,0,1,0,5,2,10
441,2,0,0,1,1,8,0,1,0,7,3,10
442,0,1,0,2,1,4,2,1,0,5,2,10
443,0,1,0,2,1,4,2,1,0,7,1,14
444,4,0,0,1,1,6,0,1,0,2,3,12
445,2,1,1,1,1,7,0,1,0,6,1,6
446,3,1,1,1,1,8,0,1,0,3,3,6
447,2,1,1,1,1,7,0,1,0,6,2,7
448,2,0,0,1,0,8,0,1,0,2,3,11
449,2,0,0,1,0,7,0,1,0,1,1,11
450,2,0,0,1,0,8,0,1,0,2,2,12
451,4,1,1,1,1,8,2,1,0,4,1,5
452,4,1,1,2,2,5,2,1,0,1,2,7
453,2,1,1,2,2,5,2,1,0,1,1,5
454,5,1,1,0,0,3,2,1,0,1,1,11
455,3,1,1,1,0,7,2,1,0,6,1,13
456,4,1,1,0,0,3,2,1,0,2,3,14
457,4,0,0,1,0,6,0,1,0,8,1,9
458,4,1,0,1,0,7,0,1,0,3,2,14
459,0,1,0,2,1,4,2,1,0,7,1,10
460,5,1,0,1,0,7,2,1,0,6,1,12
461,2,0,0,1,0,7,0,1,0,5,2,9
462,2,1,0,1,0,7,2,1,0,4,3,13
463,4,0,0,1,0,8,0,1,0,7,3,5
464,5,0,1,0,0,8,2,1,0,1,1,14
465,5,0,1,0,0,8,2,1,0,2,1,10
466,2,1,0,1,1,8,1,1,0,1,2,12
467,3,1,0,1,1,7,1,1,0,2,3,10
468,2,0,0,1,0,8,0,1,0,2,3,6
469,2,0,0,1,0,7,0,1,0,1,1,6
470,2,0,0,1,0,6,0,1,0,2,2,7
471,3,1,0,0,0,3,2,1,0,1,2,12
472,2,1,0,1,1,7,1,1,0,1,1,9
473,5,1,1,1,1,7,0,1,1,5,2,11
474,5,1,0,1,1,8,1,1,0,2,2,6
475,4,1,1,1,1,6,0,1,1,7,3,11
476,5,1,1,1,1,8,0,1,1,8,1,12
477,2,0,0,1,0,7,0,1,0,1,2,14
478,5,0,0,1,0,3,0,1,0,2,1,7
479,5,0,0,1,1,7,0,1,0,7,2,13
480,5,0,0,1,1,7,0,1,0,7,2,14
481,5,0,0,1,1,7,0,1,0,7,2,10
482,2,0,0,1,0,7,0,1,0,2,1,9
483,2,1,0,1,0,8,2,1,0,1,2,13
484,4,1,0,1,0,7,2,1,0,2,3,13
485,5,1,0,1,0,8,2,1,0,1,1,14
486,3,1,0,0,0,4,2,1,0,2,1,10
487,5,1,0,0,0,7,2,1,0,6,1,12
488,1,1,0,0,0,8,2,1,0,2,1,10
489,5,1,0,1,1,6,2,1,0,2,2,5
490,2,0,0,1,0,6,0,1,0,8,2,8
491,3,1,0,1,1,7,2,1,0,1,3,8
492,3,1,0,1,0,7,2,1,0,1,3,14
493,3,1,0,1,0,7,2,1,0,1,3,14
494,3,1,0,1,0,7,2,1,0,1,3,10
495,3,1,0,1,0,7,2,1,0,1,3,11
496,5,0,1,1,1,6,2,1,1,3,1,5
497,5,0,1,1,1,8,2,1,1,6,2,5
498,0,1,0,1,2,8,2,1,0,8,1,14
499,5,0,1,1,1,6,2,1,1,3,3,6
500,0,1,0,1,2,8,2,1,0,8,1,13
501,0,1,0,1,2,8,2,1,0,8,3,12
502,5,1,0,1,0,7,2,1,0,1,3,8
503,5,1,0,1,0,7,2,1,0,2,2,7
504,5,0,0,1,0,8,0,1,0,2,2,9
505,3,0,0,1,1,6,2,1,0,5,3,10
506,4,0,0,1,0,6,0,1,0,1,3,5
507,2,1,0,1,0,7,2,1,0,3,3,14
508,2,1,0,1,0,6,2,1,0,6,1,14
509,4,1,0,1,0,8,2,1,0,3,2,10
510,4,1,0,1,0,8,2,1,0,6,2,10
511,2,1,0,0,0,8,2,1,0,1,3,10
512,2,0,0,1,1,7,2,1,0,7,1,10
513,4,0,0,1,1,8,2,1,0,8,2,11
514,2,1,0,0,0,7,2,1,0,2,1,13
515,5,0,0,1,1,1,2,1,1,7,2,8
516,5,0,0,1,1,2,2,1,1,7,3,8
517,5,1,0,1,0,7,2,1,0,1,1,8
518,5,0,0,1,1,0,2,1,1,8,1,9
519,5,0,0,1,1,2,2,1,1,7,3,9
520,4,1,0,1,0,8,2,1,0,2,3,7
521,5,0,0,1,1,0,2,1,1,8,1,5
522,5,0,0,1,1,1,2,1,1,5,2,5
523,5,0,1,1,0,6,2,1,1,8,1,9
524,5,0,0,1,1,0,2,1,1,8,1,9
525,4,0,1,1,0,8,2,1,1,5,2,9
526,5,0,0,1,1,1,2,1,1,5,2,5
527,5,0,0,1,1,2,2,1,1,7,3,5
528,5,0,1,1,0,7,2,1,1,7,3,5
529,2,0,1,1,1,6,2,1,1,6,3,8
530,2,0,1,1,1,7,2,1,1,3,1,9
