,ID,TOOL_ID,Tool,TOOL_ID (#1),TOOL_ID (#2),TOOL_ID (#3),Tool (#2),tool (#1),TOOL,TOOL (#1),TOOL (#2),Tool (#1),tool,Tool (#3)
77,ID162,N,B,E,E,E0,B,X,D,YX1,A,329,4106,13
78,ID163,M,B,E,E,E0,B,X,D,YX1,A,329,3009,11
79,ID164,N,B,E,E,E0,B,W,D,YX1,A,329,3009,12
80,ID167,N,B,N,E,N0,B,X,D,YX1,A,1113,4106,7
81,ID168,N,B,E,D,E0,A,X,C,YX1,A,215,4147,6
82,ID169,M,B,E,D,E0,A,W,C,YX1,A,329,4106,6
83,ID170,L,B,E,D,E0,A,X,C,YX1,A,215,4147,7
84,ID171,N,B,E,E,E0,B,X,D,YX1,A,329,4106,15
85,ID172,N,B,E,E,E0,B,W,D,YX1,A,215,3009,14
86,ID173,J,B,E,E,E0,B,X,D,YX1,A,1245,3009,9
87,ID174,M,B,N,E,N0,C,T,D,YX1,A,1245,4106,8
88,ID175,J,B,E,E,E0,B,V,D,YX1,A,1110,3009,9
89,ID177,J,B,E,E,E0,B,V,D,YX1,A,1110,3009,6
90,ID178,M,B,N,E,N0,C,S,D,YX1,A,1110,3009,6
91,ID179,J,B,E,E,E0,B,V,D,YX1,A,1110,3009,8
92,ID181,J,B,E,E,E0,B,X,D,YX1,A,1245,4106,9
93,ID182,J,B,E,E,E0,B,W,D,YX1,A,329,3009,15
94,ID183,J,B,E,E,E0,B,V,D,YX1,A,215,3009,13
95,ID187,M,B,E,E,E0,B,W,D,YX1,A,2823,3009,14
96,ID189,N,B,E,E,E0,B,X,D,YX1,A,1110,4106,13
97,ID190,N,B,E,E,E0,C,V,D,YX1,A,1113,4106,14
98,ID191,J,B,E,E,E0,B,X,D,YX1,A,215,3009,14
99,ID192,O,B,E,D,E0,B,W,D,YX1,A,1018,4106,7
100,ID193,N,B,E,D,E0,B,W,D,YX1,A,530,4147,7
101,ID194,O,B,E,D,E0,B,W,D,YX1,A,1113,4106,8
102,ID201,O,B,E,D,E0,B,S,C,YX1,A,329,4147,6
103,ID202,M,B,E,D,E0,A,W,C,YX1,A,329,4106,6
104,ID203,L,B,E,D,E0,A,X,C,YX1,A,215,4147,7
105,ID204,L,B,E,D,E0,B,S,D,YX1,A,215,4106,15
106,ID205,L,B,E,D,E0,A,X,C,YX1,A,215,4147,8
107,ID206,M,B,E,D,E0,A,W,C,YX1,A,329,4106,8
108,ID207,N,B,E,D,E0,B,S,D,YX1,A,329,4147,15
109,ID208,N,B,E,D,E0,B,S,D,YX1,A,215,3009,11
110,ID212,M,B,E,E,E0,C,U,D,YX1,A,2823,4106,12
111,ID213,N,B,E,E,E0,C,T,D,YX1,A,1110,3009,15
112,ID215,N,B,E,E,E0,B,W,D,YX1,A,329,4147,11
113,ID218,N,B,E,E,E0,B,X,D,YX1,A,215,4147,15
114,ID219,L,B,E,E,E0,B,W,D,YX1,A,329,4106,13
115,ID220,N,B,E,E,E0,B,V,D,YX1,A,215,3009,12
116,ID225,M,B,E,D,E0,B,V,D,YX1,A,329,3009,6
117,ID226,L,B,E,D,E0,B,X,D,YX1,A,215,4106,8
118,ID227,L,B,E,E,E0,B,X,D,YX1,A,215,4147,11
119,ID228,M,B,E,E,E0,C,X,D,YX1,A,215,4106,14
120,ID229,J,B,E,E,E0,B,X,D,YX1,A,1245,4106,7
121,ID230,J,B,E,E,E0,B,X,D,YX1,A,1245,3009,8
122,ID231,L,B,E,D,E0,B,V,D,YX1,A,329,3009,9
123,ID233,L,B,E,D,E0,B,W,D,YX1,A,1245,4106,6
124,ID242,N,B,E,E,E0,B,U,D,YX1,A,1245,4147,13
125,ID244,M,B,E,E,E0,B,S,D,YX1,A,2823,3009,11
126,ID245,N,B,N,E,N0,C,S,D,YX1,A,215,4106,9
127,ID246,J,B,E,D,E0,C,V,D,YX1,A,1113,3009,11
128,ID247,M,B,N,E,N0,C,T,D,YX1,A,329,3009,7
129,ID248,J,B,E,E,E0,C,X,D,YX1,A,2823,3009,14
130,ID250,J,B,E,E,E0,C,W,D,YX1,A,1245,4106,13
131,ID252,M,B,E,D,E0,A,W,D,YX1,A,215,3009,14
132,ID253,M,B,E,D,E0,A,X,D,YX1,A,329,4147,14
133,ID254,M,B,E,E,E0,C,W,D,YX1,A,1110,4106,6
134,ID255,L,B,E,D,E0,A,W,D,YX1,A,215,4106,15
135,ID256,M,B,E,E,E0,C,X,D,YX1,A,1245,4147,8
136,ID257,N,B,E,E,E0,B,X,D,YX1,A,329,4147,14
137,ID258,N,B,E,E,E0,B,W,D,YX1,A,215,3009,13
138,ID259,N,B,E,D,E0,B,V,D,YX1,A,329,3009,9
139,ID260,N,B,E,E,E0,B,W,D,YX1,A,215,4147,15
140,ID261,L,B,E,D,E0,B,W,D,YX1,A,215,4106,8
141,ID262,J,B,E,E,E0,B,X,D,YX1,A,215,4106,12
142,ID263,J,B,E,E,E0,B,W,D,YX1,A,329,3009,15
143,ID264,N,B,E,E,E0,C,T,D,YX1,A,2823,3009,13
144,ID270,L,B,E,E,E0,B,U,D,YX1,A,215,3009,12
145,ID271,L,B,E,E,E0,B,X,D,YX1,A,2823,4106,14
146,ID272,N,B,E,E,E0,B,S,D,YX1,A,329,4106,15
147,ID273,N,B,E,E,E0,B,W,D,YX1,A,1110,3009,15
148,ID274,J,B,E,D,E0,C,W,D,YX1,A,1110,4147,15
149,ID277,M,B,E,D,E0,C,W,D,YX1,A,1110,4106,9
150,ID278,M,B,E,D,E0,C,X,D,YX1,A,2823,4147,6
151,ID279,J,B,E,E,E0,B,W,D,YX1,A,530,3009,14
152,ID280,J,B,E,E,E0,B,X,D,YX1,A,1018,4106,14
153,ID281,J,B,E,E,E0,B,W,D,YX1,A,1113,4147,15
154,ID286,N,B,E,E,E0,B,W,D,YX1,A,215,4106,14
155,ID288,J,B,E,E,E0,B,W,D,YX1,A,2823,4106,14
156,ID289,L,A,E,D,E0,B,X,C,YX1,A,2823,4147,12
157,ID290,L,A,E,D,E0,B,W,C,YX1,A,1110,3009,12
158,ID291,J,B,E,E,E0,C,X,D,YX1,A,1110,4147,14
159,ID292,L,A,E,D,E0,B,X,C,YX1,A,2823,4106,14
160,ID293,L,A,E,D,E0,B,W,C,YX1,A,1110,4147,14
161,ID294,J,B,E,E,E0,C,W,D,YX1,A,1245,3009,12
162,ID295,L,A,E,D,E0,B,X,C,YX1,A,2823,4147,14
163,ID296,K,B,E,C,E0,A,X,D,YX1,A,1110,4106,13
164,ID297,L,A,E,D,E0,B,W,C,YX1,A,1110,3009,14
165,ID298,K,B,E,C,E0,A,W,D,YX1,A,2823,4147,13
166,ID299,L,B,E,E,E0,B,W,D,YX1,A,329,3009,11
167,ID300,K,B,E,C,E0,A,X,D,YX1,A,1110,3009,14
168,ID301,K,B,E,C,E0,A,W,D,YX1,A,2823,3009,12
169,ID303,K,B,E,C,E0,A,X,D,YX1,A,1110,4106,12
170,ID304,N,B,E,D,E0,B,S,C,YX1,A,215,4106,11
171,ID305,K,B,E,C,E0,A,W,D,YX1,A,2823,4147,12
172,ID306,M,B,E,D,E0,B,T,C,YX1,A,329,4147,11
173,ID307,O,B,E,D,E0,B,U,C,YX1,A,215,4106,11
174,ID308,M,B,E,D,E0,B,S,C,YX1,A,215,4106,15
175,ID310,O,B,E,D,E0,B,T,C,YX1,A,329,4147,15
176,ID311,N,B,E,D,E0,B,U,C,YX1,A,215,4106,15
177,ID312,N,B,E,D,E0,B,U,C,YX1,A,329,4147,13
178,ID313,M,B,E,D,E0,B,T,C,YX1,A,215,4106,14
179,ID314,O,B,E,D,E0,B,U,C,YX1,A,329,4147,14
180,ID315,K,B,E,C,E0,A,W,D,YX1,A,2823,3009,11
181,ID316,K,B,E,C,E0,A,X,D,YX1,A,1110,4106,11
182,ID317,K,B,E,C,E0,A,W,D,YX1,A,2823,4147,11
183,ID318,L,A,E,D,E0,B,X,C,YX1,A,2823,4106,13
184,ID319,L,A,E,D,E0,B,W,C,YX1,A,1110,3009,13
185,ID320,L,A,E,D,E0,B,W,C,YX1,A,1110,4106,13
186,ID321,N,B,E,D,E0,B,W,D,YX1,A,2823,4106,13
187,ID322,N,B,E,D,E0,B,X,D,YX1,A,1110,4147,11
188,ID328,N,B,E,E,E0,B,W,D,YX1,A,329,4147,6
189,ID330,M,B,E,E,E0,B,X,D,YX1,A,215,4106,6
190,ID331,N,B,E,E,E0,B,W,D,YX1,A,329,4147,9
191,ID332,M,B,E,E,E0,B,X,D,YX1,A,215,4106,9
192,ID334,J,B,E,C,E0,C,W,D,YX1,A,329,4106,10
193,ID335,J,B,E,C,E0,C,X,D,YX1,A,215,4147,10
194,ID336,J,B,E,C,E0,C,W,D,YX1,A,329,3009,6
195,ID338,K,B,N,C,N0,C,S,D,YX1,A,329,3009,7
196,ID339,K,B,N,C,N0,C,S,D,YX1,A,215,4106,7
197,ID340,J,B,E,D,E0,B,W,D,YX1,A,2823,3009,6
198,ID341,K,B,N,C,N0,C,S,D,YX1,A,329,4147,8
199,ID342,K,B,N,C,N0,C,S,D,YX1,A,215,4147,7
200,ID343,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,8
201,ID344,K,B,N,C,N0,C,S,D,YX1,A,329,3009,8
202,ID345,K,B,N,C,N0,C,S,D,YX1,A,215,4106,8
203,ID346,K,B,N,C,N0,C,S,D,YX1,A,215,4147,8
204,ID347,K,B,N,C,N0,C,S,D,YX1,A,329,3009,9
205,ID348,K,B,N,C,N0,C,S,D,YX1,A,215,4106,9
206,ID351,N,B,E,E,E0,B,W,D,YX1,A,329,3009,11
207,ID352,M,B,N,E,N0,B,V,D,YX1,A,530,3009,6
208,ID353,L,B,E,E,E0,B,V,D,YX1,A,329,3009,14
209,ID354,N,B,E,E,E0,B,X,D,YX1,A,215,4147,14
210,ID355,L,B,E,E,E0,B,X,D,YX1,A,215,4106,13
211,ID356,J,B,E,C,E0,C,X,D,YX1,A,215,4147,7
212,ID357,J,B,E,C,E0,C,W,D,YX1,A,329,3009,7
213,ID358,J,B,E,C,E0,C,X,D,YX1,A,215,3009,7
214,ID359,J,B,E,C,E0,C,W,D,YX1,A,329,4106,7
215,ID360,N,B,E,C,E0,A,W,D,YX1,A,329,3009,11
216,ID361,O,B,E,C,E0,A,X,D,YX1,A,215,4106,11
217,ID362,N,B,E,C,E0,A,W,D,YX1,A,329,4147,12
218,ID363,M,B,E,C,E0,A,X,D,YX1,A,1110,4147,13
219,ID364,L,B,E,C,E0,A,W,D,YX1,A,2823,3009,13
220,ID365,M,B,E,C,E0,A,X,D,YX1,A,1110,4106,13
221,ID366,L,B,E,E,E0,C,W,D,YX1,A,215,4106,13
222,ID367,N,B,N,E,N0,B,X,D,YX1,A,1113,4106,9
223,ID368,L,B,N,E,N0,B,V,D,YX1,A,1018,3009,9
224,ID369,M,B,N,E,N0,B,X,D,YX1,A,530,4106,9
225,ID370,K,B,E,C,E0,A,W,D,YX1,A,215,3009,14
226,ID371,O,B,E,C,E0,B,X,D,YX1,A,1110,3009,12
227,ID372,L,B,E,C,E0,A,W,D,YX1,A,2823,4106,15
228,ID373,M,B,E,C,E0,B,W,D,YX1,A,2823,4147,13
229,ID374,M,B,E,C,E0,A,X,D,YX1,A,1110,4147,11
230,ID375,M,B,E,C,E0,B,W,D,YX1,A,2823,4147,15
231,ID376,O,B,E,C,E0,A,W,D,YX1,A,2823,3009,11
232,ID377,M,B,E,C,E0,A,S,D,YX1,A,215,4147,11
233,ID379,L,B,E,C,E0,A,S,D,YX1,A,329,3009,11
234,ID380,M,B,E,D,E0,B,W,C,YX1,A,215,3009,6
235,ID381,M,B,E,C,E0,A,S,D,YX1,A,215,4106,12
236,ID382,M,B,E,D,E0,B,W,C,YX1,A,215,3009,8
237,ID383,L,B,E,C,E0,A,S,D,YX1,A,329,4147,13
238,ID384,M,B,E,C,E0,A,S,D,YX1,A,215,3009,13
239,ID385,L,B,E,C,E0,A,S,D,YX1,A,329,4106,14
240,ID386,J,B,E,D,E0,B,V,D,YX1,A,1245,4147,8
241,ID387,J,B,E,D,E0,B,W,D,YX1,A,2823,3009,8
242,ID388,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,9
243,ID389,K,B,E,C,E0,A,W,D,YX1,A,329,4106,11
244,ID390,K,B,E,C,E0,A,W,D,YX1,A,215,4147,12
245,ID391,J,B,E,D,E0,B,W,D,YX1,A,2823,3009,10
246,ID392,K,B,E,C,E0,A,W,D,YX1,A,329,3009,12
247,ID393,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,10
248,ID394,K,B,E,C,E0,A,W,D,YX1,A,215,3009,15
249,ID395,K,B,E,C,E0,A,X,D,YX1,A,329,4106,15
250,ID397,K,B,E,C,E0,A,W,D,YX1,A,215,4147,11
251,ID398,N,B,E,E,E0,B,S,D,YX1,A,329,4106,12
252,ID399,K,B,E,C,E0,A,X,D,YX1,A,329,4106,14
253,ID401,K,B,E,C,E0,A,W,D,YX1,A,215,4147,15
254,ID402,M,B,E,E,E0,B,T,D,YX1,A,215,4147,12
255,ID403,N,B,E,E,E0,B,U,D,YX1,A,329,3009,13
256,ID405,L,B,E,E,E0,B,S,D,YX1,A,215,4106,13
257,ID407,M,B,E,E,E0,B,T,D,YX1,A,329,4147,13
258,ID411,O,B,E,D,E0,A,S,D,YX1,A,215,4147,13
259,ID412,O,B,E,D,E0,B,V,D,YX1,A,215,4106,7
260,ID413,N,B,E,D,E0,A,S,D,YX1,A,329,3009,13
261,ID414,L,B,E,E,E0,B,W,D,YX1,A,215,4106,15
262,ID415,N,B,E,E,E0,B,W,D,YX1,A,329,3009,15
263,ID416,O,B,E,D,E0,A,S,D,YX1,A,215,4147,13
264,ID418,M,B,N,D,N0,A,Q,D,YX1,A,215,3009,14
265,ID420,L,B,N,D,N0,A,R,D,YX1,A,329,4147,14
266,ID421,M,B,N,D,N0,A,P,D,YX1,A,215,3009,13
267,ID422,L,B,N,D,N0,A,Q,D,YX1,A,329,4147,14
268,ID423,M,B,N,D,N0,A,Q,D,YX1,A,215,3009,12
269,ID424,L,B,N,D,N0,A,R,D,YX1,A,329,4147,12
270,ID425,N,B,E,E,E0,B,X,D,YX1,A,1245,4147,11
271,ID426,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,9
272,ID427,J,B,E,D,E0,B,X,D,YX1,A,2823,4147,6
273,ID428,N,B,N,E,N0,B,X,D,YX1,A,1113,4106,6
274,ID429,M,B,N,E,N0,B,X,D,YX1,A,530,4106,6
275,ID430,M,B,N,D,N0,A,X,D,YX1,A,1018,3009,15
276,ID432,M,B,N,D,N0,A,W,D,YX1,A,1113,3009,11
277,ID435,M,B,N,D,N0,A,X,D,YX1,A,1018,3009,11
278,ID436,J,B,E,D,E0,B,X,D,YX1,A,1245,4106,13
279,ID437,J,B,E,D,E0,B,V,D,YX1,A,1110,3009,11
280,ID441,N,B,N,C,N0,A,W,D,YX1,A,215,3009,15
281,ID442,K,B,E,C,E0,A,X,D,YX1,A,329,4147,6
282,ID443,O,B,N,C,N0,A,X,D,YX1,A,329,4106,15
283,ID444,K,B,E,C,E0,A,W,D,YX1,A,215,3009,6
284,ID445,O,B,N,C,N0,A,X,D,YX1,A,329,3009,13
285,ID446,K,B,E,C,E0,A,X,D,YX1,A,329,4106,7
286,ID447,N,B,N,C,N0,A,W,D,YX1,A,215,4106,13
287,ID448,K,B,E,C,E0,A,X,D,YX1,A,329,3009,6
288,ID449,N,B,N,C,N0,A,W,D,YX1,A,215,3009,13
289,ID450,K,B,E,C,E0,A,W,D,YX1,A,215,4106,6
290,ID452,O,B,N,C,N0,A,X,D,YX1,A,329,4106,13
291,ID453,K,B,E,C,E0,A,X,D,YX1,A,329,4147,7
292,ID455,K,B,E,C,E0,A,W,D,YX1,A,215,4106,7
293,ID456,N,B,E,D,E0,A,W,D,YX1,A,1110,3009,6
294,ID457,K,B,E,C,E0,A,X,D,YX1,A,329,4147,8
295,ID458,K,B,E,C,E0,A,W,D,YX1,A,215,3009,8
296,ID460,N,B,E,E,E0,C,X,D,YX1,A,2823,3009,10
297,ID461,N,B,E,E,E0,C,W,D,YX1,A,1110,4106,7
298,ID462,M,B,E,C,E0,A,U,D,YX1,A,215,3009,12
299,ID463,L,B,E,C,E0,A,T,D,YX1,A,329,3009,13
300,ID464,M,B,E,C,E0,A,S,D,YX1,A,215,3009,13
301,ID465,M,B,E,E,E0,C,W,D,YX1,A,1110,3009,11
302,ID466,L,B,E,E,E0,C,X,D,YX1,A,2823,4147,13
303,ID466,M,B,E,E,E0,C,X,D,YX1,A,2823,4147,13
304,ID467,M,B,E,E,E0,C,W,D,YX1,A,2823,4147,14
305,ID468,L,B,E,E,E0,C,X,D,YX1,A,1110,3009,14
306,ID469,M,B,E,E,E0,C,W,D,YX1,A,1245,4106,14
307,ID470,N,B,E,E,E0,B,T,D,YX1,A,215,4147,11
308,ID471,L,B,E,E,E0,C,X,D,YX1,A,2823,4147,15
309,ID472,M,B,E,E,E0,B,U,D,YX1,A,215,3009,15
310,ID473,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,6
311,ID474,M,B,E,C,E0,A,X,D,YX1,A,215,3009,9
312,ID475,J,B,E,D,E0,B,V,D,YX1,A,1245,4147,7
313,ID476,L,B,E,C,E0,A,W,D,YX1,A,329,4106,9
314,ID477,J,B,E,D,E0,B,W,D,YX1,A,2823,3009,7
315,ID478,M,B,E,C,E0,A,X,D,YX1,A,215,3009,6
316,ID479,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,8
317,ID480,L,B,E,C,E0,A,W,D,YX1,A,329,4106,6
318,ID481,J,B,E,D,E0,B,V,D,YX1,A,1245,4147,8
319,ID482,N,B,E,D,E0,B,X,D,YX1,A,329,3009,11
320,ID483,J,B,E,D,E0,B,W,D,YX1,A,2823,3009,9
321,ID484,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,9
322,ID485,M,B,E,D,E0,B,W,D,YX1,A,215,3009,14
323,ID486,J,B,E,D,E0,B,V,D,YX1,A,1245,4147,10
324,ID487,J,B,E,D,E0,B,W,D,YX1,A,2823,3009,10
325,ID488,O,B,E,D,E0,B,W,D,YX1,A,1245,4147,9
326,ID489,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,6
327,ID490,M,B,E,D,E0,B,W,D,YX1,A,1245,4147,8
328,ID491,J,B,E,D,E0,B,V,D,YX1,A,1245,4147,6
329,ID492,J,B,E,D,E0,B,W,D,YX1,A,2823,3009,7
330,ID493,J,B,E,D,E0,B,X,D,YX1,A,1110,4106,7
331,ID494,L,B,E,E,E0,C,W,D,YX1,A,2823,3009,6
332,ID495,J,B,E,E,E0,B,X,D,YX1,A,1110,3009,8
333,ID496,J,B,E,E,E0,B,W,D,YX1,A,1245,4106,10
334,ID497,N,B,E,D,E0,B,S,C,YX1,A,215,4106,9
335,ID498,M,B,E,D,E0,B,W,C,YX1,A,1110,4147,11
336,ID499,O,B,E,D,E0,A,W,C,YX1,A,530,3009,8
337,ID500,O,B,E,D,E0,A,X,C,YX1,A,1113,4106,10
338,ID501,L,B,E,D,E0,B,S,D,YX1,A,329,4147,12
339,ID502,J,B,E,D,E0,C,W,D,YX1,A,1110,4106,15
340,ID503,M,B,E,D,E0,A,X,D,YX1,A,329,4147,11
341,ID504,J,B,E,D,E0,C,W,D,YX1,A,1110,4106,13
342,ID508,M,B,E,E,E0,B,W,D,YX1,A,329,4106,14
343,ID509,O,B,E,E,E0,B,W,D,YX1,A,215,4106,13
344,ID512,L,B,E,E,E0,B,X,D,YX1,A,215,4147,13
345,ID515,N,B,E,E,E0,B,X,D,YX1,A,215,3009,15
346,ID516,M,B,E,E,E0,B,W,D,YX1,A,329,3009,11
347,ID518,N,B,E,D,E0,B,X,D,YX1,A,1113,4106,15
348,ID519,L,B,E,E,E0,B,W,D,YX1,A,1110,4147,12
349,ID520,M,B,E,D,E0,B,V,D,YX1,A,1018,3009,14
350,ID521,N,B,E,E,E0,B,W,D,YX1,A,1245,4106,15
351,ID522,M,B,E,E,E0,B,W,D,YX1,A,1110,4147,6
352,ID523,M,B,E,E,E0,B,W,D,YX1,A,1245,4106,9
353,ID524,J,B,E,E,E0,B,X,D,YX1,A,329,3009,6
354,ID525,J,B,E,E,E0,B,W,D,YX1,A,215,4106,8
355,ID526,J,B,E,D,E0,B,X,D,YX1,A,1245,4106,15
356,ID527,J,B,E,D,E0,B,W,D,YX1,A,1245,4106,15
357,ID528,O,B,E,D,E0,A,X,D,YX1,A,329,3009,15
358,ID529,O,B,E,D,E0,A,W,D,YX1,A,215,4147,11
359,ID530,N,B,E,C,E0,A,W,D,YX1,A,1018,4106,15
360,ID531,O,B,E,D,E0,B,W,C,YX1,A,329,4106,11
361,ID534,O,B,E,C,E0,A,X,D,YX1,A,1113,3009,15
362,ID535,N,B,E,C,E0,A,X,D,YX1,A,1018,4147,15
363,ID536,O,B,E,C,E0,A,X,D,YX1,A,215,4106,14
364,ID537,L,A,E,C,E0,B,X,D,YX1,A,1110,3009,14
365,ID538,O,A,E,C,E0,B,W,D,YX1,A,2823,4106,12
366,ID544,M,A,E,D,E0,B,X,D,YX1,A,2823,3009,11
367,ID545,N,B,E,D,E0,A,X,D,YX1,A,2823,4106,7
368,ID546,L,A,E,D,E0,B,X,D,YX1,A,2823,3009,11
369,ID548,M,B,E,D,E0,A,W,C,YX1,A,329,4106,8
370,ID549,M,B,E,D,E0,A,W,D,YX1,A,215,4147,14
371,ID550,L,B,E,D,E0,A,X,D,YX1,A,329,4106,13
372,ID551,K,B,E,C,E0,A,X,D,YX1,A,1110,4147,11
373,ID552,M,B,E,C,E0,B,X,D,YX1,A,1110,4106,14
374,ID553,O,B,E,C,E0,B,W,D,YX1,A,2823,3009,12
375,ID556,M,B,E,C,E0,A,X,D,YX1,A,215,4106,11
376,ID559,L,B,E,C,E0,A,W,D,YX1,A,329,4147,14
377,ID560,O,B,E,D,E0,A,W,D,YX1,A,1018,3009,12
